height_m,temperature_2015_celsius,temperature_2016_celsius,borehole,yearDrilled,dateDrilled,depth_m,latitude_WGS84,longitude_WGS84,Elevation_m
443,-9.06,-9.13,GL14-North,2014,7/26/14,641,67.183071,-49.569698,977
463,-8.69,-8.75,GL14-North,2014,7/26/14,641,67.183071,-49.569698,977
483,-8.19,-8.25,GL14-North,2014,7/26/14,641,67.183071,-49.569698,977
503,-7.81,-7.94,GL14-North,2014,7/26/14,641,67.183071,-49.569698,977
523,-7.44,-7.5,GL14-North,2014,7/26/14,641,67.183071,-49.569698,977
543,-6.94,-7.06,GL14-North,2014,7/26/14,641,67.183071,-49.569698,977
563,-6.25,-6.38,GL14-North,2014,7/26/14,641,67.183071,-49.569698,977
583,-5.5,-5.69,GL14-North,2014,7/26/14,641,67.183071,-49.569698,977
603,-5.06,-5.25,GL14-North,2014,7/26/14,641,67.183071,-49.569698,977
623,-4.63,-4.69,GL14-North,2014,7/26/14,641,67.183071,-49.569698,977
2,-0.13,-0.13,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
12,-0.38,-0.38,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
22,-0.56,-0.63,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
32,-0.94,-0.94,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
42,-1.19,-1.25,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
52,-1.56,-1.63,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
62,-1.94,-1.94,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
72,-2.44,-2.5,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
82,-2.75,-2.81,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
92,-3.13,-3.19,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
102,-3.63,-3.63,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
112,-4,-4.06,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
122,-4.38,-4.44,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
132,-4.75,-4.81,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
142,-5.19,-5.25,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
152,-5.5,-5.44,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
162,-5.75,-5.81,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
182,-6.44,-6.5,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
202,-7,-7.06,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
222,-7.56,-7.63,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
242,-8.06,-8.13,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
262,-8.69,-8.75,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
282,-9.25,-9.25,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
302,-9.75,-9.75,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
322,-10.06,-10.06,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
342,-10.25,-10.31,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
362,-10.31,-10.31,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
382,-10.31,-10.38,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
402,-10.44,-10.44,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
422,-10.56,-10.56,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
442,-10.63,-10.63,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
462,-10.69,-10.75,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
482,-10.75,-10.75,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
502,,-10.88,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
522,-10.81,-10.81,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
542,-10.75,-10.75,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
562,-10.69,-10.69,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
582,-10.56,-10.56,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
602,-10.38,-10.38,GL14-South-A,2014,7/17/14,674,67.181076,-49.570013,978
1,-0.06,,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
11,-0.31,,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
21,-0.63,-0.63,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
31,-0.88,-0.94,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
41,-1.25,-1.25,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
51,-1.63,-1.63,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
61,-2,-2,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
71,-2.44,-2.5,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
81,-2.81,-2.88,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
91,-3.13,-3.13,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
101,-3.56,-3.63,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
111,-4.06,-4.13,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
121,-4.44,-4.44,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
131,-4.75,-4.81,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
141,-5.13,-5.13,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
151,-5.44,-5.44,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
161,-5.69,-5.69,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
181,-6.44,-6.44,GL14-South-B,2014,7/19/14,677,67.181044,-49.56972,977
1,-0.06,,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
11,-0.25,-0.25,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
21,-0.75,,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
31,-1,-1,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
41,-1.5,,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
51,-2,-2,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
61,-2.5,-2.5,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
71,-2.88,,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
