t,d
-7.0678997,	11.032052
-5.4520473,	16.876
-4.2060766,	20.907043
-3.049934,	26.804314
-1.9852047,	33.176136
-1.7019815,	39.638603
-0.96010566,	45.119972
-0.72391015,	50.659992
-0.3022457,	57.570354
0.131572,	75.150185
0.05389696,	87.68588
