d,t
2, -0.57234165056
12, -0.81568478076
22, -1.05902791096
32, -1.36487104116
42, -1.67071417136
52, -2.03905730156
62, -2.34490043176
72, -2.90074356196
82, -3.20658669216
92, -3.57492982236
102, -4.00577295256
112, -4.43661608276
122, -4.80495921296
132, -5.17330234316
142, -5.60414547336
152, -5.78498860356
162, -6.15333173376
182, -6.82751799416
202, -7.37670425456
222, -7.92589051496
242, -8.41257677536
262, -9.02426303576
282, -9.51094929616
302, -9.99763555656
322, -10.29682181696
342, -10.53350807736
362, -10.52019433776
382, -10.56938059816
402, -10.61856685856
422, -10.73025311896
442, -10.77943937936
462, -10.89112563976
482, -10.87781190016
502, -10.98949816056
522, -10.91368442096
542, -10.83787068136
562, -10.76205694176
582, -10.62374320216
602, -10.42292946256
