t,d
-0.57234165056,672.0
-0.8156847807600001,662.0
-1.05902791096,652.0
-1.36487104116,642.0
-1.67071417136,632.0
-2.0390573015599998,622.0
-2.34490043176,612.0
-2.9007435619599997,602.0
-3.2065866921599997,592.0
-3.57492982236,582.0
-4.00577295256,572.0
-4.43661608276,562.0
-4.80495921296,552.0
-5.17330234316,542.0
-5.60414547336,532.0
-5.7849886035599996,522.0
-6.153331733759999,512.0
-6.82751799416,492.0
-7.376704254560001,472.0
-7.925890514960001,452.0
-8.41257677536,432.0
-9.02426303576,412.0
-9.51094929616,392.0
-9.99763555656,372.0
-10.296821816960001,352.0
-10.53350807736,332.0
-10.52019433776,312.0
-10.56938059816,292.0
-10.618566858560001,272.0
-10.73025311896,252.0
-10.779439379360001,232.0
-10.89112563976,212.0
-10.877811900160001,192.0
-10.98949816056,172.0
-10.91368442096,152.0
-10.837870681360002,132.0
-10.762056941760001,112.0
-10.62374320216,92.0
-10.42292946256,72.0
