t,d
-0.7352112323000001,635.0
-1.1035543625,625.0
-1.5968974927000001,615.0
-2.0277406229,605.0
-2.5210837531,595.0
-3.0769268832999996,585.0
-3.5077700135,575.0
-4.0636131437000005,565.0
-4.5569562739,555.0
-5.0502994041000004,545.0
-5.418642534299999,535.0
-5.9744856645,525.0
-6.3428287947,515.0
-6.7736719249,505.0
-7.1420150551,495.0
-7.8787013155,475.0
-8.5528875759,455.0
-9.1645738363,435.0
-9.7762600967,415.0
-10.2004463571,395.0
-10.6246326175,375.0
-11.2230051383,335.0
-11.459691398699999,315.0
-11.571377659100001,295.0
-11.6830639195,275.0
-11.7322501799,255.0
-11.7189364403,235.0
-11.7681227007,215.0
-11.817308961099998,195.0
-11.741495221500001,175.0
-11.7281814819,155.0
-11.527367742300001,135.0
-11.5140540027,115.0
-11.125740263099999,95.0
-10.599112783899999,55.0
-10.3982990443,35.0
-9.5724853047,15.0
