d,t
5, -0.7352112323
15, -1.1035543625
25, -1.5968974927
35, -2.0277406229
45, -2.5210837531
55, -3.0769268833
65, -3.5077700135
75, -4.0636131437
85, -4.5569562739
95, -5.0502994041
105, -5.4186425343
115, -5.9744856645
125, -6.3428287947
135, -6.7736719249
145, -7.1420150551
165, -7.8787013155
185, -8.5528875759
205, -9.1645738363
225, -9.7762600967
245, -10.2004463571
265, -10.6246326175
305, -11.2230051383
325, -11.4596913987
345, -11.5713776591
365, -11.6830639195
385, -11.7322501799
405, -11.7189364403
425, -11.7681227007
445, -11.8173089611
465, -11.7414952215
485, -11.7281814819
505, -11.5273677423
525, -11.5140540027
545, -11.1257402631
585, -10.5991127839
605, -10.3982990443
625, -9.5724853047
