ID	Latitude	Longitude	Velocity	
MP_1	76.413166	-68.28711	0.2	
MP_17	76.411075	-68.277114	3.2	
MP_66	76.410262	-68.27308	6.8	
MP_8	76.409606	-68.269741	8.3	
MP_10	76.408407	-68.253904	10.9	
MP_16	76.407309	-68.239657	12.1	
MP_14	76.404561	-68.20297	11.5	
MP_15	76.402754	-68.178647	9.4	
MP_7	76.412633	-68.276859	1.8	
MP_11	76.41468	-68.276735	1.0	
MP_13	76.416001	-68.27681	0.9	
MP_18	76.417172	-68.275287	2.6	
D_15	76.417265	-68.274618	4.3	
MP_19	76.41676	-68.270071	4.1	
RP	76.416504	-68.266705	5.3	
D_11	76.41133	-68.287295	1.0	
D_10	76.409093	-68.275474	6.3	
D_10D	76.408495	-68.271846	8.0	
D_14	76.406727	-68.254255	12.3	
D_12	76.405693	-68.24175	13.1	
D_13	76.404695	-68.232811	13.5	
D_17	76.401554	-68.197321	12.9	
D_61	76.40227	-68.186089	9.6	
MP_30	76.4112	-68.298943	0.1	
MP_31	76.410262	-68.290706	0.4	
MP_32	76.408962	-68.280519	3.8	
MP_33	76.407791	-68.271112	8.7	
MP_34	76.406424	-68.259857	12.6	
MP_35	76.406291	-68.260224	12.6	
MP_36	76.406545	-68.259603	12.5	
