d normalized,Agassiz77,Agassiz79a,Agassiz79b,Agassiz84,Barnes_14.3_T_1975,Barnes_19.5_T_1975,Barnes_24.55_T_1975,Barnes_B4_1974,Barnes_D4_1974,Barnes_T020_1979,Barnes_T061_1977,Barnes_T081_1978,Barnes_T091_1977,Barnes_T0975_1976,CampCentury,CampIII_78,CampVI_50,DYE-3,Devon72,Devon73,Devon98,FOXX1,FOXX2,FladeIsblink06,GISP2,GRIP,GULL,HansTausen_Dome,HansTausen_Hare,Isua_10,Isua_11,Isua_12,Isua_13,Isua_14,Isunnguata_13km-10,Isunnguata_27km-11A,Isunnguata_27km-11B,Isunnguata_27km-11C,Isunnguata_27km-12A,Isunnguata_27km-12B,Isunnguata_27km-12C,Isunnguata_33km_14N,Isunnguata_33km_14SA,Isunnguata_33km_14SB,Isunnguata_33km_14W,Isunnguata_33km_15CA,Isunnguata_33km_15CB,Isunnguata_33km_15E,Isunnguata_33km_15N,Isunnguata_33km_15S,Isunnguata_46km-11A,Isunnguata_46km-11B,Isunnguata_M1-10,Isunnguata_M2-10B,Jakobshavn89A,Jakobshavn89B,Jakobshavn95D_I1,Jakobshavn95D_I2,Jakobshavn95D_T3,Jakobshavn95D_T4,Jakobshavn95D_T5,Laika_75a,Laika_75b,Laika_75c,Laika_75d,Laika_75e,Meighen67,NEEM,NGRIP,Penny96,PrinceWales05,Renland88,SiteII,StationCentrale,Store_R29,Store_R30_BH19c,Store_S30,TD1_88,TD2_88,TD3_88,TD4_91a,TD4_91b,TD5_90,TD5_91,Tuto_D-11
0.8100,-18.6337,-19.7647,-19.7800,-19.6942,-0.5272,NaN,NaN,-6.3968,NaN,NaN,-7.0509,-8.2349,NaN,NaN,-17.6851,NaN,NaN,-17.4154,NaN,-19.8641,NaN,-5.3721,-5.7411,NaN,-22.8138,-22.6877,-7.0906,-16.9784,-6.2678,-2.4416,-1.4192,-1.6282,-0.5732,-0.5255,NaN,NaN,-0.2516,-0.3072,-0.8348,-1.0537,-0.4886,-5.5771,-4.6003,-4.6740,-5.4605,-4.8934,-4.6880,-6.1182,-5.8755,-5.6430,-7.1795,-6.9771,-0.0400,0.0000,-19.1687,NaN,-15.3076,-15.1762,NaN,NaN,-12.6065,-0.8977,0.1220,NaN,NaN,NaN,-16.3888,-16.4138,-19.0534,-12.2264,-20.0502,-15.4696,NaN,NaN,-16.9878,-10.4665,-15.5979,-1.3948,NaN,-0.2767,NaN,NaN,NaN,NaN,-10.6550
0.8200,-18.5326,-19.7254,-19.7409,-19.6660,-0.4795,NaN,NaN,-6.3554,NaN,NaN,-7.0106,-8.2085,NaN,NaN,-17.4529,NaN,NaN,-17.2583,NaN,-19.7896,NaN,-5.0663,-5.4102,NaN,-22.1865,-22.0540,-6.4477,-16.9269,-5.9927,-2.4144,-1.3756,-1.6172,-0.5399,-0.5017,NaN,NaN,-0.2559,-0.2674,-0.7635,-0.9682,-0.4550,-5.2518,-4.3549,-4.4689,-5.1531,-4.6388,-4.4138,-5.8274,-5.6388,-5.3644,-6.7932,-6.5896,-0.0399,0.0000,-18.8976,NaN,-14.2519,-14.0743,NaN,NaN,-11.4213,-0.8670,0.1285,NaN,NaN,NaN,-16.3706,-15.7552,-18.2879,-12.1981,-20.0161,-15.3955,NaN,NaN,-17.2073,-9.2419,-14.8023,-1.3436,NaN,-0.3047,NaN,NaN,NaN,NaN,-10.6469
0.8300,-18.4684,-19.6861,-19.6998,-19.6386,-0.3967,NaN,NaN,-6.3142,NaN,NaN,-6.9710,-8.1822,NaN,NaN,-17.2184,NaN,NaN,-17.0768,NaN,-19.7163,NaN,-4.7591,-5.0753,NaN,-21.5454,-21.3988,-5.7183,-16.8755,-5.7035,-2.3885,-1.3276,-1.6063,-0.4450,-0.4778,NaN,NaN,-0.2595,-0.2592,-0.7036,-0.8448,-0.4550,-4.9300,-4.0985,-4.2258,-4.8161,-4.3391,-4.1184,-5.5544,-5.2700,-5.0628,-6.3969,-6.1664,-0.0397,0.0000,-18.6130,NaN,-13.1175,-12.8454,NaN,NaN,-10.2961,-0.8387,0.1313,NaN,NaN,NaN,-16.3512,-15.0750,-17.5043,-12.1699,-19.9816,-15.3204,NaN,NaN,-17.1389,-7.9095,-14.0410,-1.3078,NaN,-0.3322,NaN,NaN,NaN,NaN,-10.6393
0.8400,-18.4068,-19.6466,-19.6576,-19.6108,-0.2907,NaN,NaN,-6.2731,NaN,NaN,-6.9320,-8.1559,NaN,NaN,-16.9834,NaN,NaN,-16.8606,NaN,-19.6468,NaN,-4.4503,-4.7283,NaN,-20.8897,-20.7204,-4.9942,-16.8240,-5.4149,-2.3651,-1.2807,-1.5954,-0.3394,-0.4492,NaN,NaN,-0.2628,-0.2614,-0.6456,-0.6432,-0.4550,-4.6082,-3.8517,-3.9347,-4.5186,-4.0383,-3.8223,-5.3057,-4.9553,-4.8159,-5.9629,-5.6827,-0.0393,0.0000,-18.3114,NaN,-11.9324,-11.5323,NaN,NaN,-9.2294,-0.8128,0.1316,NaN,NaN,NaN,-16.3310,-14.3996,-16.7057,-12.1465,-19.9483,-15.2458,NaN,NaN,-16.3234,-6.5367,-13.2044,-1.2876,NaN,-0.3587,NaN,NaN,NaN,NaN,-10.6317
0.8500,-18.2332,-19.6071,-19.6149,-19.5817,-0.1932,NaN,NaN,-6.2319,NaN,NaN,-6.8942,-8.1296,NaN,NaN,-16.7431,NaN,NaN,-16.6711,NaN,-19.5813,NaN,-4.1434,-4.3738,NaN,-20.2234,-20.0598,-4.3785,-16.7725,-5.1336,-2.3452,-1.2387,-1.5847,-0.2742,-0.4180,NaN,NaN,-0.2661,-0.2651,-0.6207,-0.4791,-0.4550,-4.2914,-3.5886,-3.5849,-4.2195,-3.7740,-3.5257,-5.0258,-4.7308,-4.5429,-5.5224,-5.2048,-0.0388,0.0000,-17.9935,NaN,-10.7369,-10.1913,NaN,NaN,-8.2296,NaN,0.1315,NaN,NaN,NaN,-16.3099,-13.6053,-15.8864,-12.1319,-19.9169,-15.1711,NaN,NaN,-15.5509,-5.2690,-12.2487,-1.2724,NaN,-0.3836,NaN,NaN,NaN,NaN,-10.6242
0.8600,-18.0297,-19.5667,-19.5723,-19.5518,-0.1357,NaN,NaN,-6.1909,NaN,NaN,-6.8569,-8.1036,NaN,NaN,-16.4930,NaN,NaN,-16.4476,NaN,-19.5169,NaN,-3.8328,-4.0146,NaN,-19.5412,-19.3522,-3.8182,-16.7210,-4.8515,-2.3303,-1.2062,-1.5740,-0.2398,-0.3933,NaN,NaN,-0.2693,-0.2694,-0.6455,-0.4607,-0.4550,-3.9417,-3.2415,-3.2813,-3.8832,-3.5167,-3.2279,-4.7193,-4.4286,-4.2412,-5.0912,-4.8003,-0.0380,0.0001,-17.6596,NaN,-9.5346,-8.8379,NaN,NaN,-7.2752,NaN,0.1311,NaN,NaN,NaN,-16.2885,-13.0584,-15.0599,-12.1259,-19.8876,-15.0953,NaN,NaN,-14.7337,-4.4940,-11.2101,-1.2601,NaN,-0.4065,NaN,NaN,NaN,NaN,-10.6168
0.8700,-17.8885,-19.5241,-19.5297,-19.5211,-0.1300,NaN,NaN,-6.1503,NaN,NaN,-6.8209,-8.0776,NaN,NaN,-16.2392,NaN,NaN,-16.2249,NaN,-19.4496,NaN,-3.5221,-3.6615,NaN,-18.8523,-18.6692,-3.2987,-16.6696,-4.5556,-2.3221,-1.1883,-1.5634,-0.2103,-0.3839,NaN,NaN,-0.2726,-0.2731,-0.6837,-0.4903,-0.4550,-3.5752,-2.9513,-3.0286,-3.5922,-3.2304,-2.9248,-4.3799,-4.1006,-3.9413,-4.6726,-4.4266,-0.0370,0.0006,-17.3100,NaN,-8.3656,-7.5280,NaN,NaN,-6.3751,NaN,0.1303,NaN,NaN,NaN,-16.2669,-12.7018,-14.2108,-12.1219,-19.8596,-15.0201,NaN,NaN,-13.8693,-3.5896,-10.1253,-1.2498,NaN,-0.4314,NaN,NaN,NaN,NaN,-10.6096
0.8800,-17.8533,-19.4810,-19.4875,-19.4893,-0.1300,NaN,NaN,-6.1097,NaN,NaN,-6.7856,-8.0518,NaN,NaN,-15.9918,NaN,NaN,-16.0138,NaN,-19.3738,NaN,-3.2118,-3.3169,NaN,-18.1495,-17.9219,-2.8294,-16.6181,-4.2516,-2.3202,-1.1853,-1.5528,-0.1896,-0.4040,NaN,NaN,-0.2759,-0.2764,-0.6973,-0.5171,-0.4634,-3.3391,-2.7129,-2.8192,-3.2994,-2.9043,-2.6601,-4.0867,-3.7836,-3.6518,-4.2538,-4.0314,-0.0357,0.0017,-16.9460,NaN,-7.2580,-6.3045,NaN,NaN,-5.5278,NaN,0.1290,NaN,NaN,NaN,-16.2452,-12.1122,-13.3476,-12.1189,-19.8329,-14.9439,NaN,NaN,-12.9864,-3.1693,-9.0305,-1.2406,NaN,-0.4593,NaN,NaN,NaN,NaN,-10.6025
0.8900,-17.7737,-19.4382,-19.4452,-19.4550,-0.1300,NaN,NaN,-6.0694,NaN,NaN,-6.7512,NaN,NaN,NaN,-15.7479,NaN,NaN,-15.7374,NaN,-19.2910,NaN,-2.9024,-2.9856,NaN,-17.4384,-17.2272,-2.4038,-16.5666,-3.9460,-2.3203,-1.1854,-1.5422,-0.1814,-0.4441,NaN,NaN,-0.2791,-0.2796,-0.6776,-0.5043,-0.4944,-3.0644,-2.5146,-2.5751,-2.9598,-2.5802,-2.4105,-3.7904,-3.4289,-3.3550,-3.8254,-3.6066,-0.0340,0.0033,-16.1298,NaN,-6.2398,-5.2100,NaN,NaN,-4.7321,NaN,0.1269,NaN,NaN,NaN,-16.2240,-11.3631,-12.4847,-12.1162,-19.8066,-14.8682,NaN,NaN,-12.0903,-2.7700,-7.9623,-1.2315,NaN,-0.4891,NaN,NaN,NaN,NaN,-10.5956
0.9000,-17.6634,-19.3973,-19.4028,-19.4179,-0.1300,NaN,NaN,-6.0291,NaN,NaN,-6.7179,NaN,NaN,NaN,-15.5085,NaN,NaN,-15.4830,NaN,-19.2082,NaN,-2.5945,-2.6709,NaN,-16.7201,-16.4731,-2.0081,-16.5149,-3.6475,-2.3203,-1.1854,-1.5317,-0.1934,-0.4788,NaN,NaN,-0.2824,-0.2828,-0.6460,-0.4433,-0.5188,-2.6916,-2.2179,-2.2984,-2.6945,-2.3336,-2.1149,-3.4523,-3.0822,-3.0133,-3.4243,-3.1632,-0.0321,0.0051,-14.6289,NaN,-5.3062,-4.2874,NaN,NaN,-3.9863,NaN,0.1239,NaN,NaN,NaN,-16.2027,-10.6089,-11.6106,-12.1133,-19.7807,-14.7915,NaN,NaN,-11.2014,-2.2400,-6.9571,-1.2214,NaN,-0.5199,NaN,NaN,NaN,NaN,-10.5889
0.9100,-17.5616,-19.3584,-19.3601,-19.3807,NaN,NaN,NaN,-5.9891,NaN,NaN,NaN,NaN,NaN,NaN,-15.2785,NaN,NaN,-15.2177,NaN,-19.1284,NaN,-2.2902,-2.3735,NaN,-15.9926,-15.7067,-1.6631,-16.4632,-3.3596,-2.3205,-1.1856,-1.5212,-0.2300,-0.4870,NaN,NaN,-0.2856,-0.2860,-0.6229,-0.3934,-0.5119,-2.3567,-1.8841,-1.9973,-2.4306,-2.0206,-1.8050,-3.1543,-2.8093,-2.6970,-3.0954,NaN,NaN,0.0071,-12.7187,NaN,-4.2908,-3.5852,NaN,NaN,-3.2960,NaN,0.1199,NaN,NaN,NaN,-16.1816,-9.8418,-10.7220,-12.1096,-19.7548,-14.7153,NaN,NaN,-10.3425,-1.7176,-6.0513,-1.2095,NaN,-0.5510,NaN,NaN,NaN,NaN,-10.5824
0.9200,-17.4470,-19.3191,-19.3177,-19.3461,NaN,NaN,NaN,-5.9491,NaN,NaN,NaN,NaN,NaN,NaN,-15.0573,NaN,NaN,-14.9180,NaN,-19.0504,NaN,-1.9712,-2.0910,NaN,-15.2632,-14.9563,-1.3856,-16.4117,-3.0953,-2.3209,-1.1858,-1.5107,-0.2862,-0.4849,NaN,NaN,-0.2889,-0.2892,-0.6215,-0.4058,-0.4858,-2.0510,-1.6313,-1.7447,-2.0953,-1.6952,-1.5208,-2.8539,-2.4840,-2.4022,-2.7778,NaN,NaN,0.0091,-10.6768,NaN,-3.2291,-3.0742,NaN,NaN,-2.6456,NaN,0.1148,NaN,NaN,NaN,-16.1601,-9.1228,-9.8205,-12.1052,-19.7274,-14.6389,NaN,NaN,-9.4651,-1.1052,-5.2189,-1.1943,NaN,-0.5813,NaN,NaN,NaN,NaN,-10.5762
0.9300,-17.3349,-19.2783,-19.2763,-19.3157,NaN,NaN,NaN,-5.9094,NaN,NaN,NaN,NaN,NaN,NaN,-14.8268,NaN,NaN,-14.7081,NaN,-18.9732,NaN,-1.6605,-1.8169,NaN,-14.5206,-14.1688,-1.1543,-16.3603,-2.8538,-2.3214,-1.1862,-1.5002,-0.3593,-0.4805,NaN,NaN,-0.2922,-0.2925,-0.6260,-0.4605,-0.4574,-1.7752,-1.3732,-1.4935,-1.7633,-1.4529,-1.2734,-2.5173,-2.1195,-2.1056,-2.4795,NaN,NaN,NaN,-8.7843,NaN,-2.2366,-2.5934,NaN,NaN,-2.0410,NaN,0.1083,NaN,NaN,NaN,-16.1380,-8.4075,-8.9163,-12.1005,-19.6985,NaN,NaN,NaN,-8.2367,-0.8020,-4.3980,-1.1715,NaN,-0.6101,NaN,NaN,NaN,NaN,-10.5701
0.9400,-17.2337,-19.2310,-19.2343,-19.2882,NaN,NaN,NaN,-5.8698,NaN,NaN,NaN,NaN,NaN,NaN,-14.5679,NaN,NaN,-14.5011,NaN,-18.8938,NaN,-1.3881,-1.5452,NaN,-13.7777,-13.3517,-0.9491,-16.3088,-2.6224,-2.3222,-1.1867,-1.4898,NaN,-0.4741,NaN,NaN,-0.2954,-0.2957,-0.6322,-0.5136,-0.4305,-1.4600,-1.1475,-1.2347,-1.4308,-1.2002,-1.0191,-2.1872,-1.7930,-1.8056,-2.1986,NaN,NaN,NaN,-7.2830,NaN,-1.4192,-2.1384,NaN,NaN,-1.4808,NaN,0.1002,NaN,NaN,NaN,-16.1150,-7.6798,-7.9790,-12.0956,-19.6706,NaN,NaN,NaN,-6.5928,-0.7877,-3.6051,-1.1448,NaN,-0.6364,NaN,NaN,NaN,NaN,-10.5643
0.9500,-17.1241,-19.1807,-19.1928,-19.2613,NaN,NaN,NaN,-5.8302,NaN,NaN,NaN,NaN,NaN,NaN,-14.2884,NaN,NaN,-14.1870,NaN,-18.8127,NaN,-1.1785,-1.2757,NaN,-13.0307,-12.5792,-0.7463,-16.2573,-2.3997,-2.3232,-1.1875,-1.4795,NaN,-0.4372,NaN,NaN,-0.2987,-0.2989,-0.6376,-0.5450,-0.4024,-1.1504,-0.9878,-0.9754,-1.0816,-0.9439,-0.7610,-1.8440,-1.4956,-1.5105,-1.9455,NaN,NaN,NaN,-6.0136,NaN,-0.8826,-1.7204,NaN,NaN,-0.9591,NaN,0.0906,NaN,NaN,NaN,-16.0911,-6.9416,-7.0595,-12.0903,-19.6450,NaN,NaN,NaN,-4.8158,-0.7932,-2.8571,-1.1203,NaN,-0.6593,NaN,NaN,NaN,NaN,-10.5588
0.9600,-17.0187,-19.1366,-19.1548,-19.2327,NaN,NaN,NaN,-5.7907,NaN,NaN,NaN,NaN,NaN,NaN,-14.0185,NaN,NaN,-13.9317,NaN,-18.7320,NaN,-0.8917,-0.9435,NaN,-12.2811,-11.7994,-0.5953,-16.2059,-2.1855,-2.3246,-1.1885,NaN,NaN,-0.3566,NaN,NaN,NaN,-0.3021,-0.6399,-0.5719,-0.3900,-0.9062,-0.7399,-0.7775,-0.8848,-0.6901,-0.4986,-1.4582,-1.2179,-1.2152,-1.7202,NaN,NaN,NaN,-4.8097,NaN,-0.7088,-1.3509,NaN,NaN,-0.5657,NaN,0.0793,NaN,NaN,NaN,-16.0665,-6.2550,-6.1090,-12.0848,-19.6235,NaN,NaN,NaN,-3.1331,-0.8075,-2.1708,-1.1037,NaN,-0.6779,NaN,NaN,NaN,NaN,-10.5535
0.9700,-16.9253,-19.1044,-19.1234,-19.2019,NaN,NaN,NaN,-5.7517,NaN,NaN,NaN,NaN,NaN,NaN,-13.7759,NaN,NaN,-13.7074,NaN,-18.6513,NaN,-0.6288,-0.7017,NaN,-11.5361,-10.9833,-0.5755,-16.1544,-1.9831,-2.3263,NaN,NaN,NaN,-0.2490,NaN,NaN,NaN,-0.3053,-0.6399,-0.5849,-0.3983,-0.6703,-0.5206,-0.6109,-0.7032,-0.4980,-0.3421,-1.1850,-0.8935,-0.9492,-1.5301,NaN,NaN,NaN,-3.6817,NaN,-0.6522,-1.0441,NaN,NaN,-0.5804,NaN,0.0658,NaN,NaN,NaN,-16.0408,-5.5156,NaN,-12.0790,-19.6078,NaN,NaN,NaN,-1.7807,-0.8217,-1.5633,-1.1000,NaN,-0.6914,NaN,NaN,NaN,NaN,-10.5486
0.9800,-16.8613,-19.0776,-19.0953,-19.1693,NaN,NaN,NaN,-5.7128,NaN,NaN,NaN,NaN,NaN,NaN,-13.5397,NaN,NaN,-13.4835,NaN,-18.5718,NaN,NaN,-0.7167,NaN,-10.7802,-10.1791,-0.4925,-16.1029,-1.7900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3086,-0.6399,-0.5703,-0.4222,NaN,-0.4083,-0.3874,-0.3362,-0.3460,-0.2215,-0.9251,-0.5973,-0.6951,NaN,NaN,NaN,NaN,-2.6426,NaN,-0.6146,-0.8051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-16.0147,-4.7849,NaN,-12.0729,-19.5947,NaN,NaN,NaN,-1.0307,-0.8269,-1.0466,-1.1000,NaN,-0.6988,NaN,NaN,NaN,NaN,-10.5439
0.9900,-16.8015,-19.0554,-19.0706,-19.1353,NaN,NaN,NaN,-5.6741,NaN,NaN,NaN,NaN,NaN,NaN,-13.2898,NaN,NaN,-13.3284,NaN,-18.4939,NaN,NaN,-0.5315,NaN,-10.0285,-9.3742,-0.4846,-16.0515,-1.6105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3118,-0.6399,-0.5241,NaN,NaN,-0.2577,-0.1968,-0.1378,-0.2188,-0.0929,-0.5919,-0.3561,-0.4455,NaN,NaN,NaN,NaN,-1.6890,NaN,-0.5897,-0.6486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15.9876,-4.0553,NaN,-12.0666,-19.5840,NaN,NaN,NaN,-0.9549,-0.8234,-0.7849,-1.1000,NaN,-0.6280,NaN,NaN,NaN,NaN,-10.5396
1.0000,-16.7400,-19.0400,-19.0500,-19.1000,NaN,NaN,NaN,-5.6356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.4158,NaN,NaN,NaN,NaN,-9.2860,-8.5687,-0.3900,-16.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3150,NaN,-0.4550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.5860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15.9600,NaN,NaN,-12.0600,-19.5767,NaN,NaN,NaN,-1.0500,-0.7405,NaN,-1.1000,NaN,-0.2000,NaN,NaN,NaN,NaN,-10.5356
