depth [m],Devon73,Isunnguata_M1-10,Jakobshavn95D_T4,Meighen67,Isunnguata_27km-12C,Isunnguata_33km_15N,TD5_91,SiteII,Isunnguata_27km-12B,StationCentrale,Isunnguata_33km_14SB,GRIP,Isunnguata_27km-11A,HansTausen_Hare,Jakobshavn95D_T5,Jakobshavn89A,Agassiz84,Renland88,NEEM,Isunnguata_27km-12A,Isunnguata_33km_14N,CampCentury,Jakobshavn89B,Jakobshavn95D_I2,Isunnguata_33km_14SA,FOXX2,TD4_91a,FOXX1,TD5_90,PrinceWales05,Agassiz77,Isunnguata_33km_15E,Isunnguata_46km-11A,Devon98,DYE-3,Store_R30_BH19c,FladeIsblink06,Jakobshavn95D_T3,TD1_88,CampVI_50,Jakobshavn95D_I1,Isua_10,Isunnguata_33km_15CA,GISP2,TD2_88,Isua_14,TD3_88,Isua_12,Agassiz79b,Isua_11,Isunnguata_33km_14W,Agassiz79a,TD4_91b,Isunnguata_27km-11B,Isua_13,GULL,Store_R29_BH18c,CampIII_78,Store_S30,Tuto_D-11,Isunnguata_27km-11C,Isunnguata_33km_15CB,Isunnguata_M2-10B,Devon72,Isunnguata_13km-10,NGRIP,HansTausen_Dome,Isunnguata_33km_15S,Penny96,Isunnguata_46km-11B
158,-21.6935,,,,-4.8750,-11.6300,-10.4952,-25.1667,-5.2650,,,-31.7924,,-9.5916,,-11.1252,,-17.5981,-29.1762,-4.4990,-8.1900,-24.5993,-13.8359,,-10.8079,-6.4182,-6.0653,,-10.3952,-19.7866,-21.9303,-11.8100,-11.5207,-21.6100,-20.2956,-15.9040,-17.3906,-16.7536,-2.2000,,,,-11.6768,-31.4676,-2.0855,-1.0163,-0.1384,,,,-11.8083,,-6.0535,-3.2722,-0.9497,-2.9570,-12.8511,,-16.4497,,-3.7408,,,-21.7892,-3.1646,-31.6804,-18.7910,-10.3728,-12.1140,-11.7965
159,-21.6736,,,,-4.8795,-11.6300,-10.5119,-25.1682,-5.2757,,,-31.7916,,-9.5632,,-11.1578,,-17.5820,-29.1766,-4.5015,-8.2121,-24.5995,-13.8804,,-10.8072,-6.4454,-6.0594,,-10.4119,-19.7720,-21.9060,-11.8100,-11.5395,-21.5963,-20.3022,-15.9448,-17.3938,-16.7819,-2.2000,,,,-11.6796,-31.4671,-2.0809,-0.9903,-0.1460,,,,-11.8096,,-6.0476,-3.2661,-0.9309,-2.9959,-12.8455,,-16.4843,,-3.7383,,,-21.7695,-3.1699,-31.6805,-18.7761,-10.3921,-12.1122,-11.7996
160,-21.6536,,,,-4.8843,-11.6300,-10.5286,-25.1697,-5.2891,,,-31.7908,,-9.5353,,-11.1903,,-17.5657,-29.1770,-4.5038,-8.2351,-24.5996,-13.9245,,-10.8064,-6.4722,-6.0535,,-10.4286,-19.7572,-21.8825,-11.8100,-11.5583,-21.5820,-20.3087,-15.9847,-17.3950,-16.8099,-2.2000,,,,-11.6822,-31.4666,-2.0758,-0.9808,-0.1541,,,,-11.8100,,-6.0416,-3.2599,-0.9150,-3.0354,-12.8402,,-16.5188,,-3.7358,,,-21.7495,-3.1750,-31.6805,-18.7612,-10.4129,-12.1100,-11.8027
161,-21.6332,,,,-4.8893,-11.6300,-10.5453,-25.1712,-5.3049,,,-31.7901,,-9.5076,,-11.2227,,-17.5492,-29.1774,-4.5061,-8.2590,-24.5997,-13.9682,,-10.8055,-6.4988,-6.0476,,-10.4453,-19.7419,-21.8600,-11.8103,-11.5770,-21.5671,-20.3150,-16.0223,-17.3949,-16.8378,-2.2000,,,,-11.6845,-31.4661,-2.0705,-0.9809,-0.1626,,,,-11.8096,,-6.0356,-3.2534,-0.9002,-3.0757,-12.8351,,-16.5533,,-3.7330,,,-21.7292,-3.1803,-31.6805,-18.7463,-10.4348,-12.1076,-11.8057
162,-21.6126,,,,-4.8946,-11.6300,-10.5620,-25.1726,-5.3226,,,-31.7895,,-9.4802,,-11.2549,,-17.5326,-29.1777,-4.5083,-8.2837,-24.5999,-14.0114,,-10.8045,-6.5251,-6.0416,,-10.4620,-19.7260,-21.8395,-11.8112,-11.5980,-21.5519,-20.3213,-16.0576,-17.3946,-16.8655,-2.2000,,,,-11.6864,-31.4655,-2.0648,-0.9811,-0.1715,,,,-11.8083,,-6.0296,-3.2469,-0.8849,-3.1166,-12.8303,,-16.5878,,-3.7297,,,-21.7089,-3.1858,-31.6805,-18.7313,-10.4574,-12.1050,-11.8088
163,-21.5919,,,,-4.9002,-11.6300,-10.5787,-25.1740,-5.3419,,,-31.7888,,-9.4530,,-11.2871,,-17.5159,-29.1781,-4.5105,-8.3089,-24.6000,-14.0542,,-10.8034,-6.5511,-6.0356,,-10.4787,-19.7097,-21.8206,-11.8126,-11.6233,-21.5364,-20.3274,-16.1002,-17.3941,-16.8930,-2.2000,,,,-11.6879,-31.4649,-2.0590,-0.9814,-0.1809,,,,-11.8064,,-6.0236,-3.2403,-0.8694,-3.1581,-12.8257,,-16.6223,,-3.7260,,,-21.6886,-3.1913,-31.6804,-18.7164,-10.4802,-12.1024,-11.8119
164,-21.5711,,,,-4.9060,-11.6300,-10.5954,-25.1754,-5.3625,,,-31.7881,,-9.4258,,-11.3192,,-17.4989,-29.1784,-4.5128,-8.3347,-24.6001,-14.0966,,-10.8023,-6.5768,-6.0296,,-10.4954,-19.6934,-21.8020,-11.8145,-11.6524,-21.5209,-20.3333,-16.1385,-17.3934,-16.9202,-2.2000,,,,-11.6891,-31.4643,-2.0530,-0.9818,-0.1906,,,,-11.8038,,-6.0175,-3.2336,-0.8542,-3.2003,-12.8215,,-16.6567,,-3.7218,,,-21.6685,-3.1968,-31.6804,-18.7015,-10.5028,-12.0997,-11.8151
165,-21.5505,,,,-4.9120,-11.6300,-10.6121,-25.1769,-5.3840,,,-31.7874,,-9.3986,,-11.3511,,-17.4819,-29.1787,-4.5151,-8.3609,-24.6002,-14.1386,,-10.8010,-6.6022,-6.0236,,-10.5121,-19.6774,-21.7823,-11.8168,-11.6846,-21.5053,-20.3392,-16.1757,-17.3926,-16.9473,-2.2000,,,,-11.6898,-31.4636,-2.0470,-0.9823,-0.2007,,,,-11.8006,,-6.0115,-3.2270,-0.8396,-3.2430,-12.8177,,-16.6912,,-3.7172,,,-21.6484,-3.2019,-31.6803,-18.6866,-10.5249,-12.0968,-11.8185
166,-21.5300,,,,-4.9183,-11.6300,-10.6288,-25.1782,-5.4061,,,-31.7866,,-9.3713,,-11.3830,,-17.4648,-29.1790,-4.5176,-8.3874,-24.6003,-14.1801,,-10.7997,-6.6271,-6.0175,,-10.5288,-19.6620,-21.7600,-11.8195,-11.7194,-21.4899,-20.3449,-16.2136,-17.3915,-16.9742,-2.2000,,,,-11.6900,-31.4629,-2.0410,-0.9828,-0.2111,,,,-11.7970,,-6.0054,-3.2204,-0.8261,-3.2862,-12.8141,,-16.7256,,-3.7122,,,-21.6282,-3.2065,-31.6802,-18.6716,-10.5460,-12.0939,-11.8220
167,-21.5099,,,,-4.9247,-11.6300,-10.6456,-25.1796,-5.4285,,,-31.7857,,-9.3438,,-11.4148,,-17.4475,-29.1793,-4.5202,-8.4140,-24.6004,-14.2212,,-10.7983,-6.6518,-6.0115,,-10.5456,-19.6476,-21.7333,-11.8227,-11.7561,-21.4747,-20.3507,-16.2528,-17.3904,-17.0009,-2.2000,,,,-11.6900,-31.4622,-2.0352,-0.9834,-0.2217,,,,-11.7931,,-5.9993,-3.2135,-0.8141,-3.3300,-12.8109,,-16.7599,,-3.7068,,,-21.6077,-3.2103,-31.6800,-18.6567,-10.5658,-12.0909,-11.8257
168,-21.4902,,,,-4.9313,-11.6300,-10.6623,-25.1810,-5.4507,,,-31.7848,,-9.3159,,-11.4464,,-17.4302,-29.1796,-4.5231,-8.4408,-24.6006,-14.2618,,-10.7969,-6.6760,-6.0054,,-10.5623,-19.6346,-21.7027,-11.8262,-11.7943,-21.4600,-20.3567,-16.2929,-17.3890,-17.0275,-2.2000,,,,-11.6900,-31.4614,-2.0295,-0.9841,-0.2325,,,,-11.7889,,-5.9932,-3.2060,-0.8041,-3.3743,-12.8081,,-16.7943,,-3.7012,,,-21.5871,-3.2134,-31.6797,-18.6418,-10.5838,-12.0878,-11.8295
169,-21.4710,,,,-4.9381,-11.6300,-10.6791,-25.1824,-5.4725,,,-31.7839,,-9.2877,,-11.4780,,-17.4127,-29.1798,-4.5262,-8.4676,-24.6006,-14.3020,,-10.7953,-6.6998,-5.9993,,-10.5791,-19.6231,-21.6705,-11.8299,-11.8333,-21.4456,-20.3630,-16.3277,-17.3875,-17.0538,-2.2000,,,,-11.6900,-31.4606,-2.0242,-0.9848,-0.2436,,,,-11.7845,,-5.9870,-3.1979,-0.7964,-3.4191,-12.8057,,-16.8286,,-3.6952,,,-21.5665,-3.2153,-31.6794,-18.6269,-10.5996,-12.0847,-11.8337
170,-21.4525,,,,-4.9451,-11.6300,-10.6959,-25.1837,-5.4934,,,-31.7829,,-9.2589,,-11.5094,,-17.3952,-29.1801,-4.5296,-8.4942,-24.6007,-14.3417,,-10.7937,-6.7232,-5.9932,,-10.5959,-19.6137,-21.6388,-11.8339,-11.8725,-21.4314,-20.3695,-16.3602,-17.3859,-17.0801,-2.2000,,,,-11.6900,-31.4598,-2.0191,-0.9855,-0.2548,,,,-11.7800,,-5.9809,-3.1892,-0.7914,-3.4643,-12.8037,,-16.8629,,-3.6890,,,-21.5457,-3.2160,-31.6791,-18.6119,-10.6129,-12.0814,-11.8381
171,-21.4346,,,,-4.9522,-11.6300,-10.7127,-25.1850,-5.5132,,,-31.7819,,-9.2296,,-11.5408,,-17.3776,-29.1804,-4.5333,-8.5206,-24.6008,-14.3810,,-10.7921,-6.7462,-5.9870,,-10.6127,-19.6056,-21.6100,-11.8382,-11.9114,-21.4173,-20.3760,-16.3983,-17.3842,-17.1061,-2.2000,,,,-11.6900,-31.4590,-2.0145,-0.9863,-0.2662,,,,-11.7755,,-5.9747,-3.1801,-0.7897,-3.5100,-12.8021,,-16.8972,,-3.6826,,,-21.5249,-3.2159,-31.6788,-18.5970,-10.6231,-12.0780,-11.8427
172,-21.4172,,,,-4.9594,-11.6300,-10.7295,-25.1864,-5.5315,,,-31.7809,,-9.1996,,-11.5720,,-17.3600,-29.1806,-4.5374,-8.5467,-24.6009,-14.4198,,-10.7904,-6.7687,-5.9809,,-10.6295,-19.5981,-21.5846,-11.8426,-11.9493,-21.4033,-20.3825,-16.4349,-17.3823,-17.1320,-2.2000,,,,-11.6900,-31.4581,-2.0104,-0.9870,-0.2776,,,,-11.7711,,-5.9685,-3.1704,-0.7902,-3.5560,-12.8009,,-16.9315,,-3.6759,,,-21.5040,-3.2158,-31.6785,-18.5821,-10.6300,-12.0746,-11.8478
173,-21.4002,,,,-4.9668,-11.6300,-10.7464,-25.1877,-5.5479,,,-31.7798,,-9.1688,,-11.6032,,-17.3424,-29.1809,-4.5424,-8.5723,-24.6010,-14.4581,,-10.7886,-6.7907,-5.9747,,-10.6464,-19.5913,-21.5610,-11.8472,-11.9858,-21.3894,-20.3890,-16.4662,-17.3803,-17.1578,-2.2000,,,,-11.6900,-31.4572,-2.0069,-0.9878,-0.2891,,,,-11.7669,,-5.9624,-3.1602,-0.7914,-3.6024,-12.8002,,-16.9657,,-3.6691,,,-21.4832,-3.2156,-31.6781,-18.5672,-10.6349,-12.0711,-11.8531
174,-21.3833,,,,-4.9743,-11.6300,-10.7633,-25.1890,-5.5621,,,-31.7788,,-9.1371,,-11.6343,,-17.3247,-29.1811,-4.5485,-8.5974,-24.6011,-14.4959,,-10.7868,-6.8122,-5.9685,,-10.6633,-19.5853,-21.5380,-11.8519,-12.0201,-21.3755,-20.3954,-16.5027,-17.3782,-17.1834,-2.2000,,,,-11.6900,-31.4563,-2.0040,-0.9885,-0.3006,,,,-11.7630,,-5.9562,-3.1497,-0.7934,-3.6492,-12.8000,,-17.0000,,-3.6621,,,-21.4623,-3.2153,-31.6778,-18.5522,-10.6393,-12.0675,-11.8589
175,-21.3664,,,,-4.9819,-11.6300,-10.7803,-25.1903,-5.5738,,,-31.7777,,-9.1045,,-11.6652,,-17.3070,-29.1813,-4.5558,-8.6218,-24.6011,-14.5333,,-10.7850,-6.8332,-5.9624,,-10.6803,-19.5804,-21.5148,-11.8566,-12.0517,-21.3617,-20.4016,-16.5341,-17.3761,-17.2089,-2.2000,,,,-11.6900,-31.4554,-2.0018,-0.9892,-0.3122,,,,-11.7594,,-5.9499,-3.1388,-0.7957,-3.6964,-12.8411,,-17.0342,,-3.6551,,,-21.4411,-3.2150,-31.6774,-18.5373,-10.6434,-12.0638,-11.8654
176,-21.3494,,,,-4.9895,-11.6304,-10.7973,-25.1916,-5.5826,,,-31.7766,,-9.0708,,-11.6961,,-17.2892,-29.1815,-4.5639,-8.6454,-24.6012,-14.5702,,-10.7831,-6.8537,-5.9562,,-10.6973,-19.5767,-21.4900,-11.8614,-12.0801,-21.3478,-20.4075,-16.5655,-17.3738,-17.2343,-2.2000,,,,-11.6900,-31.4544,-2.0005,-0.9898,-0.3237,,,,-11.7562,,-5.9437,-3.1275,-0.7984,-3.7438,-12.9471,,-17.0683,,-3.6479,,,-21.4198,-3.2147,-31.6770,-18.5224,-10.6473,-12.0600,-11.8730
177,-21.3321,,,,-4.9972,-11.6317,-10.8143,-25.1929,-5.5881,,,-31.7755,,-9.0360,,-11.7268,,-17.2713,-29.1816,-4.5728,-8.6682,-24.6012,-14.6066,,-10.7812,-6.8737,-5.9499,,-10.7143,,-21.4632,-11.8662,-12.1046,-21.3340,-20.4131,-16.5943,-17.3715,-17.2595,-2.2000,,,,-11.6900,-31.4535,-2.0000,-0.9903,-0.3351,,,,-11.7536,,-5.9375,-3.1159,-0.8011,-3.7915,-13.0920,,-17.1025,,-3.6407,,,-21.3984,-3.2144,-31.6764,-18.5075,-10.6508,,-11.8817
178,-21.3143,,,,-5.0050,-11.6336,-10.8314,-25.1941,-5.5900,,,-31.7744,,-9.0000,,-11.7575,,-17.2532,-29.1818,-4.5823,-8.6900,-24.6013,-14.6425,,-10.7792,-6.8931,-5.9437,,-10.7314,,-21.4351,-11.8709,-12.1247,-21.3200,-20.4183,-16.6257,-17.3690,-17.2846,-2.2000,,,,-11.6900,-31.4525,-2.0025,-0.9908,-0.3464,,,,-11.7517,,-5.9313,-3.1041,-0.8037,-3.8395,-13.2497,,-17.1366,,-3.6334,,,-21.3770,-3.2142,-31.6759,-18.4925,-10.6540,,-11.8914
179,-21.2959,,,,-5.0135,-11.6362,-10.8486,-25.1954,-5.5881,,,-31.7733,,-8.9627,,-11.7880,,-17.2350,-29.1819,-4.5923,-8.7111,-24.6013,-14.6780,,-10.7772,-6.9121,-5.9375,,-10.7486,,-21.4063,-11.8755,-12.1398,-21.3060,-20.4230,-16.6604,-17.3665,-17.3096,-2.2000,,,,-11.6900,-31.4514,-2.0097,-0.9912,-0.3575,,,,-11.7504,,-5.9250,-3.0920,-0.8061,-3.8877,-13.3944,,-17.1707,,-3.6262,,,-21.3557,-3.2141,-31.6755,-18.4776,-10.6571,,-11.9020
180,-21.2768,,,,-5.0231,-11.6394,-10.8658,-25.1966,-5.5827,,,-31.7721,,-8.9244,,-11.8185,,-17.2166,-29.1820,-4.6025,-8.7317,-24.6014,-14.7129,,-10.7752,-6.9308,-5.9313,,-10.7658,,-21.3777,-11.8800,-12.1493,-21.2922,-20.4272,-16.6875,-17.3640,-17.3345,-2.2000,,,,-11.6900,-31.4504,-2.0208,-0.9915,-0.3685,,,,-11.7500,,-5.9188,-3.0797,-0.8080,-3.9361,-13.5000,,-17.2048,,-3.6190,,,-21.3345,-3.2140,-31.6752,-18.4627,-10.6599,,-11.9136
181,-21.2566,,,,-5.0338,-11.6430,-10.8830,-25.1979,-5.5742,,,-31.7709,,-8.8850,,-11.8489,,-17.1981,-29.1821,-4.6130,-8.7520,-24.6014,-14.7473,,-10.7731,-6.9493,-5.9250,,-10.7830,,-21.3500,-11.8847,-12.1526,-21.2783,-20.4308,-16.7165,-17.3610,-17.3593,-2.2000,,,,-11.6900,-31.4493,-2.0351,-0.9917,-0.3793,,,,-11.7500,,-5.9125,-3.0672,-0.8093,-3.9847,-13.5757,,-17.2389,,-3.6117,,,-21.3136,-3.2177,-31.6751,-18.4478,-10.6626,,-11.9260
182,-21.2356,,,,-5.0452,-11.6469,-10.9004,-25.1991,-5.5630,,,-31.7697,,-8.8448,,-11.8791,,-17.1795,-29.1822,-4.6234,-8.7719,-24.6014,-14.7812,,-10.7711,-6.9676,-5.9188,,-10.8004,,-21.3234,-11.8898,-12.1518,-21.2645,-20.4337,-16.7432,-17.3572,-17.3840,-2.2000,,,,-11.6900,-31.4482,-2.0519,-0.9918,-0.3899,,,,-11.7500,,-5.9063,-3.0546,-0.8097,-4.0334,-13.6473,,-17.2729,,-3.6041,,,-21.2929,-3.2281,-31.6750,-18.4328,-10.6651,,-11.9392
183,-21.2138,,,,-5.0574,-11.6511,-10.9178,-25.2004,-5.5494,,,-31.7685,,-8.8036,,-11.9093,,-17.1607,-29.1823,-4.6337,-8.7915,-24.6015,-14.8147,,-10.7690,-6.9856,-5.9125,,-10.8178,,-21.2973,-11.8953,-12.1495,-21.2506,-20.4358,-16.7760,-17.3526,-17.4087,-2.2000,,,,-11.6900,-31.4471,-2.0704,-0.9904,-0.4001,,,,-11.7500,,-5.9000,-3.0419,-0.8042,-4.0823,-13.7135,,-17.3069,,-3.5963,,,-21.2726,-3.2436,-31.6749,-18.4179,-10.6676,,-11.9531
184,-21.1915,,,,-5.0701,-11.6555,-10.9352,-25.2016,-5.5338,,,-31.7672,,-8.7617,,-11.9394,,-17.1419,-29.1824,-4.6437,-8.8108,-24.6015,-14.8475,,-10.7669,-7.0034,-5.9063,,-10.8352,,-21.2715,-11.9012,-12.1460,-21.2367,-20.4372,-16.8068,-17.3473,-17.4332,-2.2000,,,,-11.6900,-31.4460,-2.0900,-0.9864,-0.4101,,,,-11.7500,,-5.8937,-3.0292,-0.7889,-4.1313,-13.7730,,-17.3409,,-3.5882,,,-21.2529,-3.2630,-31.6748,-18.4030,-10.6699,,-11.9677
185,-21.1689,,,,-5.0830,-11.6600,-10.9528,-25.2028,-5.5167,,,-31.7659,,-8.7190,,-11.9693,,-17.1229,-29.1824,-4.6532,-8.8298,-24.6015,-14.8799,,-10.7648,-7.0209,-5.9000,,-10.8528,,-21.2458,-11.9074,-12.1412,-21.2227,-20.4377,-16.8370,-17.3414,-17.4576,-2.2000,,,,-11.6900,-31.4448,-2.1100,-0.9802,-0.4197,,,,-11.7500,,-5.8874,-3.0164,-0.7662,-4.1804,-13.8248,,-17.3749,,-3.5798,,,-21.2337,-3.2850,-31.6747,-18.3881,-10.6723,,-11.9831
186,-21.1461,,,,-5.0961,-11.6645,-10.9704,-25.2040,-5.4985,,,-31.7646,,-8.6757,,-11.9992,,-17.1039,-29.1824,-4.6621,-8.8485,-24.6015,-14.9118,,-10.7626,-7.0382,-5.8937,,-10.8704,,-21.2200,-11.9139,-12.1355,-21.2086,-20.4376,-16.8688,-17.3349,-17.4820,-2.2000,,,,-11.6900,-31.4436,-2.1296,-0.9719,-0.4290,,,,-11.7500,,-5.8810,-3.0036,-0.7380,-4.2295,-13.8675,,-17.4089,,-3.5713,,,-21.2149,-3.3081,-31.6745,-18.3731,-10.6746,,-11.9990
187,-21.1233,,,,-5.1092,-11.6689,-10.9881,-25.2052,-5.4794,,,-31.7632,,-8.6319,,-12.0290,,-17.0847,-29.1824,-4.6703,-8.8670,-24.6015,-14.9431,,-10.7605,-7.0552,-5.8874,,-10.8881,,-21.1942,-11.9205,-12.1290,-21.1944,-20.4376,-16.9002,-17.3278,-17.5064,-2.2000,,,,-11.6900,-31.4424,-2.1481,-0.9620,-0.4378,,,,-11.7500,,-5.8746,-2.9906,-0.7066,-4.2787,-13.9000,,-17.4428,,-3.5625,,,-21.1964,-3.3310,-31.6742,-18.3582,-10.6769,,-12.0154
188,-21.1008,,,,-5.1220,-11.6731,-11.0059,-25.2064,-5.4600,,,-31.7618,,-8.5875,,-12.0587,,-17.0654,-29.1824,-4.6776,-8.8853,-24.6015,-14.9738,,-10.7584,-7.0719,-5.8811,,-10.9059,,-21.1685,-11.9273,-12.1218,-21.1800,-20.4375,-16.9287,-17.3203,-17.5306,-2.2000,,,,-11.6900,-31.4412,-2.1649,-0.9506,-0.4462,,,,-11.7500,,-5.8682,-2.9770,-0.6740,-4.3279,-13.9262,,-17.4767,,-3.5535,,,-21.1780,-3.3523,-31.6738,-18.3433,-10.6793,,-12.0324
189,-21.0787,,,,-5.1345,-11.6770,-11.0238,-25.2076,-5.4406,,,-31.7604,,-8.5428,,-12.0882,,-17.0461,-29.1824,-4.6838,-8.9033,-24.6015,-15.0041,,-10.7563,-7.0884,-5.8747,,-10.9238,,-21.1427,-11.9342,-12.1142,-21.1654,-20.4373,-16.9587,-17.3124,-17.5548,-2.2000,,,,-11.6900,-31.4400,-2.1792,-0.9382,-0.4541,,,,-11.7500,,-5.8617,-2.9629,-0.6425,-4.3770,-13.9511,,-17.5106,,-3.5443,,,-21.1596,-3.3708,-31.6733,-18.3284,-10.6818,,-12.0498
190,-21.0573,,,,-5.1463,-11.6806,-11.0417,-25.2088,-5.4215,,,-31.7590,,-8.4977,,-12.1177,,-17.0266,-29.1824,-4.6888,-8.9212,-24.6015,-15.0338,,-10.7542,-7.1046,-5.8683,,-10.9417,,-21.1166,-11.9411,-12.1062,-21.1507,-20.4372,-16.9811,-17.3041,-17.5790,-2.2000,,,,-11.6900,-31.4387,-2.1903,-0.9249,-0.4615,,,,-11.7500,,-5.8552,-2.9484,-0.6142,-4.4262,-13.9746,,-17.5444,,-3.5350,,,-21.1410,-3.3850,-31.6729,-18.3134,-10.6844,,-12.0677
191,-21.0365,,,,-5.1575,-11.6838,-11.0598,-25.2100,-5.4033,,,-31.7576,,-8.4523,,-12.1471,,-17.0071,-29.1824,-4.6925,-8.9389,-24.6015,-15.0629,,-10.7521,-7.1205,-5.8619,,-10.9598,,-21.0900,-11.9479,-12.0980,-21.1358,-20.4369,-17.0089,-17.2955,-17.6031,-2.2000,,,,-11.6900,-31.4374,-2.1975,-0.9112,-0.4684,,,,-11.7500,,-5.8486,-2.9334,-0.5912,-4.4752,-13.9968,,-17.5783,,-3.5254,,,-21.1221,-3.3965,-31.6724,-18.2985,-10.6871,,-12.0859
192,-21.0162,,,,-5.1677,-11.6864,-11.0780,-25.2111,-5.3862,,,-31.7563,,-8.4067,,-12.1764,,-16.9875,-29.1823,-4.6953,-8.9564,-24.6015,-15.0915,,-10.7500,-7.1362,-5.8554,,-10.9780,,-21.0623,-11.9547,-12.0899,-21.1207,-20.4367,-17.0363,-17.2866,-17.6271,-2.2000,,,,-11.6900,-31.4361,-2.2000,-0.8972,-0.4746,,,,-11.7500,,-5.8420,-2.9181,-0.5710,-4.5242,-14.0178,,-17.6121,,-3.5157,,,-21.1027,-3.4075,-31.6718,-18.2836,-10.6900,,-12.1044
193,-20.9963,,,,-5.1768,-11.6883,-11.0962,-25.2123,-5.3706,,,-31.7549,,-8.3610,,-12.2056,,-16.9679,-29.1821,-4.6979,-8.9739,-24.6015,-15.1196,,-10.7478,-7.1515,-5.8489,,-10.9962,,-21.0337,-11.9614,-12.0819,-21.1056,-20.4364,-17.0658,-17.2776,-17.6512,-2.2000,,,,-11.6900,-31.4348,-2.2000,-0.8833,-0.4803,,,,-11.7500,,-5.8354,-2.9025,-0.5498,-4.5733,-14.0376,,-17.6459,,-3.5058,,,-21.0828,-3.4181,-31.6712,-18.2687,-10.6931,,-12.1231
194,-20.9766,,,,-5.1847,-11.6896,-11.1146,-25.2135,-5.3570,,,-31.7535,,-8.3153,,-12.2347,,-16.9482,-29.1820,-4.7002,-8.9912,-24.6015,-15.1471,,-10.7455,-7.1666,-5.8424,,-11.0146,,-21.0049,-11.9679,-12.0742,-21.0905,-20.4361,-17.0925,-17.2684,-17.6752,-2.2000,,,,-11.6900,-31.4335,-2.2000,-0.8697,-0.4853,,,,-11.7500,,-5.8287,-2.8867,-0.5280,-4.6228,-14.0563,,-17.6797,,-3.4958,,,-21.0621,-3.4282,-31.6706,-18.2537,-10.6965,,-12.1421
195,-20.9569,,,,-5.1911,-11.6900,-11.1331,-25.2146,-5.3458,,,-31.7521,,-8.2696,,-12.2637,,-16.9284,-29.1818,-4.7023,-9.0085,-24.6015,-15.1740,,-10.7430,-7.1813,-5.8358,,-11.0331,,-20.9768,-11.9741,-12.0671,-21.0753,-20.4357,-17.1233,-17.2592,-17.6992,-2.2000,,,,-11.6900,-31.4322,-2.2000,-0.8548,-0.4897,,,,-11.7500,,-5.8220,-2.8706,-0.5063,-4.6726,-14.0739,,-17.7134,,-3.4856,,,-21.0404,-3.4377,-31.6700,-18.2388,-10.7001,,-12.1625
196,-20.9372,,,,-5.1959,-11.6897,-11.1517,-25.2157,-5.3373,,,-31.7506,,-8.2239,,-12.2927,,-16.9086,-29.1816,-4.7043,-9.0257,-24.6015,-15.2004,,-10.7404,-7.1958,-5.8292,,-11.0517,,-20.9500,-11.9801,-12.0605,-21.0602,-20.4354,-17.1485,-17.2499,-17.7232,-2.2000,,,,-11.6900,-31.4309,-2.2000,-0.8373,-0.4933,,,,-11.7500,,-5.8152,-2.8544,-0.4849,-4.7227,-14.0904,,-17.7471,,-3.4753,,,-21.0177,-3.4464,-31.6694,-18.2239,-10.7039,,-12.1853
197,-20.9173,,,,-5.1990,-11.6889,-11.1704,-25.2169,-5.3319,,,-31.7490,,-8.1785,,-12.3215,,-16.8888,-29.1814,-4.7060,-9.0428,-24.6015,-15.2261,,-10.7376,-7.2099,-5.8226,,-11.0704,,-20.9251,-11.9857,-12.0548,-21.0450,-20.4350,-17.1685,-17.2407,-17.7471,-2.2000,,,,-11.6900,-31.4295,-2.2000,-0.8177,-0.4962,,,,-11.7500,,-5.8085,-2.8380,-0.4643,-4.7732,-14.1060,,-17.7808,,-3.4649,,,-20.9944,-3.4544,-31.6689,-18.2090,-10.7078,,-12.2104
198,-20.8970,,,,-5.2000,-11.6876,-11.1892,-25.2180,-5.3300,,,-31.7475,,-8.1333,,-12.3502,,-16.8689,-29.1812,-4.7077,-9.0600,-24.6015,-15.2513,,-10.7347,-7.2238,-5.8160,,-11.0892,,-20.9016,-11.9910,-12.0501,-21.0300,-20.4345,-17.1989,-17.2317,-17.7711,-2.2000,,,,-11.6900,-31.4282,-2.2000,-0.7968,-0.4983,,,,-11.7500,,-5.8016,-2.8217,-0.4450,-4.8239,-14.1206,,-17.8145,,-3.4543,,,-20.9705,-3.4616,-31.6684,-18.1940,-10.7118,,-12.2373
199,-20.8761,,,,-5.1998,-11.6858,-11.2081,-25.2191,-5.3319,,,-31.7459,,-8.0885,,-12.3788,,-16.8489,-29.1810,-4.7092,-9.0770,-24.6015,-15.2760,,-10.7317,-7.2373,-5.8093,,-11.1081,,-20.8784,-11.9957,-12.0466,-21.0150,-20.4341,-17.2227,-17.2227,-17.7950,-2.2000,,,,-11.6900,-31.4268,-2.2000,-0.7753,-0.4996,,,,-11.7500,,-5.7948,-2.8053,-0.4275,-4.8749,-14.1343,,-17.8482,,-3.4437,,,-20.9464,-3.4678,-31.6678,-18.1791,-10.7158,,-12.2660
