depth [m],Devon73,Isunnguata_M1-10,Jakobshavn95D_T4,Meighen67,Isunnguata_27km-12C,Isunnguata_33km_15N,TD5_91,SiteII,Isunnguata_27km-12B,StationCentrale,Isunnguata_33km_14SB,GRIP,Isunnguata_27km-11A,HansTausen_Hare,Jakobshavn95D_T5,Jakobshavn89A,Agassiz84,Renland88,NEEM,Isunnguata_27km-12A,Isunnguata_33km_14N,CampCentury,Jakobshavn89B,Jakobshavn95D_I2,Isunnguata_33km_14SA,FOXX2,TD4_91a,FOXX1,TD5_90,PrinceWales05,Agassiz77,Isunnguata_33km_15E,Isunnguata_46km-11A,Devon98,DYE-3,Store_R30_BH19c,FladeIsblink06,Jakobshavn95D_T3,TD1_88,CampVI_50,Jakobshavn95D_I1,Isua_10,Isunnguata_33km_15CA,GISP2,TD2_88,Isua_14,TD3_88,Isua_12,Agassiz79b,Isua_11,Isunnguata_33km_14W,Agassiz79a,TD4_91b,Isunnguata_27km-11B,Isua_13,GULL,Store_R29_BH18c,CampIII_78,Store_S30,Tuto_D-11,Isunnguata_27km-11C,Isunnguata_33km_15CB,Isunnguata_M2-10B,Devon72,Isunnguata_13km-10,NGRIP,HansTausen_Dome,Isunnguata_33km_15S,Penny96,Isunnguata_46km-11B
16,-23.0140,0.0000,,-17.0720,,-9.6167,-8.5857,-23.9981,,-27.0130,,,,-17.1392,,,-21.8027,-18.4785,,-6.1597,,-24.1413,,,,-4.2282,-8.0318,,-8.6610,-21.0897,-24.3500,,-9.4966,-22.5784,,-6.7126,,,,-12.5350,,-3.3817,,,,-4.3248,,,-22.2600,,,-22.3145,-7.6460,,-4.7073,-1.4313,,-2.5631,,-11.3734,,,-0.1949,-22.9301,-2.2828,,-20.9104,,-12.3658,
17,-23.0090,0.0000,,-17.0840,,-9.6726,-8.5713,-24.0102,,-27.0000,,,,-16.9814,,,-21.7833,-18.5106,,-6.0520,,-24.1538,,,,-4.0907,-7.8731,,-8.6240,-21.1163,-24.3490,,-9.4931,-22.6140,,-6.7173,,,,-12.6310,,-3.3686,,,,-4.2994,,,-22.2461,,,-22.3000,-7.5134,,-4.7063,-1.4241,,-2.3448,,-11.3234,,,-0.1808,-22.9526,-2.4963,,-20.8955,,-12.4193,
18,-23.0053,0.0000,,-17.1600,-4.5500,-9.7277,-8.5569,-24.0295,-5.6550,-27.0300,,,,-16.8347,,,-21.7600,-18.5399,,-5.9467,-4.6300,-24.1661,,,,-3.8136,-7.7240,,-8.5890,-21.1400,-24.3463,,-9.4904,-22.6466,,-6.7322,,,,-12.7295,,-3.3575,,,,-4.2747,,,-22.2281,,,-22.2808,-7.3898,,-4.6939,-1.4156,,-2.1449,,-11.2578,,,-0.1602,-22.9771,-2.6673,,-20.8806,,-12.4651,
19,-23.0030,0.0000,,-17.1350,-4.5176,-9.7818,-8.5426,-24.0613,-5.6017,-27.0050,,,,-16.7000,,,-21.7309,-18.5659,,-5.8439,-4.6513,-24.1781,,,,-3.5996,-7.5841,,-8.5560,-21.1605,-24.3421,,-9.4884,-22.6754,,-6.7438,,,,-12.8220,,-3.3478,,,,-4.2509,,,-22.2070,,,-22.2544,-7.2751,,-4.6612,-1.4058,,-1.9634,,-11.1845,,,-0.1349,-23.0023,-2.7808,,-20.8657,,-12.5023,
20,-23.0021,0.0000,,-17.1100,-4.4856,-9.8346,-8.5286,-24.0955,-5.5491,-26.9800,,,,-16.5755,,-4.1000,-21.6988,-18.5880,,-5.7438,-4.6726,-24.1897,,,,-3.4940,-7.4535,,-8.5250,-21.1775,-24.3366,,-9.4871,-22.6999,,-6.7596,,-6.1700,,-12.9000,,-3.3390,,,,-4.2278,-2.1000,,-22.1839,,,-22.2237,-7.1691,,-4.6118,-1.3948,,-1.8000,,-11.1118,-5.8378,,-0.1074,-23.0272,-2.8220,,-20.8507,,-12.5300,
21,-23.0020,-0.0003,,-17.1160,-4.4541,-9.8861,-8.5148,-24.1192,-5.4973,-26.9850,,,,-16.4584,,-4.1698,-21.6662,-18.6089,,-5.6466,-4.6939,-24.2010,,,,-3.4048,-7.3319,,-8.4960,-21.1924,-24.3300,,-9.4867,-22.7192,,-6.7837,,-6.3066,,-12.9651,,-3.3305,,,,-4.2052,-1.9544,,-22.1600,,,-22.1913,-7.0716,,-4.5490,-1.3828,,-1.6486,,-11.0477,-5.6271,,-0.0796,-23.0505,-2.8131,,-20.8358,,-12.5514,
22,-23.0019,-0.0012,,-17.1114,-4.4231,-9.9361,-8.5014,-24.1394,-5.4466,-26.9979,,,,-16.3482,,-4.2398,-21.6357,-18.6296,,-5.5524,-4.7152,-24.2119,,,,-3.3288,-7.2192,,-8.4690,-21.2067,-24.3110,,-9.4869,-22.7328,,-6.8055,,-6.4428,,-13.0251,,-3.3218,,,,-4.1829,-1.8192,,-22.1335,,,-22.1600,-6.9825,,-4.4764,-1.3697,,-1.5033,,-11.0004,-5.4192,,-0.0538,-23.0710,-2.7886,,-20.8209,,-12.5704,
23,-23.0019,-0.0026,,-17.1020,-4.3928,-9.9845,-8.4885,-24.1585,-5.3969,-27.0153,,,,-16.2439,,-4.3099,-21.6100,-18.6475,,-5.4613,-4.7366,-24.2223,,,,-3.2629,-7.1152,,-8.4440,-21.2201,-24.2757,,-9.4872,-22.7400,,-6.8328,,-6.5788,,-13.0807,,-3.3124,,,,-4.1607,-1.6968,,-22.1033,,,-22.1292,-6.9015,,-4.3975,-1.3557,,-1.3644,,-10.9666,-5.2146,,-0.0322,-23.0875,-2.7514,,-20.8060,,-12.5872,
24,-23.0018,-0.0042,,-17.0880,-4.3633,-10.0310,-8.4761,-24.1776,-5.3485,-27.0338,,,,-16.1448,,-4.3802,-21.5896,-18.6602,,-5.3736,-4.7580,-24.2324,,,,-3.2040,-7.0199,,-8.4210,-21.2326,-24.2359,,-9.4878,-22.7436,,-6.8630,,-6.7145,,-13.1329,,-3.3018,,,,-4.1386,-1.5896,,-22.0713,,,-22.0970,-6.8284,,-4.3156,-1.3409,,-1.2322,,-10.9372,-5.0138,,-0.0169,-23.0990,-2.7046,,-20.7910,,-12.6022,
25,-23.0018,-0.0060,,-17.0766,-4.3347,-10.0756,-8.4643,-24.1964,-5.3015,-27.0500,,,,-16.0501,,-4.4506,-21.5723,-18.6650,,-5.2893,-4.7794,-24.2419,,,,-3.1490,-6.9331,,-8.4000,-21.2440,-24.2034,,-9.4886,-22.7469,,-6.8953,,-6.8498,,-13.1825,,-3.2894,,,,-4.1162,-1.5000,-3.7966,-22.0396,-3.7882,,-22.0643,-6.7632,,-4.2343,-1.3253,-4.7000,-1.1071,,-10.9114,-4.8174,,-0.0100,-23.1073,-2.6513,,-20.7761,,-12.6157,
26,-23.0018,-0.0078,,-17.0661,-4.3072,-10.1181,-8.4532,-24.2148,-5.2560,-27.0632,,,,-15.9591,,-4.5211,-21.5562,-18.6640,,-5.2086,-4.8008,-24.2510,,,,-3.0946,-6.8546,,-8.3810,-21.2542,-24.1900,,-9.4897,-22.7498,,-6.9269,,-6.9848,,-13.2303,,-3.2752,,,,-4.0934,-1.4272,-3.7831,-22.0100,-3.7140,,-22.0317,-6.7055,-5.6301,-4.1571,-1.3091,-4.9139,-0.9895,,-10.8883,-4.6261,,-0.0083,-23.1151,-2.5944,,-20.7612,,-12.6279,
