CVI,,StC,,SiteII,
X,Y,X,Y,X,Y
-12.728184949668117,19.76369968375646,-26.899543778966887,20.037095736514736,-23.929921549658545,20.009264225462168
-13.31142338977449,29.469259556672107,-27.06859755505569,30.301098114922254,-24.11278752216274,30.273396052758308
-13.811969879832597,39.73636870840642,-27.196214741898338,40.564712146663915,-24.309329769749258,40.11591284983025
-14.284891977059933,50.0032189623635,-27.282214111050745,50.26561185958935,-24.45066853878526,50.098493344385346
-14.674895588683924,60.128711029951276,-27.409785990782375,60.38864439829341,-24.578240418516888,60.22152588308941
-14.968077904067156,69.83155247620597,-27.48210908485245,70.51115914144303,-24.664239787669302,69.92242559601486
-15.28902053361421,79.95639729935066,-27.54066528961815,80.77412592874161,-24.778316620762652,81.02939913709342
-15.568435959693069,89.79969078975435,-27.571461180220048,90.61508933915017,-24.83655567575125,90.30829547312885
-15.834084496467556,99.78343632430695,-27.643648352957054,100.31585960318698,-24.92255504490366,100.00919518605431
-16.058341751106898,109.90737500523139,-27.66081327558762,110.71901953685732,-24.981156556780384,110.41274346639047
-16.268832116441864,120.17176573030468,-27.66398477335873,120.55972404948864,-24.998276172299924,120.67532190702326
-16.4653743640284,130.0142825273767,-27.667292192462885,130.82217304123276,-25.001492977182046,130.65660791269212
,,-27.68423057953836,140.52242550971508,-25.01847667136854,140.49744187421211
,,-27.687402077309468,150.36313002234647,-25.035415058444013,150.19769434269443
,,,,-25.08015906679434,160.46053168110447
,,,,-25.09727868231387,170.72311012173716
,,,,-25.100450180084984,180.56381463436858
,,,,-25.103802906300142,190.9668451191502
,,,,-25.106793175627185,200.24522365963122
,,,,-25.13772498756213,210.50793154915266
,,,,-25.168656799497047,220.77063943867395
,,,,-25.199452690098926,230.6116028490824
,,,,-25.21643638428542,240.45243681060236
,,,,-25.219607882056525,250.29314132323367
,,,,-25.222960608271695,260.6961718080155
,,,,-25.2261321060428,270.5368763206468
,,,,-25.229303603813914,280.3775808332781
,,,,-25.24637791222244,290.4995777808732
,,,,-25.24954940999354,300.34028229350463
