t,d
-0.5018534068,660.0
-0.682696537,650.0
-1.1760396672,640.0
-1.4193827974000002,630.0
-1.9127259276,620.0
-2.4060690578,610.0
-2.8994121880000003,600.0
-3.2677553182,590.0
-3.7610984484,580.0
-4.1919415786,570.0
-4.6852847088,560.0
-5.116127839,550.0
-5.609470969199999,540.0
-6.040314099400001,530.0
-6.4086572296,520.0
-6.839500359800001,510.0
-7.14534349,500.0
-7.882029750399999,480.0
-8.4937160108,460.0
-9.042902271200001,440.0
-9.5295885316,420.0
-10.078774792,400.0
-10.5029610524,380.0
-10.864647312799999,360.0
-10.9763335732,340.0
-11.150519833599999,320.0
-11.387206094000001,300.0
-11.4988923544,280.0
-11.6105786148,260.0
-11.7222648752,240.0
-11.7714511356,220.0
-11.883137395999999,200.0
-11.869823656400001,180.0
-11.9190099168,160.0
-11.843196177200001,140.0
-11.9548824376,120.0
-11.691568698,100.0
-11.490754958399998,80.0
-11.227441218800001,60.0
-10.9641274792,40.0
