d,t
1, -0.5018534068
11, -0.682696537
21, -1.1760396672
31, -1.4193827974
41, -1.9127259276
51, -2.4060690578
61, -2.899412188
71, -3.2677553182
81, -3.7610984484
91, -4.1919415786
101, -4.6852847088
111, -5.116127839
121, -5.6094709692
131, -6.0403140994
141, -6.4086572296
151, -6.8395003598
161, -7.14534349
181, -7.8820297504
201, -8.4937160108
221, -9.0429022712
241, -9.5295885316
261, -10.078774792
281, -10.5029610524
301, -10.8646473128
321, -10.9763335732
341, -11.1505198336
361, -11.387206094
381, -11.4988923544
401, -11.6105786148
421, -11.7222648752
441, -11.7714511356
461, -11.883137396
481, -11.8698236564
501, -11.9190099168
521, -11.8431961772
541, -11.9548824376
561, -11.691568698
581, -11.4907549584
601, -11.2274412188
621, -10.9641274792

