t,d
-13.806883533939638, 273.61546774146404
-13.777197068124423, 291.8973100849904
-13.737901110484637, 331.2685534040126
-13.590223812909075, 346.7652676772098
-13.601755203098568, 314.589503198107
-13.520829554090158, 259.87207570314513
-13.588871620130895, 373.78942142001773
-13.504390459147398, 355.0220508776538
-13.453359833606438, 392.2231733043961
-13.378334518177136, 430.41350506732056
-13.322771063662879, 413.7925863382794
-13.299056210624368, 247.2759134320508
-13.160679528350448, 446.9534741084724
-13.095026107420386, 233.70308712287118
-13.01797857475547, 455.2703057916408
-12.889331502953935, 222.61573059960824
-12.690569460446643, 212.85201086480293
-12.757904542446003, 474.17039049037623
-12.792567352241795, 492.9247933642923
-12.481768930944032, 205.12748619994704
-12.29150099281739, 198.55252781915323
-12.196367023754071, 525.7224483510297
-12.006099085627433, 535.2218761699176
-11.865628906920303, 173.00186655833681
-11.815831147500795, 542.0050394419972
-11.611972642365107, 548.7006045737319
-11.427312001116327, 555.0822071996172
-11.443943813889636, 122.20450363620392
-11.240414777045078, 560.2870177283218
-11.230098301179122, 113.96828178393017
-11.062831368126883, 564.9478080551419
-10.892166793322378, 569.414293641753
-10.706346677125975, 573.5807704664271
-10.120716789645279, 595.0057802240397
-9.93044885151864, 598.2783057066764
-9.740180913391999, 602.3020001115152
-9.54991297526536, 606.1187216066736
-9.359645037138723, 610.4296801361551
-9.169377099012081, 614.4901215785293
-8.979109160885443, 618.6729115389413
-8.788841222758805, 622.6446503057384
-8.598573284632163, 627.0339033903389
-8.408305346505525, 631.3589235029696
-8.218037408378887, 635.1058468678725
-8.027769470252245, 638.7296570364999
-7.837501532125607, 642.5838902474316
-7.647233593998969, 645.0800124260212
-7.456965655872327, 650.0400128508425
-7.266697717745689, 653.7869362157453
-7.076429779619051, 657.6409145339312
-6.8861618414924095, 661.3878378988338
-6.695893903365771, 665.3488711703026
-6.50562596523913, 669.3634319184127
-6.315358027112492, 673.3428174675872
-6.1250900889858535, 677.795581328044
-5.934822150859212, 680.5009704510271
-5.744554212732574, 683.9657275462056
-5.501880224548323, 687.7953211250326
-4.4126786458461, 709.3698679602472
-4.222410707719458, 713.0487349619915
-3.4520251400598525, 728.0315429773062
-12.080332409972293, 190.0990099009897
-11.711911357340714, 133.33333333333294
