d,t
13, -0.85555142344
23, -1.22389455364
33, -1.59223768384
43, -2.08558081404
53, -2.51642394424
63, -3.00976707444
73, -3.56561020464
83, -3.93395333484
93, -4.48979646504
103, -4.98313959524
113, -5.47648272544
123, -5.96982585564
133, -6.33816898584
143, -6.70651211604
153, -7.13735524624
163, -7.50569837644
183, -8.11738463684
203, -8.72907089724
223, -9.27825715764
243, -9.76494341804
263, -10.12662967844
283, -10.36331593884
303, -10.47500219924
323, -10.52418845964
343, -10.51087472004
363, -10.37256098044
383, -10.10924724084
403, -9.90843350124
423, -9.52011976164
443, -9.19430602204
463, -8.80599228244
483, -8.29267854284
503, -7.90436480324
523, -7.51605106364
543, -7.00273732404
563, -6.30192358444
583, -5.53860984484
603, -5.08779610524
623, -4.63698236564
