d,t
5, -0.82234165056
15, -1.19068478076
25, -1.55902791096
35, -1.98987104116
45, -2.42071417136
55, -2.85155730156
65, -3.28240043176
75, -3.77574356196
85, -4.20658669216
95, -4.63742982236
105, -5.06827295256
115, -5.43661608276
125, -5.86745921296
135, -6.23580234316
145, -6.60414547336
165, -7.21583173376
185, -7.89001799416
205, -8.50170425456
225, -8.86339051496
245, -9.41257677536
265, -9.83676303576
285, -10.01094929616
305, -10.31013555656
325, -10.67182181696
345, -10.59600807736
365, -10.89519433776
385, -10.94438059816
405, -10.99356685856
425, -10.91775311896
445, -10.90443937936
465, -10.89112563976
485, -10.81531190016
505, -10.73949816056
525, -10.41368442096
545, -10.46287068136
565, -10.38705694176
585, -10.12374320216
605, -9.29792946256
625, -8.97211572296
