t,d
-0.8223416505600001,672.0
-1.19068478076,662.0
-1.5590279109600003,652.0
-1.98987104116,642.0
-2.4207141713599998,632.0
-2.8515573015599998,622.0
-3.28240043176,612.0
-3.7757435619599997,602.0
-4.206586692159999,592.0
-4.63742982236,582.0
-5.06827295256,572.0
-5.4366160827600005,562.0
-5.86745921296,552.0
-6.23580234316,542.0
-6.60414547336,532.0
-7.215831733760001,512.0
-7.89001799416,492.0
-8.501704254560002,472.0
-8.86339051496,452.0
-9.41257677536,432.0
-9.83676303576,412.0
-10.01094929616,392.0
-10.31013555656,372.0
-10.671821816960001,352.0
-10.59600807736,332.0
-10.89519433776,312.0
-10.94438059816,292.0
-10.99356685856,272.0
-10.917753118960002,252.0
-10.904439379360001,232.0
-10.89112563976,212.0
-10.815311900160001,192.0
-10.73949816056,172.0
-10.413684420960001,152.0
-10.46287068136,132.0
-10.387056941760001,112.0
-10.12374320216,92.0
-9.29792946256,72.0
-8.97211572296,52.0
