d,t
6.8750000e+02, -4.5500000e-01
6.6750000e+02, -5.8500000e-01
6.4750000e+02, -5.2000000e-01
6.2750000e+02, -3.9000000e-01
6.0750000e+02, -5.2000000e-01
5.8750000e+02, -4.5500000e-01
5.6750000e+02, -9.1000000e-01
5.4750000e+02, -1.1700000e+00
5.2750000e+02, -1.4950000e+00
5.0750000e+02, -1.9500000e+00
4.8750000e+02, -2.6650000e+00
4.6750000e+02, -2.9900000e+00
4.4750000e+02, -3.4450000e+00
4.2750000e+02, -4.0300000e+00
4.0750000e+02, -4.3550000e+00
3.9750000e+02, -4.4850000e+00
3.7750000e+02, -4.7450000e+00
3.5750000e+02, -5.0050000e+00
3.3750000e+02, -5.2000000e+00
3.1750000e+02, -5.4600000e+00
2.9750000e+02, -5.5900000e+00
2.7750000e+02, -5.5250000e+00
2.5750000e+02, -5.6550000e+00
2.3750000e+02, -5.7850000e+00
2.1750000e+02, -5.6550000e+00
1.9750000e+02, -5.3300000e+00
1.7750000e+02, -5.5900000e+00
1.5750000e+02, -5.2650000e+00
1.3750000e+02, -5.1350000e+00
1.1750000e+02, -4.8750000e+00
9.7500000e+01, -4.8100000e+00
7.7500000e+01, -4.4850000e+00
5.7500000e+01, -4.6800000e+00
3.7500000e+01, -4.8750000e+00
1.7500000e+01, -5.6550000e+00
