t,d
-21.04475773923895, 334.68754042339765
-20.741990516218138, 313.2944005263806
-20.47246030091536, 297.5108046103108
-20.252136184144792, 283.1490727203958
-20.029449353392636, 267.9016134959078
-19.849838835287336, 254.63678793887556
-19.668216775206254, 242.26142544683077
-19.46076832804383, 228.9954190623584
-19.335938370231567, 220.3756395367804
-19.130567047593104, 208.3038676308967
-18.96507357983398, 196.44332005719363
-18.762926526273738, 183.67575902819027
-18.591270211409864, 171.63504040628243
-18.422722122680675, 158.8335940848912
-18.22492620559504, 145.39096507860128
-17.997257090450212, 132.39405815690566
-17.810471387755104, 119.87643653945452
-17.672763619734916, 108.17669172932332
-17.460491221000197, 96.27039935967815
-17.24866378159502, 83.20392718860984
-17.083817539787187, 70.79475153543927
-16.849262546388548, 57.21889479233141
-16.633969442805153, 42.30466565634208
-16.436823571848844, 28.794231044321236
-16.234228752000647, 16.49217652012925
-16.00293551069085, 0.7068371282148291
