t,d
-9.373347180143512,394.35238143442837
-8.808297983966742,414.78564559396693
-8.368960902025139,434.9343411336631
-7.550813984462487,454.30581566027234
-6.803134689035899,475.2047375613705
-4.558687897700648,534.7684365035179
-4.122256895641022,544.9521688515463
-3.6285529439095257,555.2168851546288
-1.99582183140544,594.5345953332998
-1.5636075431881868,605.23257579592
-10.244627026058922,354.7613504074505
-9.994951643234533,375.0174621653085
-5.996876958896749,495.15715948777654
-5.30489388376467,515.4132712456344
-4.9300505955046185,525.1920838183935
-3.247996328467812,565.0058207217696
-2.7962411569803933,575.4831199068685
-2.4406286379511077,585.2619324796276
-1.1911099668666658,615.2968568102445
-0.806651293991214,625.0756693830033
-0.441423390346559,634.8544819557627
-0.2396570251634227,644.6332945285216
-0.05713262290677613,655.1105937136206
