Depth (m), Temperature (deg C)
1.487735258015085016e+01,-2.228652553672316401e+02
1.487869240777847324e+01,-2.227508589134022827e+02
1.486987661527368232e+01,-2.226364624595728969e+02
1.488836551780685191e+01,-2.225220660057435680e+02
1.488843613228399931e+01,-2.224076695519142106e+02
1.491452728366879477e+01,-2.222932730980848532e+02
1.489460796836936041e+01,-2.221788766442554959e+02
1.488566972329481075e+01,-2.220644801904261385e+02
1.488831851683267438e+01,-2.219500837365967811e+02
1.488436461734150740e+01,-2.218356872827673953e+02
1.488579194774063197e+01,-2.217212908289380664e+02
1.489326883521010991e+01,-2.216068943751087090e+02
1.489454570888443818e+01,-2.214924979212793517e+02
1.489342576169414833e+01,-2.213781014674499943e+02
1.490565979976503641e+01,-2.212637050136206369e+02
1.491349701834821140e+01,-2.211493085597912511e+02
1.491096377870402989e+01,-2.210349121059618938e+02
1.490424017540834534e+01,-2.209205156521325364e+02
1.489539546137136838e+01,-2.208061191983032074e+02
1.490517722133148304e+01,-2.206917227444738501e+02
1.490970212899859604e+01,-2.205773262906444927e+02
1.488343323925181139e+01,-2.204629298368151353e+02
1.490745638407217122e+01,-2.203485333829857780e+02
1.489314028820875002e+01,-2.202341369291563922e+02
1.491004300974743302e+01,-2.201197404753270348e+02
1.491082482419030875e+01,-2.200053440214977059e+02
1.490691100143742531e+01,-2.198909475676683485e+02
1.489856221178703599e+01,-2.197765511138389911e+02
1.490982147173241223e+01,-2.196621546600096053e+02
1.490821136116970003e+01,-2.195477582061802480e+02
1.490641983715418384e+01,-2.194333617523508906e+02
1.490510921059135008e+01,-2.193189652985215332e+02
1.490574382375765872e+01,-2.192045688446921758e+02
1.491062334242563381e+01,-2.190901723908628469e+02
1.489367317116113121e+01,-2.189757759370334895e+02
1.490831053217778468e+01,-2.188613794832041322e+02
1.490601153205720486e+01,-2.187469830293747464e+02
1.490198387483408027e+01,-2.186325865755453890e+02
1.490527013505550968e+01,-2.185181901217160316e+02
1.491382960382434320e+01,-2.184037936678866743e+02
1.492041383321176795e+01,-2.182893972140573453e+02
1.489355330619304318e+01,-2.181750007602279879e+02
1.490040361665909252e+01,-2.180606043063986021e+02
1.489317206201406130e+01,-2.179462078525692448e+02
1.490840395840492860e+01,-2.178318113987398874e+02
1.491877456541474878e+01,-2.177174149449105300e+02
1.491913260777235628e+01,-2.176030184910811727e+02
1.489516676670557338e+01,-2.174886220372518153e+02
1.491236371406980687e+01,-2.173742255834224864e+02
1.490823625625168170e+01,-2.172598291295931006e+02
1.491304031194816915e+01,-2.171454326757637432e+02
1.491939865932188880e+01,-2.170310362219343858e+02
1.489862762568485444e+01,-2.169166397681050285e+02
1.490172262464381525e+01,-2.168022433142756711e+02
1.490270424524910275e+01,-2.166878468604463137e+02
1.489915144481388509e+01,-2.165734504066169563e+02
1.490183334376138369e+01,-2.164590539527875990e+02
1.491088924884086708e+01,-2.163446574989582416e+02
1.492483086531927228e+01,-2.162302610451288842e+02
1.492755722313092548e+01,-2.161158645912995269e+02
1.491401174135645746e+01,-2.160014681374701695e+02
1.492735792414869245e+01,-2.158870716836408121e+02
1.490582916532710733e+01,-2.157726752298114548e+02
1.491477698392107776e+01,-2.156582787759820974e+02
1.490265195587922165e+01,-2.155438823221527400e+02
1.490910525331995018e+01,-2.154294858683233826e+02
1.490610326633905203e+01,-2.153150894144940253e+02
1.492187518475414620e+01,-2.152006929606646679e+02
1.492166505012431799e+01,-2.150862965068353105e+02
1.490797446231388257e+01,-2.149719000530059247e+02
1.492267862853805305e+01,-2.148575035991765958e+02
1.492277105626154921e+01,-2.147431071453472384e+02
1.490425809899362619e+01,-2.146287106915178811e+02
1.491051439762434683e+01,-2.145143142376885237e+02
1.491921982303502681e+01,-2.143999177838591663e+02
1.489083503693824895e+01,-2.142855213300298090e+02
1.490162841125560256e+01,-2.141711248762004232e+02
1.491408793548571587e+01,-2.140567284223710942e+02
1.490563373587095874e+01,-2.139423319685417368e+02
1.490423005346930374e+01,-2.138279355147123795e+02
1.491029112229702314e+01,-2.137135390608830221e+02
1.491356759397940834e+01,-2.135991426070536647e+02
1.490671614535500211e+01,-2.134847461532242789e+02
1.491587668893865626e+01,-2.133703496993949216e+02
1.490471505154964582e+01,-2.132559532455655642e+02
1.491272232475292014e+01,-2.131415567917362353e+02
1.490596159790377939e+01,-2.130271603379068779e+02
1.489745499050995114e+01,-2.129127638840775205e+02
1.491296198248055660e+01,-2.127983674302481631e+02
1.490340583797594931e+01,-2.126839709764187774e+02
1.491662605735052693e+01,-2.125695745225894200e+02
1.490517184391532624e+01,-2.124551780687600626e+02
1.491791942767010681e+01,-2.123407816149307337e+02
1.491734826598917607e+01,-2.122263851611013763e+02
1.490970631443383887e+01,-2.121119887072720189e+02
1.490264963029222045e+01,-2.119975922534426331e+02
1.489256060051515718e+01,-2.118831957996132758e+02
1.489107673748228500e+01,-2.117687993457839184e+02
1.490194383629989616e+01,-2.116544028919545610e+02
1.489980891686317754e+01,-2.115400064381252037e+02
1.490379351194080471e+01,-2.114256099842958747e+02
1.492088101822484880e+01,-2.113112135304665173e+02
1.488961638016276368e+01,-2.111968170766371315e+02
1.490905033217380726e+01,-2.110824206228077742e+02
1.491459326484154424e+01,-2.109680241689784168e+02
1.490441055399105963e+01,-2.108536277151490594e+02
1.490310267522152365e+01,-2.107392312613197021e+02
1.491306242115114777e+01,-2.106248348074903731e+02
1.490921121956127671e+01,-2.105104383536610158e+02
1.489795858242465521e+01,-2.103960418998316300e+02
1.489062524304232582e+01,-2.102816454460022726e+02
1.490325007667381918e+01,-2.101672489921729152e+02
1.488446013557009806e+01,-2.100528525383435579e+02
1.488137914196001255e+01,-2.099384560845142005e+02
1.489780072148084500e+01,-2.098240596306848431e+02
1.489512369617757237e+01,-2.097096631768555142e+02
1.489054929478516165e+01,-2.095952667230261284e+02
1.490569923762276794e+01,-2.094808702691967710e+02
1.491062364190428191e+01,-2.093664738153674136e+02
1.489696081733921140e+01,-2.092520773615380563e+02
1.489123588260747511e+01,-2.091376809077086989e+02
1.488827129514343461e+01,-2.090232844538793415e+02
1.489263264088921623e+01,-2.089088880000499842e+02
1.487743278953127657e+01,-2.087944915462206268e+02
1.490066163850921832e+01,-2.086800950923912694e+02
1.489259626189053876e+01,-2.085656986385619120e+02
1.488581364190641487e+01,-2.084513021847325547e+02
1.490197131035184697e+01,-2.083369057309031973e+02
1.486075654409320457e+01,-2.082225092770738399e+02
1.488876099145290688e+01,-2.081081128232444826e+02
1.489460104081645042e+01,-2.079937163694151252e+02
1.488054945166712173e+01,-2.078793199155857678e+02
1.487461658094256123e+01,-2.077649234617564105e+02
1.488426617853541245e+01,-2.076505270079270531e+02
1.488949598268721530e+01,-2.075361305540976957e+02
1.488263619914797431e+01,-2.074217341002683099e+02
1.487784554675052995e+01,-2.073073376464389526e+02
1.488315938814010764e+01,-2.071929411926096236e+02
1.489400691754818418e+01,-2.070785447387802662e+02
1.486997720023465064e+01,-2.069641482849509089e+02
1.486892236478572649e+01,-2.068497518311215515e+02
1.487609280242947918e+01,-2.067353553772921941e+02
1.487600770497300218e+01,-2.066209589234628368e+02
1.486605255234188228e+01,-2.065065624696334510e+02
1.488657967485706024e+01,-2.063921660158041220e+02
1.485313453117594129e+01,-2.062777695619747647e+02
1.486964957711372648e+01,-2.061633731081454073e+02
1.488977086044224052e+01,-2.060489766543160499e+02
1.487125923687651508e+01,-2.059345802004866925e+02
1.488434728322495459e+01,-2.058201837466573068e+02
1.488521174720566442e+01,-2.057057872928279494e+02
1.486865078262315976e+01,-2.055913908389985920e+02
1.487013900383167098e+01,-2.054769943851692631e+02
1.486353587113007357e+01,-2.053625979313399057e+02
1.487356359155126384e+01,-2.052482014775105483e+02
1.486787042337945941e+01,-2.051338050236811910e+02
1.485400978390669557e+01,-2.050194085698518052e+02
1.484563535804700862e+01,-2.049050121160224478e+02
1.485568619460718409e+01,-2.047906156621930904e+02
1.483538692475623932e+01,-2.046762192083637615e+02
1.483557948148957450e+01,-2.045618227545344041e+02
1.485423395724308548e+01,-2.044474263007050467e+02
1.483827329236866355e+01,-2.043330298468756610e+02
1.482993125399363343e+01,-2.042186333930463036e+02
1.485408591839203396e+01,-2.041042369392169462e+02
1.482545305776660349e+01,-2.039898404853875888e+02
1.483366055624468416e+01,-2.038754440315582599e+02
1.480193124793047410e+01,-2.037610475777289025e+02
1.478255994994871436e+01,-2.036466511238995452e+02
1.476186081210395074e+01,-2.035322546700701594e+02
1.470888503350673915e+01,-2.034178582162408020e+02
1.463242617993711114e+01,-2.033034617624114446e+02
1.452642930882705308e+01,-2.031890653085820873e+02
1.441797617937523057e+01,-2.030746688547527299e+02
1.425963506882917642e+01,-2.029602724009234009e+02
1.412695756612162334e+01,-2.028458759470940151e+02
1.391618600563448105e+01,-2.027314794932646578e+02
1.375442098346118236e+01,-2.026170830394353004e+02
1.358754021764393549e+01,-2.025026865856059430e+02
1.341942162086613344e+01,-2.023882901317765857e+02
1.325621724915397337e+01,-2.022738936779472283e+02
1.312286827563066005e+01,-2.021594972241178993e+02
1.297529255702535345e+01,-2.020451007702885420e+02
1.283015194232592826e+01,-2.019307043164591562e+02
1.271976984108695241e+01,-2.018163078626297988e+02
1.257939826386016868e+01,-2.017019114088004414e+02
1.244786287936841340e+01,-2.015875149549710841e+02
1.232943350204136834e+01,-2.014731185011417267e+02
1.218881675330876746e+01,-2.013587220473123693e+02
1.205301621178357152e+01,-2.012443255934830120e+02
1.193850523428490895e+01,-2.011299291396536546e+02
1.188553606314295230e+01,-2.010155326858242972e+02
1.177413374580965488e+01,-2.009011362319949399e+02
1.146926248937019110e+01,-2.007867397781655825e+02
1.114923916127306391e+01,-2.006723433243362251e+02
1.034424582691273109e+01,-2.005579468705068678e+02
9.386595214704497536e+00,-2.004435504166775104e+02
8.283671634619480528e+00,-2.003291539628481530e+02
