Depth (m), Temperature (deg C)
7.033181366636740428e+00,-2.002147575090187956e+02
5.946016108956189150e+00,-2.001003610551894383e+02
5.076528233017451264e+00,-1.999859646013600809e+02
4.326643342057300501e+00,-1.998715681475307235e+02
3.987234285758900043e+00,-1.997571716937013377e+02
3.618065697228339594e+00,-1.996427752398719804e+02
3.524789339303767033e+00,-1.995283787860426514e+02
3.411970910564567472e+00,-1.994139823322132941e+02
3.327529091718053333e+00,-1.992995858783839367e+02
3.245299972265986543e+00,-1.991851894245545793e+02
3.170409206593625573e+00,-1.990707929707252219e+02
3.116741469934718012e+00,-1.989563965168958362e+02
3.082434788089157163e+00,-1.988420000630664788e+02
3.125656884241588607e+00,-1.987276036092371498e+02
3.119275012334943309e+00,-1.986132071554077925e+02
3.179908136089505177e+00,-1.984988107015784351e+02
3.208418898530633001e+00,-1.983844142477490777e+02
3.241284576802865747e+00,-1.982700177939196919e+02
3.233390757878322752e+00,-1.981556213400903346e+02
3.219763261404490873e+00,-1.980412248862609772e+02
3.226503437731072399e+00,-1.979268284324316483e+02
3.253748882844552437e+00,-1.978124319786022909e+02
3.278318594242109807e+00,-1.976980355247729335e+02
3.340813326980243136e+00,-1.975836390709435761e+02
3.312680034235824245e+00,-1.974692426171142188e+02
3.326319093088784484e+00,-1.973548461632848330e+02
3.209728527030880851e+00,-1.972404497094554756e+02
3.109560612163867255e+00,-1.971260532556261182e+02
3.018178739914308739e+00,-1.970116568017967893e+02
2.950539913313630969e+00,-1.968972603479674319e+02
2.904602380506439374e+00,-1.967828638941380746e+02
2.878004404026502705e+00,-1.966684674403086888e+02
2.898037295281075121e+00,-1.965540709864793314e+02
2.943776554968076109e+00,-1.964396745326499740e+02
2.983395295963747085e+00,-1.963252780788206167e+02
3.009302354270149582e+00,-1.962108816249912877e+02
3.011895699189944153e+00,-1.960964851711619303e+02
2.962220530493916648e+00,-1.959820887173325730e+02
2.936970621369527912e+00,-1.958676922635031872e+02
2.913130658113908478e+00,-1.957532958096738298e+02
2.912517988246084766e+00,-1.956388993558444724e+02
2.932923987739889604e+00,-1.955245029020151151e+02
2.905552525813435594e+00,-1.954101064481857577e+02
2.896942042579900178e+00,-1.952957099943564288e+02
2.876339280353788386e+00,-1.951813135405270430e+02
2.893894011780429487e+00,-1.950669170866976856e+02
2.914478870577251968e+00,-1.949525206328683282e+02
2.953634093735010957e+00,-1.948381241790389709e+02
3.019170431667535404e+00,-1.947237277252096135e+02
3.012957701996873183e+00,-1.946093312713802561e+02
2.989540661812955413e+00,-1.944949348175509272e+02
2.963656159677592772e+00,-1.943805383637215414e+02
2.956505529188604431e+00,-1.942661419098921840e+02
2.923223993040632074e+00,-1.941517454560628266e+02
2.855309428909682090e+00,-1.940373490022334693e+02
2.861148453805185454e+00,-1.939229525484041119e+02
2.817251047988921897e+00,-1.938085560945747545e+02
2.822659005693644030e+00,-1.936941596407453687e+02
2.838927196498645333e+00,-1.935797631869160398e+02
2.896007063662640935e+00,-1.934653667330866824e+02
2.964543239774403371e+00,-1.933509702792573250e+02
3.045788994498268565e+00,-1.932365738254279677e+02
3.112285651092449257e+00,-1.931221773715986103e+02
3.103834676120395653e+00,-1.930077809177692529e+02
3.079058906516503491e+00,-1.928933844639398956e+02
3.041906130910656536e+00,-1.927789880101105382e+02
3.017325618699743028e+00,-1.926645915562811808e+02
3.036165620738890514e+00,-1.925501951024518235e+02
3.030785913392637809e+00,-1.924357986486224661e+02
3.046115564119554087e+00,-1.923214021947931087e+02
3.094670854171393870e+00,-1.922070057409637514e+02
3.142535794834893093e+00,-1.920926092871343656e+02
3.227677627597424603e+00,-1.919782128333050366e+02
3.287299493969066955e+00,-1.918638163794756792e+02
3.358323857291369396e+00,-1.917494199256463219e+02
3.408065016916370205e+00,-1.916350234718169645e+02
3.406910698669665116e+00,-1.915206270179876071e+02
3.379588364513773424e+00,-1.914062305641582498e+02
3.322136257252043201e+00,-1.912918341103288924e+02
3.275009835726094387e+00,-1.911774376564995066e+02
3.240926492319370134e+00,-1.910630412026701777e+02
3.172061613956675075e+00,-1.909486447488408203e+02
3.175268016615631517e+00,-1.908342482950114629e+02
3.197647457755272260e+00,-1.907198518411821055e+02
3.251172312887208093e+00,-1.906054553873527198e+02
3.294724968902329909e+00,-1.904910589335233624e+02
3.401164029458176419e+00,-1.903766624796940050e+02
3.645192032793378001e+00,-1.902622660258646761e+02
3.864112304413041876e+00,-1.901478695720353187e+02
4.116935362747812910e+00,-1.900334731182059613e+02
4.375020436521984024e+00,-1.899190766643766040e+02
4.313008246977418914e+00,-1.898046802105472466e+02
4.174129468783028152e+00,-1.896902837567178608e+02
4.028509338923674576e+00,-1.895758873028885034e+02
3.764659982227426038e+00,-1.894614908490591461e+02
3.677596236676982322e+00,-1.893470943952298171e+02
3.691685440582961775e+00,-1.892326979414004597e+02
3.815438721518582099e+00,-1.891183014875710739e+02
4.084398961258794536e+00,-1.890039050337417166e+02
4.377430019885754753e+00,-1.888895085799123592e+02
4.667116775979239129e+00,-1.887751121260830018e+02
4.902999295626302434e+00,-1.886607156722536445e+02
4.776085919314642325e+00,-1.885463192184243155e+02
4.657856700145177165e+00,-1.884319227645949582e+02
4.493046992917218319e+00,-1.883175263107656008e+02
4.319463963195084411e+00,-1.882031298569362150e+02
4.444363451197189896e+00,-1.880887334031068576e+02
4.711691617525638698e+00,-1.879743369492775003e+02
5.085296958658514832e+00,-1.878599404954481429e+02
5.550532686907824420e+00,-1.877455440416187855e+02
5.909965324094175187e+00,-1.876311475877894281e+02
5.974472529166017232e+00,-1.875167511339600708e+02
5.986141851660681468e+00,-1.874023546801307134e+02
5.562210335101770653e+00,-1.872879582263013560e+02
5.075039806223750283e+00,-1.871735617724719987e+02
4.841515589372166417e+00,-1.870591653186426413e+02
4.638180829795325089e+00,-1.869447688648132839e+02
4.840915925590512536e+00,-1.868303724109839550e+02
5.198363530534742871e+00,-1.867159759571545976e+02
5.591640380629310236e+00,-1.866015795033252118e+02
6.080460328503009215e+00,-1.864871830494958544e+02
6.349467019801338097e+00,-1.863727865956664971e+02
6.303113790195857824e+00,-1.862583901418371397e+02
6.234707869058950358e+00,-1.861439936880077823e+02
5.668830283529091574e+00,-1.860295972341784250e+02
5.257679360560290505e+00,-1.859152007803490676e+02
5.052691337703717700e+00,-1.858008043265197102e+02
4.841134161025540728e+00,-1.856864078726903529e+02
5.124740433599251688e+00,-1.855720114188609955e+02
5.502082842582454170e+00,-1.854576149650316381e+02
5.965826293124917079e+00,-1.853432185112022808e+02
6.362706264427337999e+00,-1.852288220573729234e+02
6.567066591918416130e+00,-1.851144256035435660e+02
6.410120295009653191e+00,-1.850000291497142086e+02
6.190211039928170678e+00,-1.848856326958848513e+02
5.688850990415863507e+00,-1.847712362420554939e+02
5.246445792466223779e+00,-1.846568397882261365e+02
5.114492900213153170e+00,-1.845424433343967507e+02
4.954317798250223781e+00,-1.844280468805673934e+02
5.372326849923166669e+00,-1.843136504267380644e+02
5.768062831734701135e+00,-1.841992539729087071e+02
6.190782265142152241e+00,-1.840848575190793497e+02
6.606942695241061259e+00,-1.839704610652499923e+02
6.706794225511698571e+00,-1.838560646114206349e+02
6.555387850680712170e+00,-1.837416681575912776e+02
6.235396643617097112e+00,-1.836272717037618918e+02
5.705153724612554100e+00,-1.835128752499325344e+02
5.261565105641647477e+00,-1.833984787961032055e+02
5.182629754971840974e+00,-1.832840823422738481e+02
5.130809345260179732e+00,-1.831696858884444907e+02
5.558084957310562402e+00,-1.830552894346151049e+02
6.061228979380338444e+00,-1.829408929807857476e+02
6.407014964198032736e+00,-1.828264965269563902e+02
6.764550604639353537e+00,-1.827121000731270328e+02
6.786843854812977916e+00,-1.825977036192977039e+02
6.565173260387967780e+00,-1.824833071654683465e+02
6.192569312765382250e+00,-1.823689107116389891e+02
5.640654161765366936e+00,-1.822545142578096318e+02
5.274554136265034110e+00,-1.821401178039802744e+02
5.247768553257259327e+00,-1.820257213501508886e+02
5.253019877429505158e+00,-1.819113248963215312e+02
5.711315610872465420e+00,-1.817969284424921739e+02
6.178517373831111215e+00,-1.816825319886628449e+02
6.576214736489623292e+00,-1.815681355348334876e+02
6.876666519307628178e+00,-1.814537390810041018e+02
6.823296203325292630e+00,-1.813393426271747444e+02
6.542140069612765174e+00,-1.812249461733453870e+02
6.120607479903926951e+00,-1.811105497195160297e+02
5.625180261097784573e+00,-1.809961532656866723e+02
5.272564559377336479e+00,-1.808817568118573433e+02
5.272284322848797444e+00,-1.807673603580279860e+02
5.363586545246631587e+00,-1.806529639041986286e+02
5.840740450269877648e+00,-1.805385674503692428e+02
6.306119490213311529e+00,-1.804241709965398854e+02
6.677779010228990231e+00,-1.803097745427105281e+02
6.982097635301608207e+00,-1.801953780888811707e+02
6.799720130172502763e+00,-1.800809816350518417e+02
6.524505447283824644e+00,-1.799665851812224560e+02
6.050219878723416045e+00,-1.798521887273930986e+02
5.544376449771527327e+00,-1.797377922735637412e+02
5.305535006156376632e+00,-1.796233958197343838e+02
5.336142456618412133e+00,-1.795089993659050265e+02
5.521902041701856056e+00,-1.793946029120756691e+02
6.010975476763303682e+00,-1.792802064582463117e+02
6.515157718828146649e+00,-1.791658100044169828e+02
6.738761011299202686e+00,-1.790514135505875970e+02
7.077180846606303533e+00,-1.789370170967582396e+02
6.769205735745013719e+00,-1.788226206429288823e+02
6.402979912753394842e+00,-1.787082241890995249e+02
5.948338887527157226e+00,-1.785938277352701675e+02
5.463440200038376382e+00,-1.784794312814407817e+02
5.341017350826250620e+00,-1.783650348276114528e+02
5.434704641871539899e+00,-1.782506383737820954e+02
5.681555180094894020e+00,-1.781362419199527380e+02
6.157074958357592998e+00,-1.780218454661233807e+02
6.638096313482630073e+00,-1.779074490122940233e+02
6.814468845874144698e+00,-1.777930525584646659e+02
7.007673989933103975e+00,-1.776786561046353086e+02
6.658285762811718911e+00,-1.775642596508059512e+02
6.248026526990185125e+00,-1.774498631969765938e+02
5.853957184513299161e+00,-1.773354667431472365e+02
5.383763946157237967e+00,-1.772210702893178791e+02
5.339408955325104955e+00,-1.771066738354885217e+02
5.497331335276437692e+00,-1.769922773816591643e+02
5.804059046479456363e+00,-1.768778809278297786e+02
6.237495800616173369e+00,-1.767634844740004212e+02
6.662815869066180063e+00,-1.766490880201710922e+02
6.779285767304949140e+00,-1.765346915663417349e+02
6.881779032886951697e+00,-1.764202951125123775e+02
6.494145707038211590e+00,-1.763058986586830201e+02
6.053010721928173687e+00,-1.761915022048536628e+02
5.662262640015066850e+00,-1.760771057510243054e+02
5.322897202441835951e+00,-1.759627092971949196e+02
5.371238320626689600e+00,-1.758483128433655622e+02
5.576289110508336755e+00,-1.757339163895362333e+02
5.919598698850291107e+00,-1.756195199357068759e+02
6.341742178533706920e+00,-1.755051234818775185e+02
6.608042676644289237e+00,-1.753907270280481328e+02
6.718494636497564620e+00,-1.752763305742187754e+02
6.662800816663628112e+00,-1.751619341203894180e+02
6.266466999408655703e+00,-1.750475376665600606e+02
5.824966325393366340e+00,-1.749331412127307317e+02
5.561482389794431214e+00,-1.748187447589013743e+02
5.246212185855442023e+00,-1.747043483050720170e+02
5.403047219023073389e+00,-1.745899518512426596e+02
5.635421304280116672e+00,-1.744755553974132738e+02
6.018957588271077519e+00,-1.743611589435839164e+02
6.344869643438065587e+00,-1.742467624897545591e+02
6.592901180719540122e+00,-1.741323660359252301e+02
6.579754112111117159e+00,-1.740179695820958727e+02
6.456195469960678501e+00,-1.739035731282664869e+02
6.043802790006576053e+00,-1.737891766744371296e+02
5.681659034021881993e+00,-1.736747802206077722e+02
5.462150054080927575e+00,-1.735603837667784148e+02
5.209560591571076316e+00,-1.734459873129490575e+02
5.443066282503770559e+00,-1.733315908591197001e+02
5.730968173913809416e+00,-1.732171944052903712e+02
6.060085290668067337e+00,-1.731027979514610138e+02
6.395924218869168953e+00,-1.729884014976316564e+02
6.544317823006069901e+00,-1.728740050438022706e+02
6.410934333896255666e+00,-1.727596085899729133e+02
6.252814232620782953e+00,-1.726452121361435559e+02
5.853539150731630336e+00,-1.725308156823141985e+02
5.483034940388861855e+00,-1.724164192284848696e+02
5.383508517286744066e+00,-1.723020227746554838e+02
5.220445996077477169e+00,-1.721876263208261264e+02
5.515728586124274635e+00,-1.720732298669967690e+02
5.821509408241126060e+00,-1.719588334131674117e+02
6.131291881069494742e+00,-1.718444369593380543e+02
6.409690988009032253e+00,-1.717300405055086969e+02
6.450552470475998668e+00,-1.716156440516793396e+02
6.378835040741406281e+00,-1.715012475978500106e+02
6.092130215661973658e+00,-1.713868511440206248e+02
5.738897674375158964e+00,-1.712724546901912674e+02
5.448456479223271920e+00,-1.711580582363619101e+02
5.340221132426803408e+00,-1.710436617825325527e+02
5.290196342904827098e+00,-1.709292653287031953e+02
5.596061406038622010e+00,-1.708148688748738095e+02
5.919442973607958791e+00,-1.707004724210444806e+02
6.190686630184394801e+00,-1.705860759672151232e+02
6.396051606300717118e+00,-1.704716795133857659e+02
6.427066014448968190e+00,-1.703572830595564085e+02
6.241391414227162038e+00,-1.702428866057270511e+02
5.990786426153058564e+00,-1.701284901518976937e+02
5.645841131940731117e+00,-1.700140936980683364e+02
5.401702008522752507e+00,-1.698996972442389506e+02
5.364442156917286653e+00,-1.697853007904096216e+02
5.338219393246603772e+00,-1.696709043365802643e+02
5.685616359447071666e+00,-1.695565078827509069e+02
6.046456176577002850e+00,-1.694421114289215495e+02
6.265718223754626948e+00,-1.693277149750921637e+02
6.466584087284725335e+00,-1.692133185212628064e+02
6.392707692696466104e+00,-1.690989220674334490e+02
6.193685032981517402e+00,-1.689845256136041201e+02
5.954922170666009151e+00,-1.688701291597747627e+02
5.554682266689390246e+00,-1.687557327059454053e+02
5.362643316129742210e+00,-1.686413362521160479e+02
5.352866136195359559e+00,-1.685269397982866906e+02
5.432446848532642925e+00,-1.684125433444573332e+02
5.786352190949958896e+00,-1.682981468906279474e+02
6.076292476996624004e+00,-1.681837504367986185e+02
6.296752554777171440e+00,-1.680693539829692611e+02
6.491621702700320462e+00,-1.679549575291399037e+02
6.395475409086286867e+00,-1.678405610753105464e+02
6.124238189876087368e+00,-1.677261646214811606e+02
5.845187852471167567e+00,-1.676117681676518032e+02
5.513264197973620995e+00,-1.674973717138224458e+02
5.368246791553286990e+00,-1.673829752599930885e+02
5.370612809370989282e+00,-1.672685788061637595e+02
5.519845903270799603e+00,-1.671541823523344021e+02
5.857979975252551874e+00,-1.670397858985050448e+02
6.207272957451954731e+00,-1.669253894446756874e+02
6.381157818393973891e+00,-1.668109929908463016e+02
6.557362379812339270e+00,-1.666965965370169442e+02
6.279086236946234578e+00,-1.665822000831875869e+02
6.109338581868184015e+00,-1.664678036293582579e+02
5.795673648306999937e+00,-1.663534071755289006e+02
5.499526109013830322e+00,-1.662390107216995148e+02
5.398707967968634946e+00,-1.661246142678701574e+02
5.429576216843442715e+00,-1.660102178140408000e+02
5.638534609394722175e+00,-1.658958213602114427e+02
6.012101671243113010e+00,-1.657814249063820853e+02
6.346246708122160740e+00,-1.656670284525527279e+02
6.475868736667600878e+00,-1.655526319987233990e+02
6.565650483023100392e+00,-1.654382355448940416e+02
6.333965946432662975e+00,-1.653238390910646558e+02
6.047289752281213460e+00,-1.652094426372352984e+02
5.781165768232308544e+00,-1.650950461834059411e+02
5.431577505215385848e+00,-1.649806497295765837e+02
5.420627661326582469e+00,-1.648662532757472263e+02
5.508389339345771241e+00,-1.647518568219178690e+02
5.750161232370715858e+00,-1.646374603680885116e+02
6.095527481424628746e+00,-1.645230639142591542e+02
6.382522651415508896e+00,-1.644086674604297968e+02
6.507858120313668948e+00,-1.642942710066004395e+02
6.511507353989591351e+00,-1.641798745527710821e+02
6.313858585740916851e+00,-1.640654780989417247e+02
6.061368717082060265e+00,-1.639510816451123674e+02
5.744394564320073115e+00,-1.638366851912830384e+02
5.426246433459015250e+00,-1.637222887374536526e+02
5.440079212007925769e+00,-1.636078922836242953e+02
5.571114880860010388e+00,-1.634934958297949379e+02
5.823613602358855168e+00,-1.633790993759655805e+02
6.200344483054508693e+00,-1.632647029221362232e+02
6.524257916215595365e+00,-1.631503064683068374e+02
6.589307665311367579e+00,-1.630359100144775084e+02
6.584483227441188191e+00,-1.629215135606481510e+02
6.306290287011819373e+00,-1.628071171068187937e+02
6.050212562656972715e+00,-1.626927206529894363e+02
5.718827069934727447e+00,-1.625783241991600789e+02
5.421345077463714190e+00,-1.624639277453307216e+02
5.482009375717689537e+00,-1.623495312915013642e+02
5.607863614506430672e+00,-1.622351348376720068e+02
5.918543281977374448e+00,-1.621207383838426495e+02
6.310897799153481813e+00,-1.620063419300132921e+02
6.517046029621425873e+00,-1.618919454761839347e+02
6.618953429452325565e+00,-1.617775490223545773e+02
6.551131867680102694e+00,-1.616631525685251916e+02
6.267475180455017281e+00,-1.615487561146958342e+02
5.964524916089507300e+00,-1.614343596608664768e+02
5.676621938693759972e+00,-1.613199632070371479e+02
5.377878532813967993e+00,-1.612055667532077905e+02
5.513572897108558024e+00,-1.610911702993784331e+02
5.669590573490092211e+00,-1.609767738455490758e+02
6.033214049028024384e+00,-1.608623773917197184e+02
6.407616152591630865e+00,-1.607479809378903326e+02
6.588210792734340515e+00,-1.606335844840609752e+02
6.664465830421893777e+00,-1.605191880302316463e+02
6.553751610968699737e+00,-1.604047915764022889e+02
6.244106229010980336e+00,-1.602903951225729315e+02
5.981103038804600480e+00,-1.601759986687435457e+02
5.664760233864946315e+00,-1.600616022149141884e+02
5.396233618055645387e+00,-1.599472057610848310e+02
5.581417809156770993e+00,-1.598328093072554736e+02
5.762341504570350104e+00,-1.597184128534261163e+02
6.127448855390343674e+00,-1.596040163995967873e+02
6.512629747879209674e+00,-1.594896199457674300e+02
6.652461085766436355e+00,-1.593752234919380726e+02
6.712490876459026090e+00,-1.592608270381086868e+02
6.510985980800970907e+00,-1.591464305842793294e+02
