t,d
-6.153846153846171, 19.18976545842206
-14.547511312217196, 100.74626865671641
-17.828054298642535, 198.29424307036226
-18.235294117647058, 259.0618336886992
-19.72850678733031, 299.0405117270788
-19.728506787330318, 345.4157782515989
-20.83710407239819, 450.9594882729207
-22.39819004524887, 524.5202558635392
-21.628959276018097, 543.7100213219617
-21.221719457013577, 558.102345415778
-20.06787330316742, 599.6801705756927
-19.81900452488688, 609.2750533049038
-17.963800904977376, 644.4562899786782
-16.6289592760181, 658.8486140724943
-16.357466063348415, 650.8528784648187
-5.746606334841623, 745.2025586353943
-3.39366515837105, 759.5948827292108
-1.040723981900456, 786.7803837953088
-0.5429864253393681, 797.974413646055
