t,d
-10.808535429094029,255.109467913942
-10.741043664513132,195.19121050333422
-10.685275353055838,294.69521588454114
-10.617545136381123,155.28621712135782
-10.551306989110355,135.06930568638063
-10.431556544589316,314.81548061696884
-10.246736173871259,95.06782607088826
-10.056091031866748,355.3327041197608
-10.31007195202434,74.80658972027379
-9.742722694557855,375.0614995233562
-9.755449182682717,64.84653242782167
-9.554349186616527,394.4676474628925
-9.23216192214288,55.1997356112056
-8.993074423246975,414.4006740723318
-8.929300651689399,34.9173288792158
-8.556810262601623,434.9953106717204
-8.17823393407885,455.3106717202244
-7.876408382587504,464.87451952993587
-7.555359863098338,474.92516427535736
-6.869082896025312,494.7206797888465
-6.711421905869742,500.1531549502929
-6.2462127137327865,514.5778264740123
-5.809786401955705,525.0542324537248
-5.488729513437433,534.5826497831001
-5.052300658506127,544.9003629391223
-4.683172605986259,554.7881465690494
-4.179428667854396,564.6446680104447
-3.992910349242544,569.3798475000671
-3.748718698781453,575.2991195972238
-3.3795932323583795,585.3482756670012
-2.8662341481809435,595.2196838648402
-2.3721089632702483,605.2864063072211
-2.002988778782882,615.6651551646626
-1.5569259117050578,624.8205103775581
-1.0628024874396085,634.9970970824937
-0.7513641994578162,644.7261878887307
-0.37053173728294203,654.6935916547342
-10.365776394734489,114.48195576251464
-10.684057938568998,175.25029103608847
-10.742388286916807,215.06402793946467
-10.800405211784724,235.32013969732247
-10.676043252440225,275.1338766006986
-10.369313602579027,335.2037252619324
