t,d
-10.370034553516684, 343.1629734953152
-10.11984442532469, 282.9772832350031
-9.993379410600006, 383.08985422888094
-9.871140138915486, 262.99432038663696
-9.748765394846526, 403.5261763763056
-9.502454357480424, 242.90012541265264
-9.365925761174907, 423.1541000939192
-8.99523186415807, 224.01849133640388
-8.675071311592546, 462.90653664242757
-8.430357435252859, 202.61763763054427
-8.176831939330679, 483.47814839184974
-7.87091136294583, 503.3568974146997
-7.809848720897653, 183.23097861236255
-7.430380543655267, 522.914803754506
-7.187261214677123, 163.1261493816537
-6.932152072178386, 542.8062065203331
-6.776056044076549, 152.76357746621431
-6.37445103124039, 143.35116105121642
-6.243699747336116, 563.1008418956994
-6.001697899781486, 133.58134669568585
-5.619337697865241, 123.29272887809077
-5.545633592558421, 583.2984652415739
-5.121587738854712, 113.32495374353937
-5.057017995677397, 603.3464932260295
-4.613843122872668, 622.6759475452839
-4.614157854260599, 102.41559092635373
-4.120757107149588, 93.41724170898601
-3.626228415402821, 82.75294832211341
-3.19004801435079, 72.76081153694122
-2.6241784633714342, 63.17269530680085
-2.1267068064427512, 52.96560101788464
-1.6816093679228246, 42.757908589360795
-1.2477364486378164, 32.94981110438903
-0.8083625486988897, 23.150088388737913
-0.4235760480888864, 12.93975773906925
-9.059729560311634, 442.8405122235157
-10.243709143010655, 362.51455180442366
-10.302028297662755, 323.3993015133874
-10.244682994537474, 301.7462165308497
