d,t
1.0000000e+01,  0.0000000e+00
2.0000000e+01,  0.0000000e+00
3.0000000e+01, -1.2000000e-02
4.0000000e+01,  2.0000000e-02
5.0000000e+01,  0.0000000e+00
6.0000000e+01, -2.0000000e-02
7.0000000e+01, -2.0000000e-02
8.0000000e+01, -4.0000000e-02
9.0000000e+01, -3.0000000e-02
