depth [m],Agassiz77,Agassiz79a,Agassiz79b,Agassiz84,CVI_EPF,CampCentury,CampIII_78b,CampVI,DYE-3,Devon72,Devon73,Devon98,FOXX1,FOXX2,FladeIsblink06,GISP2,GRIP,GULL,HansTausen_Dome,HansTausen_Hare,Isua_10,Isua_11,Isua_12,Isua_13,Isua_14,Isunnguata_13km-10,Isunnguata_27km-11A,Isunnguata_27km-11B,Isunnguata_27km-11C,Isunnguata_27km-12A,Isunnguata_27km-12B,Isunnguata_27km-12C,Isunnguata_33km_14N,Isunnguata_33km_14SA,Isunnguata_33km_14SB,Isunnguata_33km_14W,Isunnguata_33km_15CA,Isunnguata_33km_15CB,Isunnguata_33km_15E,Isunnguata_33km_15N,Isunnguata_33km_15S,Isunnguata_46km-11A,Isunnguata_46km-11B,Isunnguata_M1-10,Isunnguata_M2-10B,Jakobshavn89A,Jakobshavn89B,Jakobshavn95D_I1,Jakobshavn95D_I2,Jakobshavn95D_T3,Jakobshavn95D_T4,Jakobshavn95D_T5,Meighen67,NEEM,NGRIP,Penny96,PrinceWales05,Renland88,SiteII,SiteII_EGIG,StationCentrale,StationCentrale_EGIG,Store_R30_BH19c,Store_S30,TD1_88,TD2_88,TD3_88,TD4_91a,TD4_91b,TD5_90,TD5_91,Tuto_D-11
270,-18.8280,,,,,-24.5413,,,-20.3273,,-19.1836,,-5.9273,-7.8837,-16.3635,-31.3105,-31.6225,-8.6938,-17.1194,-2.7857,,,,,-0.4777,-3.8780,-1.1598,-1.6932,-2.0243,-4.8690,-5.5770,-5.2910,-10.0900,-10.4520,,-11.3750,-11.5240,,-11.9400,-11.5150,-10.8040,-13.1483,-13.7230,,,-13.3582,-16.4200,,-18.3407,-19.1427,,,,-29.1323,-31.6042,,,-15.2946,-25.2905,-25.2258,,,-18.6812,-20.1610,-1.2200,,-0.2200,-5.2348,-5.2191,-13.3304,-13.4304,
271,-18.8000,,,,,-24.5392,,,-20.3251,,-19.1575,,-5.9887,-7.8901,-16.3494,-31.3088,-31.6209,-8.7429,-17.1045,-2.7143,,,,,-0.4871,-3.8630,-1.1322,-1.6708,-1.9985,-4.8670,-5.5705,-5.2877,-10.1025,-10.4460,,-11.3685,-11.5150,,-11.9340,-11.5120,-10.8070,-13.1502,-13.7437,,,-13.3836,-16.4360,,-18.3507,-19.1616,,,,-29.1314,-31.6032,,,-15.2717,-25.2915,-25.2261,,,-18.6962,-20.1936,-1.2160,,-0.2260,-5.2270,-5.2113,-13.3713,-13.4713,
272,-18.7680,,,,,-24.5371,,,-20.3229,,-19.1313,,-6.0501,-7.8965,-16.3352,-31.3072,-31.6192,-8.7921,-17.0896,-2.6429,,,,,-0.4858,-3.8480,-1.1046,-1.6484,-1.9726,-4.8707,-5.5640,-5.2845,-10.1150,-10.4400,,-11.3620,-11.5060,,-11.9280,-11.5090,-10.8100,-13.1520,-13.7644,,,-13.4089,-16.4520,,-18.3607,-19.1805,,,,-29.1305,-31.6022,,,-15.2488,-25.2925,-25.2265,,,-18.7142,-20.2261,-1.2120,,-0.2320,-5.2191,-5.2035,-13.4122,-13.5122,
273,-18.7360,,,,,-24.5349,,,-20.3207,,-19.1052,,-6.1114,-7.9028,-16.3210,-31.3055,-31.6176,-8.8413,-17.0746,-2.5714,,,,,-0.4846,-3.8330,-1.0770,-1.6261,-1.9468,-4.8744,-5.5575,-5.2812,-10.1275,-10.4335,,-11.3555,-11.4970,,-11.9220,-11.5060,-10.8070,-13.1539,-13.7851,,,-13.4342,-16.4680,,-18.3707,-19.1994,,,,-29.1296,-31.6013,,,-15.2258,-25.2935,-25.2268,,,-18.7304,-20.2586,-1.2080,,-0.2380,-5.2113,-5.1957,-13.4530,-13.5530,
274,-18.7040,,,,,-24.5328,,,-20.3185,,-19.0790,,-6.1728,-7.9092,-16.3069,-31.3039,-31.6159,-8.8904,-17.0597,-2.5000,,,,,-0.4833,-3.8180,-1.0494,-1.6037,-1.9210,-4.8781,-5.5510,-5.2780,-10.1400,-10.4270,,-11.3490,-11.4880,,-11.9160,-11.5030,-10.8040,-13.1558,-13.8058,,,-13.4596,-16.4840,,-18.3806,-19.2183,,,,-29.1287,-31.6003,,,-15.2029,-25.2945,-25.2272,,,-18.7486,-20.2912,-1.2040,,-0.2440,-5.2035,-5.1878,-13.4939,-13.5939,
275,-18.6720,,,,,-24.5307,,,-20.3162,,-19.0529,,-6.2287,-7.9156,-16.2928,-31.3022,-31.6143,-8.9396,-17.0448,-2.4286,,,,,-0.4820,-3.8030,-1.0218,-1.5813,-1.8951,-4.8818,-5.5445,-5.2748,-10.1525,-10.4205,,-11.3425,-11.4790,,-11.9100,-11.5000,-10.8010,-13.1576,-13.8034,,,-13.4849,-16.5000,,-18.3906,-19.2373,,,,-29.1278,-31.5993,,,-15.1800,-25.2955,-25.2275,,,-18.7627,-20.3237,-1.2000,,-0.2500,-5.1957,-5.1800,-13.5348,-13.6348,
276,-18.6400,,,,,-24.5286,,,-20.3140,,-19.0267,,-6.2845,-7.9220,-16.2786,-31.3006,-31.6125,-8.9887,-17.0299,-2.3571,,,,,-0.4807,-3.7880,-0.9942,-1.5589,-1.8693,-4.8855,-5.5380,-5.2715,-10.1650,-10.4140,,-11.3360,-11.4700,,-11.9040,-11.4940,-10.7980,-13.1595,-13.8011,,,-13.5103,-16.5160,,-18.4006,-19.2562,,,,-29.1269,-31.5983,,,-15.1565,-25.2964,-25.2279,,,-18.7847,-20.3562,-1.1933,,-0.2560,-5.1878,-5.1722,-13.5757,-13.6757,
277,-18.6120,,,,,-24.5265,,,-20.3118,,-19.0005,,-6.3404,-7.9284,-16.2645,-31.2989,-31.6107,-9.0379,-17.0149,-2.2857,,,,,-0.4794,-3.7730,-0.9666,-1.5365,-1.8434,-4.8892,-5.5315,-5.2683,-10.1775,-10.4075,,-11.3295,-11.4610,,-11.8980,-11.4880,-10.7950,-13.1613,-13.7987,,,-13.5356,-16.5320,,-18.4106,-19.2751,,,,-29.1260,-31.5973,,,-15.1330,-25.2974,-25.2282,,,-18.7976,-20.3887,-1.1867,,-0.2620,-5.1800,-5.1643,-13.6165,-13.7165,
278,-18.5840,,,,,-24.5244,,,-20.3096,,-18.9744,,-6.3963,-7.9348,-16.2503,-31.2973,-31.6089,-9.0871,-17.0000,-2.2143,,,,,-0.4781,-3.7580,-0.9390,-1.5142,-1.8176,-4.8929,-5.5250,-5.2650,-10.1900,-10.4010,,-11.3230,-11.4520,,-11.8920,-11.4820,-10.7920,-13.1632,-13.7963,,,-13.5610,-16.5480,,-18.4205,-19.2940,,,,-29.1251,-31.5964,,,-15.1096,-25.2984,-25.2286,,,-18.8140,-20.4213,-1.1800,,-0.2680,-5.1722,-5.1565,-13.6574,-13.7574,
279,-18.5560,,,,,-24.5223,,,-20.3074,,-18.9482,,-6.4521,-7.9412,-16.2362,-31.2956,-31.6071,-9.1362,-16.9851,-2.1429,,,,,-0.4769,-3.7430,-0.9210,-1.4918,-1.7918,-4.8966,-5.5282,-5.2617,-10.1960,-10.3945,,-11.3165,-11.4430,,-11.8860,-11.4760,-10.7890,-13.1650,-13.7939,,,-13.5863,-16.5640,,-18.4305,-19.3129,,,,-29.1242,-31.5954,,,-15.0861,-25.2994,-25.2290,,,-18.8298,-20.4538,-1.1733,,-0.2740,-5.1643,-5.1487,-13.6983,-13.7983,
280,-18.5280,,,,,-24.5202,,,-20.3051,,-18.9221,,-6.5080,-7.9476,-16.2220,-31.2940,-31.6053,-9.1854,-16.9701,-2.0714,,,,,-0.4756,-3.7280,-0.9030,-1.4694,-1.7659,-4.9003,-5.5315,-5.2585,-10.2020,-10.3880,,-11.3100,-11.4340,,-11.8800,-11.4700,-10.7860,-13.1669,-13.7915,,,-13.6116,-16.5800,,-18.4405,-19.3318,,,,-29.1233,-31.5944,,,-15.0626,-25.3004,-25.2293,,,-18.8482,-20.4863,-1.1667,,-0.2800,-5.1565,-5.1409,-13.7391,-13.8391,
281,-18.5000,,,,,-24.5180,,,-20.3029,,-18.8951,,-6.5639,-7.9540,-16.2074,-31.2924,-31.6036,-9.2345,-16.9552,-2.0000,,,,,-0.4743,-3.7475,-0.8850,-1.4470,-1.7389,-4.9040,-5.5348,-5.2553,-10.2080,-10.3815,,-11.3040,-11.4250,,-11.8735,-11.4640,-10.7830,-13.1687,-13.7892,,,-13.6370,-16.5960,,-18.4505,-19.3507,,,,-29.1224,-31.5934,,,-15.0391,-25.3014,-25.2310,,,-18.8566,-20.5189,-1.1600,,-0.2860,-5.1487,-5.1330,-13.7800,-13.8800,
282,-18.4840,,,,,-24.5159,,,-20.3007,,-18.8681,,-6.6197,-7.9604,-16.1928,-31.2908,-31.6019,-9.2837,-16.9403,-1.9286,,,,,-0.4480,-3.7670,-0.8670,-1.4247,-1.7119,-4.9077,-5.5380,-5.2520,-10.2140,-10.3750,,-11.2980,-11.4160,,-11.8670,-11.4580,-10.7800,-13.1994,-13.7868,,,-13.6623,-16.6120,,-18.4604,-19.3696,,,,-29.1215,-31.5924,,,-15.0156,-25.3024,-25.2327,,,-18.8698,-20.5514,-1.1533,,-0.2920,-5.1409,-5.1252,-13.8209,-13.9209,
283,-18.4680,,,,,-24.5138,,,-20.2985,,-18.8411,,-6.6756,-7.9668,-16.1782,-31.2891,-31.6002,-9.3329,-16.9254,-1.8571,,,,,-0.4218,-3.7865,-0.8490,-1.4023,-1.6849,-4.9114,-5.5412,-5.2487,-10.2200,-10.3685,,-11.2920,-11.4070,,-11.8605,-11.4520,-10.7770,-13.2301,-13.7844,,,-13.6877,-16.6280,,-18.4704,-19.3885,,,,-29.1206,-31.5915,,,-14.9922,-25.3034,-25.2344,,,-18.8819,-20.5839,-1.1467,,-0.2980,-5.1330,-5.1174,-13.8617,-13.9617,
284,-18.4520,,,,,-24.5117,,,-20.2963,,-18.8141,,-6.7315,-7.9731,-16.1636,-31.2875,-31.5985,-9.3820,-16.9104,-1.7857,,,,,-0.3955,-3.8060,-0.8310,-1.3799,-1.6580,-4.9151,-5.5445,-5.2455,-10.2260,-10.3620,,-11.2860,-11.3980,,-11.8540,-11.4460,-10.7740,-13.2608,-13.7820,,,-13.7130,-16.6440,,-18.4804,-19.4074,,,,-29.1197,-31.5905,,,-14.9687,-25.3044,-25.2361,,,-18.9008,-20.6165,-1.1400,,-0.3040,-5.1252,-5.1096,-13.9026,-14.0026,
285,-18.4360,,,,,-24.5096,,,-20.2940,,-18.7871,,-6.7873,-7.9795,-16.1490,-31.2859,-31.5968,-9.4312,-16.8955,-1.7143,,,,,-0.3692,-3.8255,-0.8130,-1.3575,-1.6310,-4.9187,-5.5478,-5.2423,-10.2320,-10.3555,,-11.2800,-11.3890,,-11.8475,-11.4400,-10.7710,-13.2915,-13.7797,,,-13.7384,-16.6600,,-18.4904,-19.4263,,,,-29.1188,-31.5895,,,-14.9452,-25.3054,-25.2378,,,-18.9185,-20.6490,-1.1333,,-0.3100,-5.1174,-5.1017,-13.9435,-14.0435,
286,-18.4200,,,,,-24.5075,,,-20.2918,,-18.7601,,-6.8432,-7.9859,-16.1344,-31.2843,-31.5951,-9.4804,-16.8806,-1.6429,,,,,-0.3430,-3.8450,-0.7950,-1.3352,-1.6040,-4.9224,-5.5510,-5.2390,-10.2380,-10.3490,,-11.2740,-11.3800,,-11.8410,-11.4340,-10.7680,-13.3222,-13.7773,,,-13.7637,-16.6760,,-18.5003,-19.4453,,,,-29.1179,-31.5886,,,-14.9217,-25.3064,-25.2395,,,-18.9336,-20.6815,-1.1267,,-0.3160,-5.1096,-5.0939,-13.9843,-14.0843,
287,-18.3700,,,,,-24.5054,,,-20.2896,,-18.7331,,-6.8991,,-16.1198,-31.2827,-31.5935,-9.5295,-16.8657,-1.5714,,,,,-0.3167,-3.8645,-0.7770,-1.3143,-1.5770,-4.9261,-5.5542,-5.2357,-10.2440,-10.3425,,-11.2680,-11.3735,,-11.8345,-11.4280,-10.7650,-13.3529,-13.7749,,,-13.7890,-16.6920,,-18.5103,-19.4642,,,,-29.1170,-31.5876,,,-14.8982,-25.3074,-25.2413,,,-18.9482,-20.7141,-1.1200,,-0.3220,-5.1017,-5.0861,-14.0252,-14.1252,
288,-18.3200,,,,,-24.5033,,,-20.2874,,-18.7061,,-6.9549,,-16.1052,-31.2810,-31.5918,-9.5787,-16.8507,-1.5000,,,,,-0.2905,-3.8840,-0.7590,-1.2935,-1.5500,-4.9298,-5.5575,-5.2325,-10.2500,-10.3360,,-11.2620,-11.3670,,-11.8280,-11.4220,-10.7620,-13.3836,-13.7725,,,-13.8144,-16.7080,,-18.5203,-19.4831,,,,-29.1161,-31.5867,,,-14.8748,-25.3084,-25.2430,,,-18.9644,-20.7466,-1.1133,,-0.3280,-5.0939,-5.0783,-14.0661,-14.1661,
289,-18.2700,,,,,-24.5011,,,-20.2852,,-18.6791,,-7.0108,,-16.0906,-31.2794,-31.5902,-9.6278,-16.8358,,,,,,-0.2642,-3.9035,-0.7442,-1.2726,-1.5230,-4.9335,-5.5608,-5.2293,-10.2560,-10.3295,,-11.2560,-11.3605,,-11.8215,-11.4160,-10.7590,-13.4143,-13.7702,,,-13.8397,-16.7240,,-18.5303,-19.5020,,,,-29.1152,-31.5857,,,-14.8513,-25.3094,-25.2447,,,-18.9833,-20.7791,-1.1067,,-0.3340,-5.0861,-5.0704,-14.1070,-14.2070,
290,-18.2200,,,,,-24.4990,,,-20.2829,,-18.6521,,-7.0667,,-16.0760,-31.2778,-31.5885,-9.6770,-16.8209,,,,,,-0.2379,-3.9230,-0.7294,-1.2518,-1.4960,-4.9372,-5.5640,-5.2260,-10.2620,-10.3230,,-11.2500,-11.3540,,-11.8150,-11.4100,-10.7560,-13.4450,-13.7678,,,-13.8651,-16.7400,,-18.5403,-19.5209,,,,-29.1143,-31.5848,,,-14.8278,-25.3104,-25.2464,,,-18.9968,-20.8116,-1.1000,,-0.3400,-5.0783,-5.0626,-14.1478,-14.2478,
291,-18.1700,,,,,-24.4969,,,-20.2807,,-18.6258,,-7.1225,,-16.0614,-31.2762,-31.5868,-9.7262,-16.8060,,,,,,-0.2117,-3.9377,-0.7146,-1.2310,-1.4690,-4.9409,-5.5672,-5.2227,-10.2680,-10.3165,,-11.2440,-11.3475,,-11.8085,-11.4040,-10.7530,-13.4757,-13.7654,,,-13.8904,-16.7560,,-18.5502,-19.5398,,,,-29.1134,-31.5839,,,-14.8043,-25.3114,-25.2467,,,-19.0158,-20.8442,-1.1000,,-0.3460,-5.0704,-5.0548,-14.1887,-14.2887,
292,-18.1160,,,,,-24.4948,,,-20.2785,,-18.5996,,-7.1784,,-16.0468,-31.2746,-31.5851,-9.7753,-16.7910,,,,,,,-3.9524,-0.6998,-1.2101,-1.4420,-4.9446,-5.5705,-5.2195,-10.2740,-10.3100,,-11.2380,-11.3410,,-11.8020,-11.3980,-10.7500,-13.5064,-13.7630,,,-13.9158,-16.7720,,-18.5602,-19.5587,,,,-29.1125,-31.5831,,,-14.7808,-25.3124,-25.2470,,,-19.0274,-20.8767,-1.1000,,-0.3520,-5.0626,-5.0470,-14.2296,-14.3296,
293,-18.0620,,,,,-24.4927,,,-20.2763,,-18.5733,,-7.2343,,-16.0322,-31.2730,-31.5834,-9.8245,-16.7761,,,,,,,-3.9671,-0.6850,-1.1893,-1.4150,-4.9407,-5.5738,-5.2163,-10.2800,-10.3100,,-11.2320,-11.3345,,-11.7955,-11.3920,-10.7470,-13.5371,-13.7606,,,-13.9411,-16.7880,,-18.5702,-19.5776,,,,-29.1116,-31.5822,,,-14.7574,-25.3134,-25.2473,,,-19.0441,-20.9092,-1.1000,,-0.3580,-5.0548,-5.0391,-14.2704,-14.3704,
294,-18.0080,,,,,-24.4906,,,-20.2741,,-18.5471,,-7.2901,,-16.0176,-31.2714,-31.5817,-9.8736,-16.7612,,,,,,,-3.9818,-0.6702,-1.1684,-1.3880,-4.9368,-5.5770,-5.2130,-10.2860,-10.3100,,-11.2260,-11.3280,,-11.7890,-11.3860,-10.7440,-13.5678,-13.7583,,,-13.9664,-16.8040,,-18.5802,-19.5965,,,,-29.1107,-31.5814,,,-14.7339,-25.3144,-25.2476,,,-19.0527,-20.9418,-1.1000,,-0.3640,-5.0470,-5.0313,-14.3113,-14.4113,
295,-17.9540,,,,,-24.4885,,,-20.2718,,-18.5208,,-7.3460,,-16.0030,-31.2698,-31.5800,-9.9228,-16.7463,,,,,,,-3.9965,-0.6554,-1.1476,-1.3610,-4.9330,-5.5802,-5.2097,-10.2920,-10.3100,,-11.2200,-11.3215,,-11.7825,-11.3800,-10.7410,-13.5985,-13.7501,,,-13.9918,-16.8200,,-18.5901,-19.6155,,,,-29.1098,-31.5805,,,-14.7104,-25.3154,-25.2480,,,-19.0730,-20.9743,-1.1000,,-0.3700,-5.0391,-5.0235,-14.3522,-14.4522,
296,-17.9000,,,,,-24.4864,,,-20.2696,,-18.4946,,-7.4019,,-15.9884,-31.2682,-31.5784,-9.9720,-16.7313,,,,,,,-4.0112,-0.6406,-1.1268,-1.3340,-4.9291,-5.5835,-5.2065,-10.2980,-10.3100,,-11.2140,-11.3150,,-11.7760,-11.3735,-10.7380,-13.6292,-13.7420,,,-14.0171,-16.8360,,-18.6001,-19.6344,,,,-29.1089,-31.5795,,,-14.6869,-25.3164,-25.2483,,,-19.0888,-21.0068,-1.1000,,-0.3760,-5.0313,-5.0157,-14.3930,-14.4930,
297,-17.8880,,,,,-24.4843,,,-20.2674,,-18.4683,,-7.4577,,-15.9738,-31.2666,-31.5767,-10.0211,-16.7164,,,,,,,-4.0259,-0.6258,-1.1059,-1.3071,-4.9252,-5.5868,-5.2033,-10.3040,-10.3100,,-11.2080,-11.3085,,-11.7695,-11.3670,-10.7350,-13.6599,-13.7338,,,-14.0425,-16.8520,,-18.6101,-19.6533,,,,-29.1080,-31.5785,,,-14.6634,-25.3174,-25.2486,,,-19.1050,-21.0393,-1.1000,,-0.3820,-5.0235,-5.0078,-14.4339,-14.5339,
298,-17.8760,,,,,-24.4821,,,-20.2652,,-18.4421,,-7.5136,,-15.9592,-31.2651,-31.5751,-10.0703,-16.7015,,,,,,,-4.0406,-0.6110,-1.0851,-1.2801,-4.9213,-5.5900,-5.2000,-10.3100,-10.3100,,-11.2020,-11.3020,,-11.7630,-11.3605,-10.7320,-13.6906,-13.7257,,,-14.0678,-16.8680,,-18.6201,-19.6722,,,,-29.1072,-31.5776,,,-14.6400,-25.3184,-25.2489,,,-19.1200,-21.0719,-1.1000,,-0.3880,-5.0157,-5.0000,-14.4748,-14.5748,
299,-17.8640,,,,,-24.4800,,,-20.2630,,-18.4158,,-7.5695,,-15.9446,-31.2635,-31.5734,-10.1195,-16.6866,,,,,,,-4.0553,-0.5991,-1.0642,-1.2531,-4.9175,-5.5835,-5.1967,-10.3100,-10.3100,,-11.1960,-11.2955,,-11.7565,-11.3540,-10.7290,-13.7213,-13.7175,,,-14.0932,-16.8840,,-18.6300,-19.6911,,,,-29.1063,-31.5766,,,-14.6165,-25.3194,-25.2492,,,-19.1315,-21.1044,-1.1000,,-0.3940,-5.0078,-4.9907,-14.5157,-14.6157,
300,-17.8520,,,,,-24.4779,,,-20.2607,,,,-7.6253,,-15.9300,-31.2619,-31.5718,-10.1686,-16.6716,,,,,,,-4.0700,-0.5873,-1.0434,-1.2261,-4.9136,-5.5770,-5.1935,-10.3100,-10.3100,,-11.1900,-11.2890,,-11.7500,-11.3475,-10.7260,-13.7520,-13.7094,,,-14.1185,-16.9000,,-18.6400,-19.7100,,,,-29.1054,-31.5756,,,-14.5930,-25.3204,-25.2495,,,-19.1448,-21.1369,-1.1000,,-0.4000,-5.0000,-4.9813,-14.5565,-14.6565,
301,-17.8400,,,,,-24.4758,,,-20.2585,,,,-7.6812,,-15.9148,-31.2603,-31.5702,-10.3243,-16.6567,,,,,,,-4.0535,-0.5755,-1.0226,-1.2018,-4.9097,-5.5705,-5.1902,-10.3100,-10.3100,,-11.1775,-11.2825,,-11.7405,-11.3410,-10.7230,-13.7827,-13.7012,,,-14.1438,-16.9085,,-18.6500,,,,,-29.1045,-31.5748,,,,-25.3213,,,,-19.1543,-21.1695,,,-0.4067,-4.9893,-4.9720,-14.5974,-14.6974,
302,-17.8100,,,,,-24.4737,,,-20.2567,,,,-7.7371,,-15.8996,-31.2588,-31.5687,-10.4799,-16.6418,,,,,,,-4.0370,-0.5636,-1.0017,-1.1775,-4.9058,-5.5640,-5.1870,-10.3100,-10.3100,,-11.1650,-11.2760,,-11.7310,-11.3345,-10.7200,-13.7719,-13.6931,,,-14.1692,-16.9170,,-18.6600,,,,,-29.1036,-31.5739,,,,-25.3223,,,,-19.1713,-21.2020,,,-0.4133,-4.9787,-4.9627,-14.6383,-14.7383,
303,-17.7800,,,,,-24.4716,,,-20.2549,,,,-7.7929,,-15.8844,-31.2572,-31.5671,-10.6356,-16.6269,,,,,,,-4.0205,-0.5517,-0.9809,-1.1532,-4.9019,-5.5575,-5.1837,-10.3100,-10.3100,,-11.1525,-11.2695,,-11.7215,-11.3280,-10.7170,-13.7611,-13.6850,,,-14.1945,-16.9255,,-18.6700,,,,,-29.1028,-31.5731,,,,-25.3233,,,,-19.1843,-21.1780,,,-0.4200,-4.9680,-4.9533,-14.6791,-14.7791,
304,-17.7500,,,,,-24.4695,,,-20.2531,,,,-7.8488,,-15.8692,-31.2557,-31.5656,-10.7912,-16.6119,,,,,,,-4.0040,-0.5399,-0.9601,-1.1289,-4.8981,-5.5510,-5.1805,-10.3100,-10.3100,,-11.1400,-11.2630,,-11.7120,-11.3215,-10.7140,-13.7502,-13.6768,,,-14.2199,-16.9340,,-18.6799,,,,,-29.1019,-31.5722,,,,-25.3243,,,,-19.1966,-21.1541,,,-0.4267,-4.9573,-4.9440,-14.7200,-14.8200,
305,-17.7200,,,,,-24.4674,,,-20.2513,,,,-7.9047,,-15.8540,-31.2541,-31.5640,-10.9469,-16.5970,,,,,,,-3.9875,-0.5281,-0.9392,-1.1046,-4.8942,-5.5445,-5.1772,-10.3100,-10.3100,,-11.1275,-11.2565,,-11.7025,-11.3150,-10.7110,-13.7394,-13.6687,,,-14.2452,-16.9425,,-18.6899,,,,,-29.1010,-31.5714,,,,-25.3253,,,,-19.2074,-21.1301,,,-0.4333,-4.9467,-4.9347,-14.7609,-14.8609,
306,-17.6900,,,,,-24.4652,,,-20.2495,,,,-7.9605,,-15.8388,-31.2526,-31.5624,-11.1026,-16.5821,,,,,,,-3.9710,-0.5162,-0.9184,-1.0803,-4.8903,-5.5380,-5.1740,-10.3100,-10.3100,,-11.1150,-11.2500,,-11.6930,-11.3085,-10.7080,-13.7285,-13.6605,,,-14.2705,-16.9510,,-18.6999,,,,,-29.1001,-31.5705,,,,-25.3263,,,,-19.2266,-21.1061,,,-0.4400,-4.9360,-4.9253,-14.8017,-14.9017,
307,-17.6600,,,,,-24.4631,,,-20.2477,,,,-8.0164,,-15.8236,-31.2511,-31.5609,-11.2582,-16.5672,,,,,,,-3.9545,-0.5043,-0.8968,-1.0560,-4.8864,-5.5315,-5.1707,-10.3100,-10.3100,,-11.1025,-11.2375,,-11.6835,-11.3020,-10.7050,-13.7177,-13.6524,,,-14.2959,-16.9595,,-18.7099,,,,,-29.0993,-31.5697,,,,-25.3273,,,,-19.2411,-21.0821,,,-0.4467,-4.9253,-4.9160,-14.8426,-14.9426,
308,-17.6300,,,,,-24.4610,,,-20.2459,,,,-8.0723,,-15.8084,-31.2495,-31.5593,-11.2726,-16.5522,,,,,,,-3.9380,-0.4925,-0.8752,-1.0317,-4.8825,-5.5250,-5.1675,-10.3100,-10.3100,,-11.0900,-11.2250,,-11.6740,-11.2955,-10.7020,-13.7069,-13.6442,,,-14.3212,-16.9680,,-18.7198,,,,,-29.0984,-31.5688,,,,-25.3283,,,,-19.2622,-21.0582,,,-0.4533,-4.9147,-4.9067,-14.8835,-14.9835,
309,-17.6000,,,,,-24.4589,,,-20.2441,,,,-8.1128,,-15.7932,-31.2480,-31.5578,-11.2870,-16.5373,,,,,,,-3.9215,-0.4807,-0.8536,-1.0074,-4.8787,-5.5185,-5.1643,-10.3100,-10.3100,,-11.0775,-11.2125,,-11.6645,-11.2890,-10.6990,-13.6960,-13.6361,,,-14.3466,-16.9765,,-18.7298,,,,,-29.0976,-31.5680,,,,-25.3293,,,,-19.2754,-21.0342,,,-0.4600,-4.9040,-4.8973,-14.9243,-15.0243,
310,-17.5700,,,,,-24.4568,,,-20.2422,,,,-8.1533,,-15.7780,-31.2465,-31.5562,-11.3015,-16.5224,,,,,,,-3.9050,-0.4688,-0.8319,-0.9831,-4.8748,-5.5120,-5.1610,-10.3100,-10.3100,,-11.0650,-11.2000,,-11.6550,-11.2825,-10.6960,-13.6852,-13.6279,,,-14.3719,-16.9850,,-18.7398,,,,,-29.0967,-31.5671,,,,-25.3303,,,,-19.2889,-21.0102,,,-0.4667,-4.8933,-4.8880,-14.9652,-15.0652,
311,-17.5400,,,,,-24.4547,,,-20.2404,,,,-8.1938,,-15.7628,-31.2450,-31.5547,-11.3159,-16.5075,,,,,,,-3.9174,-0.4569,-0.8103,-0.9588,-4.8709,-5.5055,-5.1578,-10.3100,-10.3100,,-11.0525,-11.1875,,-11.6455,-11.2760,-10.6930,-13.6743,-13.6198,,,-14.3973,-16.9935,,-18.7498,,,,,-29.0959,-31.5662,,,,-25.3313,,,,-19.3029,-20.9863,,,-0.4733,-4.8827,-4.8787,-15.0061,-15.1061,
312,-17.5060,,,,,-24.4526,,,-20.2386,,,,-8.2343,,-15.7476,-31.2435,-31.5531,-11.3303,-16.4925,,,,,,,-3.9298,-0.4451,-0.7887,-0.9345,-4.8670,-5.4990,-5.1545,-10.3100,-10.3100,,-11.0400,-11.1750,,-11.6360,-11.2695,-10.6900,-13.6635,-13.6116,,,-14.4226,-17.0020,,-18.7597,,,,,-29.0950,-31.5654,,,,-25.3323,,,,-19.3215,-20.9623,,,-0.4800,-4.8720,-4.8693,-15.0470,-15.1470,
313,-17.4720,,,,,-24.4490,,,-20.2368,,,,-8.2748,,-15.7324,-31.2419,-31.5516,-11.3447,-16.4776,,,,,,,-3.9422,-0.4333,-0.7671,-0.9102,-4.8632,-5.4925,-5.1513,-10.3100,-10.3070,,-11.0275,-11.1625,,-11.6265,-11.2630,-10.6745,-13.6527,-13.6035,,,-14.4479,-17.0105,,-18.7697,,,,,-29.0942,-31.5645,,,,-25.3333,,,,-19.3400,-20.9383,,,-0.4867,-4.8613,-4.8600,-15.0878,-15.1878,
314,-17.4380,,,,,-24.4455,,,-20.2350,,,,-8.3153,,-15.7172,-31.2404,-31.5500,-11.3591,-16.4627,,,,,,,-3.9546,-0.4214,-0.7455,-0.8859,-4.8593,-5.4860,-5.1480,-10.3100,-10.3040,,-11.0150,-11.1500,,-11.6170,-11.2565,-10.6590,-13.6418,-13.5953,,,-14.4733,-17.0190,,-18.7797,,,,,-29.0933,-31.5637,,,,-25.3343,,,,-19.3528,-20.9144,,,-0.4933,-4.8507,-4.8507,-15.1287,-15.2287,
315,-17.4040,,,,,-24.4420,,,-20.2332,,,,-8.3558,,-15.7020,-31.2389,-31.5485,-11.3735,-16.4478,,,,,,,-3.9670,-0.4095,-0.7239,-0.8616,-4.8554,-5.4795,-5.1448,-10.3100,-10.3010,,-11.0025,-11.1375,,-11.6075,-11.2500,-10.6435,-13.6310,-13.6030,,,-14.4986,-17.0275,,-18.7897,,,,,-29.0925,-31.5628,,,,-25.3353,,,,-19.3629,-20.8904,,,-0.5000,-4.8400,-4.8413,-15.1696,-15.2696,
