depth [m],Agassiz77,Agassiz79a,Agassiz79b,Agassiz84,CVI_EPF,CampCentury,CampIII_78b,CampVI,DYE-3,Devon72,Devon73,Devon98,FOXX1,FOXX2,FladeIsblink06,GISP2,GRIP,GULL,HansTausen_Dome,HansTausen_Hare,Isua_10,Isua_11,Isua_12,Isua_13,Isua_14,Isunnguata_13km-10,Isunnguata_27km-11A,Isunnguata_27km-11B,Isunnguata_27km-11C,Isunnguata_27km-12A,Isunnguata_27km-12B,Isunnguata_27km-12C,Isunnguata_33km_14N,Isunnguata_33km_14SA,Isunnguata_33km_14SB,Isunnguata_33km_14W,Isunnguata_33km_15CA,Isunnguata_33km_15CB,Isunnguata_33km_15E,Isunnguata_33km_15N,Isunnguata_33km_15S,Isunnguata_46km-11A,Isunnguata_46km-11B,Isunnguata_M1-10,Isunnguata_M2-10B,Jakobshavn89A,Jakobshavn89B,Jakobshavn95D_I1,Jakobshavn95D_I2,Jakobshavn95D_T3,Jakobshavn95D_T4,Jakobshavn95D_T5,Meighen67,NEEM,NGRIP,Penny96,PrinceWales05,Renland88,SiteII,SiteII_EGIG,StationCentrale,StationCentrale_EGIG,Store_R30_BH19c,Store_S30,TD1_88,TD2_88,TD3_88,TD4_91a,TD4_91b,TD5_90,TD5_91,Tuto_D-11
15,-24.3120,-22.3200,-22.2680,-21.8320,,-24.1165,-2.8000,-12.4500,,-22.9090,-23.0264,-22.5160,-3.1636,-4.0114,,,,-1.4057,-20.9254,-17.4200,-3.3971,,,-4.7074,-4.3541,-1.8845,,,,-6.3489,,,,,,,,,,-9.5600,,-9.5241,,0.0000,-0.2000,-0.7389,7.2541,,,,,,-17.0680,,,-12.2300,-21.0309,-18.4440,,,-27.0400,,-6.7174,,,,,-8.2000,-7.9400,-8.7000,-8.6000,-11.4027
16,-24.3500,-22.3100,-22.2600,-21.8080,,-24.1281,-2.6000,-12.5400,,-22.9301,-23.0215,-22.5440,-3.0160,-4.2282,,,,-1.3927,-20.9104,-17.2400,-3.3864,,,-4.7068,-4.3268,-2.0720,,,,-6.2540,,,,,,,,,,-9.6010,,-9.5178,,0.0000,-0.1810,-1.4111,7.0429,,,,,,-17.0760,,,-12.2900,-21.0602,-18.4728,-23.9981,,-27.0200,,-6.7111,,,,,-8.1150,-7.8600,-8.6800,-8.5900,-11.3734
17,-24.3460,-22.3000,-22.2400,-21.7840,,-24.1398,-2.4000,-12.6300,,-22.9512,-23.0167,-22.5720,-2.8683,-4.0186,,,,-1.3798,-20.8955,-17.0600,-3.3756,,,-4.7063,-4.2994,-2.2595,,,,-6.1591,,,,,,,,,,-9.6420,,-9.5116,,0.0000,-0.1620,-2.0833,6.8316,,,,,,-17.0840,,,-12.3500,-21.0895,-18.5016,-24.0138,,-27.0000,,-6.7136,,,,,-8.0300,-7.7800,-8.6600,-8.5800,-11.3112
18,-24.3420,-22.2720,-22.2200,-21.7600,,-24.1514,-2.2000,-12.7200,,-22.9723,-23.0118,-22.6000,-2.7206,-3.8091,,,,-1.3668,-20.8806,-16.8800,-3.3648,,,-4.6461,-4.2762,-2.4470,,,,-6.0641,-5.6550,-4.5500,-4.6300,,,,,,,-9.6830,,-9.5054,,0.0000,-0.1430,-2.7556,6.6204,,,,,,-17.1600,,,-12.4100,-21.1189,-18.5304,-24.0295,,-27.0300,,-6.7241,,,,,-7.9450,-7.7000,-8.6400,-8.5700,-11.2491
19,-24.3380,-22.2440,-22.2000,-21.7300,,-24.1630,-2.0000,-12.8100,,-22.9934,-23.0070,-22.6280,-2.5729,-3.5996,,,,-1.3538,-20.8657,-16.7000,-3.3541,,,-4.5859,-4.2530,-2.6345,,,,-5.9692,-5.6160,-4.5272,-4.6515,,,,,,,-9.7240,,-9.4992,,0.0000,-0.1240,-3.4278,6.4092,,,,,,-17.1350,,,-12.4700,-21.1482,-18.5592,-24.0625,,-27.0050,,-6.7420,,,,,-7.8600,-7.6200,-8.6200,-8.5600,-11.1869
20,-24.3340,-22.2160,-22.1800,-21.7000,-12.7282,-24.1747,-1.8000,-12.9000,,-23.0145,-23.0021,-22.6560,-2.4252,-3.5274,,,,-1.3408,-20.8507,-16.6000,-3.3433,,,-4.5258,-4.2298,-2.8220,,,-5.8378,-5.8743,-5.5770,-4.5045,-4.6730,,,,,,,-9.7650,,-9.4930,,0.0000,-0.1050,-4.1000,6.1980,,,-6.1700,,,-17.1100,,,-12.5300,-21.1775,-18.5880,-24.0955,-23.9299,-26.9800,-26.8995,-6.7498,,,,-2.1000,-7.7750,-7.5400,-8.6000,-8.5500,-11.1247
21,-24.3300,-22.1880,-22.1600,-21.6700,-12.7930,-24.1863,-1.6800,-12.9520,,-23.0356,-23.0021,-22.6840,-2.2969,-3.4553,,,,-1.3278,-20.8358,-16.5000,-3.3325,,,-4.4656,-4.2065,-2.7790,,,-5.6854,-5.7794,-5.5380,-4.4817,-4.6945,,,,,,,-9.8060,,-9.4867,,-0.0012,-0.0860,-4.1619,5.9867,,,-6.2747,,,-17.1160,,,-12.5440,-21.1878,-18.6034,-24.1165,-23.9482,-26.9940,-26.9164,-6.7704,,,,-1.9800,-7.6900,-7.4600,-8.5800,-8.5400,-11.0625
22,-24.3020,-22.1600,-22.1300,-21.6400,-12.8578,-24.1979,-1.5600,-13.0040,,-23.0568,-23.0020,-22.7120,-2.1686,-3.3832,,,,-1.3148,-20.8209,-16.4000,-3.3217,,,-4.4055,-4.1833,-2.7360,,,-5.5330,-5.6845,-5.4990,-4.4590,-4.7160,,,,,,,-9.8470,,-9.4886,,-0.0024,-0.0670,-4.2237,5.7755,,,-6.3794,,,-17.1090,,,-12.5580,-21.1981,-18.6188,-24.1375,-23.9665,-27.0080,-26.9334,-6.7980,,,,-1.8600,-7.6050,-7.3800,-8.5600,-8.5300,-11.0004
23,-24.2740,-22.1280,-22.1000,-21.6100,-12.9226,-24.2095,-1.4400,-13.0560,,-23.0779,-23.0020,-22.7400,-2.0402,-3.3110,,,,-1.3018,-20.8060,-16.3000,-3.3110,,,-4.3453,-4.1601,-2.6930,,,-5.3806,-5.5896,-5.4600,-4.4362,-4.7375,,,,,,,-9.8880,,-9.4904,,-0.0036,-0.0480,-4.2856,5.5643,,,-6.4841,,,-17.1020,,,-12.5720,-21.2083,-18.6342,-24.1585,-23.9848,-27.0220,-26.9503,-6.8195,,,,-1.7400,-7.5200,-7.3000,-8.5400,-8.5200,-10.9748
24,-24.2460,-22.0960,-22.0700,-21.5920,-12.9874,-24.2212,-1.3200,-13.1080,,-23.0990,-23.0019,-22.7420,-1.9119,-3.2389,,,,-1.2888,-20.7910,-16.2000,-3.3002,,,-4.2852,-4.1369,-2.6500,,,-5.2283,-5.4947,-5.4210,-4.4135,-4.7590,,,,,,,-9.9290,,-9.4923,,-0.0048,-0.0290,-4.3475,5.3531,,,-6.5888,,,-17.0880,,,-12.5860,-21.2186,-18.6496,-24.1756,-24.0031,-27.0360,-26.9672,-6.8484,,,,-1.6200,-7.4350,-7.2200,-8.5200,-8.5100,-10.9492
