normalized,agassiz77,agassiz79a,agassiz79b,agassiz84,camp_century,devon_00,devon_71,devon_72,dye_3,flade_isblink,foxx1,gisp2,grip,gull,h2015_s1a,h2015_s1b,h2015_s3a,h2015_s3b,h2015_s3c,h2015_s4a,h2015_s4b,h2015_s4c,h2015_s5a,h2015_s5b,hanstausen_dome,hanstausen_hare,isua_10,isua_11,isua_12,isua_13,isua_14,jakobshavn_center,jakobshavn_left,jakobshavn_sheet,m2020_14n,m2020_14sa,m2020_14sb,m2020_14w,m2020_15ca,m2020_15cb,m2020_15e,m2020_15n,m2020_15s,meighan,neem,ngrip,penny,pow,renland,site_ii,td1,td2,td3,tuto_ramp
0.1800,-18.5280,-19.7380,-19.7300,-19.6660,-17.3034,,,-19.7955,-17.2578,,-4.6323,-21.1760,-22.2047,-6.6330,-0.0233,0.0081,,-0.2611,-0.2815,-0.7284,-0.9598,-0.7624,-6.8006,-6.5532,-16.9330,-6.0229,-2.4257,-1.3877,-1.6171,-0.5146,-0.5040,-9.8456,-20.9691,-14.0982,-5.4202,-4.2637,-4.3568,-5.1390,-4.5455,-4.2968,-5.7831,-5.7858,-5.2269,-16.3740,-15.5864,-18.1484,-12.2080,-20.0227,-15.3863,,-1.3800,,-0.3220,-10.6529
0.1900,-18.6400,-19.7660,-19.7860,-19.6880,-17.5366,,,-19.8689,-17.4150,,-4.9741,-21.8580,-22.8230,-7.2218,-0.0233,0.0080,,-0.2562,-0.3139,-0.8051,-1.0180,-0.8241,-7.1854,-6.9496,-17.0000,-6.2842,-2.4467,-1.4166,-1.6280,-0.5739,-0.5286,-10.3189,-21.2130,-15.1105,-5.6889,-4.4880,-4.5593,-5.4131,-4.8132,-4.5587,-6.0540,-5.9952,-5.4887,-16.3878,-16.2311,-18.9258,-12.2210,-20.0415,-15.4780,,-1.4400,,-0.3040,-10.6529
0.2000,-18.7360,-19.7940,-19.8140,-19.7360,-17.7517,,,-19.9423,-17.5912,,-5.3159,-22.5000,-23.4417,-7.8105,-0.0246,0.0079,-0.4129,-0.2523,-0.3544,-0.8818,-1.0859,-0.8920,-7.5564,-7.3618,-17.0503,-6.5186,-2.4678,-1.4455,-1.6388,-0.5214,-0.5533,-10.7922,-21.4417,-16.2493,-5.9322,-4.7491,-4.7915,-5.7130,-5.0312,-4.8186,-6.3646,-6.3048,-5.7135,-16.4015,-16.9639,-19.6841,-12.2470,-20.0790,-15.5467,,-1.5000,,-0.2800,-10.6732
0.2100,-18.8560,-19.8500,-19.8700,-19.7620,-17.9834,,,-20.0158,-17.7596,,-5.6856,-23.1200,-24.0675,-8.3992,-0.0258,0.0078,-0.4104,-0.2474,-0.3949,-0.9586,-1.1811,-0.9598,-7.9999,-7.7424,-17.0976,-6.6990,-2.4889,-1.4744,-1.6496,-0.4689,-0.5801,-11.2655,-21.5266,-16.4593,-6.2088,-5.0603,-5.0462,-5.9839,-5.2722,-5.0800,-6.6913,-6.5838,-5.9844,-16.4153,-17.6865,-20.4105,-12.2680,-20.1147,-15.6155,,-1.5600,,-0.2560,-10.6732
0.2200,-18.9400,-19.8820,-19.9020,-19.7880,-18.2221,,,-20.0892,-17.9115,,-5.9837,-23.7400,-24.6250,-9.0183,-0.0270,0.0077,-0.4072,-0.2634,-0.3948,-1.0859,-1.3127,-1.0393,-8.4446,-8.1705,-17.1525,-6.8795,-2.5100,-1.4841,-1.6604,-0.4340,-0.6114,-11.7296,-21.6172,-17.5048,-6.4548,-5.2815,-5.2278,-6.2363,-5.4937,-5.3049,-6.9631,-6.8033,-6.2462,-16.4428,-18.3534,-21.1212,-12.2840,-20.1484,-15.6842,,-1.6200,,-0.2380,-10.6936
0.2300,-19.0300,-19.9460,-19.9340,-19.8140,-18.4647,,,-20.1626,-18.0461,-14.1984,-6.2818,-24.3340,-25.1356,-9.6425,-0.0282,0.0076,-0.4047,-0.2873,-0.3538,-1.2216,-1.4443,-1.1276,-8.8044,-8.5510,-17.1937,-6.9998,-2.5311,-1.5034,-1.6713,-0.3815,-0.6426,-12.1908,-21.7021,-18.2818,-6.7359,-5.4862,-5.4185,-6.5294,-5.7860,-5.5471,-7.1721,-7.0758,-6.4633,-16.4565,-19.0324,-21.7921,-12.2920,-20.1652,-15.7752,,-1.6800,,-0.2200,-10.6936
0.2400,-19.1500,-19.9780,-19.9980,-19.8660,-18.7074,,,-20.2310,-18.1707,-14.2770,-6.5800,-24.8920,-25.6639,-10.2398,-0.0286,0.0076,-0.4016,-0.3172,-0.3210,-1.3573,-1.5759,-1.2158,-9.1642,-8.9791,-17.2487,-7.1803,-2.5483,-1.5130,-1.6821,-0.4299,-0.6739,-12.6520,-21.7870,-18.7589,-6.9817,-5.6691,-5.5935,-6.7130,-6.0273,-5.7547,-7.3512,-7.3021,-6.6494,-16.4703,-19.4523,-22.4469,-12.3080,-20.1989,-15.8416,,-1.7400,,-0.1960,-10.7139
0.2500,-19.2400,-20.0340,-20.0300,-19.8920,-18.9430,,,-20.2993,-18.3051,-14.3585,-6.9278,-25.4500,-26.1982,-10.7701,-0.0290,0.0076,-0.3991,-0.3412,-0.2801,-1.4931,-1.7075,-1.3259,-9.4490,-9.3121,-17.2975,-7.3608,-2.5655,-1.5227,-1.6921,-0.4622,-0.6519,-13.1132,-21.8719,-19.1829,-7.2495,-5.8885,,-6.9555,-6.3089,-5.9969,-7.5616,-7.5577,-6.8691,-16.4840,-19.8278,-23.0905,-12.3240,-20.2326,-15.9081,,-1.8000,,-0.1720,-10.7139
0.2600,-19.3600,-20.0580,-20.0780,-19.9180,-19.1739,,,-20.3677,-18.4262,-14.4400,-7.2259,-25.9960,-26.6851,-11.3004,-0.0293,0.0076,-0.3960,-0.3711,-0.2391,-1.6288,-1.8991,-1.4746,-9.6889,-9.6926,-17.3627,-7.5043,-2.5828,-1.5323,-1.7022,-0.5106,-0.6300,-13.6124,-21.9625,-19.6070,-7.4674,-6.1162,,-7.2191,-6.5627,-6.2791,-7.7990,-7.7906,-7.1093,-16.4969,-20.3722,-23.7179,-12.3400,-20.2663,-15.9746,,-1.8480,,-0.1540,-10.7139
0.2700,-19.4540,-20.0820,-20.1020,-19.9700,-19.3796,,,-20.4361,-18.5343,-14.5291,-7.5240,-26.4920,-27.1629,-11.7956,-0.0297,0.0076,-0.3928,-0.4010,-0.3338,-1.7745,-2.1147,-1.6233,-10.0112,-10.1207,-17.4116,-7.6479,-2.6000,-1.5420,-1.7122,-0.5590,-0.6081,-14.1189,-22.0474,-19.9573,-7.6542,-6.3113,,-7.4451,-6.7703,-6.5209,-8.0025,-7.9901,-7.3152,-16.5226,-20.9225,-24.3182,-12.3520,-20.2952,-16.0411,,-1.8960,,-0.1360,-10.7343
0.2800,-19.5500,-20.1300,-20.1260,-19.9940,-19.6392,-20.7450,,-20.5044,-18.6442,-14.6033,-7.8719,-26.9880,-27.6039,-12.2033,-0.0300,0.0076,-0.3903,-0.4250,-0.4522,-1.9201,-2.3303,-1.7917,-10.3485,-10.3438,-17.4782,-7.7915,-2.6172,-1.5613,-1.7222,-0.5912,-0.5862,-14.6253,-22.1323,-20.1778,-7.8719,-6.5234,,-7.6838,-7.0125,-6.8031,-8.2400,-8.2230,-7.5554,-16.5354,-21.4753,-24.8729,-12.3580,-20.3097,-16.1297,,-1.9440,,-0.1120,-10.7343
0.2900,-19.6620,-20.1620,-20.1780,-20.0180,-19.8841,-20.7900,-20.6325,-20.5728,-18.7478,-14.6925,-8.1700,-27.4840,-28.0318,-12.6109,-0.0304,0.0076,-0.3872,-0.4549,-0.5469,-2.0658,-2.5459,-1.9749,-10.7491,-10.5669,-17.5312,-7.9233,-2.6345,-1.5709,-1.7323,-0.6641,-0.6128,-15.1317,-22.1218,-20.3975,-8.0581,-6.6872,,-7.8724,-7.2559,-7.0168,-8.4435,-8.4137,-7.7480,-16.5483,-22.0045,-25.4348,-12.3700,-20.3387,-16.1962,,-1.9920,,-0.1160,-10.7504
0.3000,-19.7420,-20.2260,-20.2060,-20.0420,-20.0184,-20.8350,-20.6982,-20.6420,-18.8343,-14.7668,-8.4681,-27.9200,-28.4465,-12.8280,-0.0307,0.0076,-0.3847,-0.4848,-0.6653,-2.2115,-2.7614,-2.1582,-11.0935,-10.8550,-17.5843,-8.0492,-2.6517,-1.5925,-1.7423,-0.7126,-0.6395,-15.6382,-22.0804,-20.6173,-8.2752,-6.8784,,-8.0924,-7.5092,-7.2660,-8.6851,-8.6340,-7.9670,-16.5611,-22.5606,-25.9684,-12.3820,-20.3676,-16.2627,,-2.0400,,-0.1400,-10.7504
0.3100,-19.8540,-20.2580,-20.2620,-20.0900,-20.2144,-20.8800,-20.7639,-20.7129,-18.9159,-14.8413,-8.5828,-28.3540,-28.8304,-12.9689,-0.0311,0.0076,-0.4238,-0.5550,-0.7869,-2.3571,-2.9086,-2.3344,-11.3708,-11.1694,-17.6551,-8.1752,-2.6689,-1.6141,-1.7523,-0.7855,-0.6661,-16.1296,-22.0391,-20.8646,-8.4842,-7.0737,,-8.2978,-7.7469,-7.5152,-8.9321,-8.8544,-8.1782,-16.5854,-23.1415,-26.4831,-12.3940,-20.3965,-16.3279,,-2.0880,,-0.1640,-10.7665
0.3200,-19.9560,-20.2900,-20.2900,-20.1160,-20.4094,-20.9250,-20.8296,-20.7838,-18.9967,-14.9307,-8.6811,-28.7880,-29.1983,-13.1099,-0.0311,0.0076,-0.4912,-0.6619,-0.8880,-2.5023,-3.0249,-2.5078,-11.6081,-11.4581,-17.6957,-8.2591,-2.6861,-1.6357,-1.7624,-0.8061,-0.7024,-16.6686,-21.9949,-21.0844,-8.6455,-7.2457,,-8.4644,-7.9430,-7.7661,-9.0811,-9.0469,-8.2918,-16.5968,-23.5292,-26.9633,-12.4000,-20.4110,-16.4114,,-2.1360,,-0.1960,-10.7665
0.3300,-20.0740,-20.3380,-20.3460,-20.1420,-20.5981,-20.9700,-20.8983,-20.8547,-19.0683,-15.0052,-8.7794,-29.1530,-29.5424,-13.2508,-0.0315,0.0076,-0.5450,-0.7689,-1.0144,-2.6447,-3.1607,-2.6750,-11.7812,-11.6993,-17.7416,-8.3850,-2.7034,-1.6789,-1.7724,-0.8024,-0.7582,-17.2076,-21.9535,-21.3090,-8.8338,-7.4465,,-8.6589,-8.1794,-8.0675,-9.2548,-9.2725,-8.4243,-16.6081,-23.9251,-27.4086,-12.4080,-20.4418,-16.4740,,-2.1840,,-0.2280,-10.7826
0.3400,-20.1580,-20.3620,-20.3740,-20.1940,-20.7841,-21.0150,-20.9685,-20.9155,-19.1327,-15.0946,-8.8941,-29.4940,-29.8563,-13.3917,-0.0318,0.0076,-0.6124,-0.8545,-1.1155,-2.7870,-3.3352,-2.8042,-11.9542,-11.9246,-17.7760,-8.5111,-2.7270,-1.7005,-1.7824,-0.7970,-0.8139,-17.7466,-21.9121,-21.5708,-8.9952,-7.6110,,-8.8192,-8.3982,-8.3259,-9.4037,-9.4658,-8.5379,-16.6195,-24.3057,-27.8387,-12.4160,-20.4727,-16.5367,,-2.2000,,-0.2520,-10.7826
0.3500,-20.2420,-20.4100,-20.4020,-20.2200,-20.9472,-21.0600,-21.0387,-20.9763,-19.1971,-15.1691,-8.9924,-29.8350,-30.1470,-13.5326,-0.0322,0.0076,-0.6662,-0.9614,-1.2427,-2.9294,-3.5162,-2.9335,-12.2007,-12.1118,-17.8260,-8.6376,-2.7507,-1.7221,-1.7925,-0.7915,-0.8697,-18.2811,-21.8680,-21.8719,-9.1821,-7.7853,,-8.9988,-8.6322,-8.5008,-9.5786,-9.6315,-8.6815,-16.6309,-24.6864,-28.2572,-12.4240,-20.5035,-16.5993,,-2.2000,,-0.2760,-10.7987
0.3600,-20.3600,-20.4340,-20.4560,-20.2420,-21.1218,-21.1050,-21.1003,-21.0370,-19.2429,-15.2436,-9.0907,-30.1280,-30.4271,-13.6306,-0.0325,0.0076,-0.7336,-1.0684,-1.3730,-3.0718,-3.6813,-3.0647,-12.5056,-12.2686,-17.8727,-8.7640,-2.7744,-1.7437,-1.8446,-0.8011,-0.9002,-18.7071,-21.8270,-22.1958,-9.3690,-7.9597,,-9.1784,-8.8627,-8.6545,-9.7537,-9.7873,-8.8269,-16.6536,-25.0558,-28.6363,-12.4280,-20.5189,-16.6828,,-2.2000,,-0.3080,-10.7987
0.3700,-20.4460,-20.4820,-20.4820,-20.2640,-21.2810,-21.1500,-21.1578,-21.1012,-19.2850,-15.3330,-9.1890,-30.3760,-30.6789,-13.7114,-0.0298,0.0062,-0.7874,-1.1539,-1.4773,-3.2141,-3.8070,-3.2072,-12.6427,-12.4312,-17.9350,-8.8905,-2.7981,-1.7653,-1.8968,-0.8352,-0.9307,-19.1330,-21.7920,-22.3349,-9.5209,-8.1215,,-9.3382,-9.0603,-8.7863,-9.9038,-9.9208,-8.9515,-16.6650,-25.4082,-29.0155,-12.4360,-20.5498,-16.7455,,-2.2000,,-0.3400,-10.8148
0.3800,-20.5500,-20.5060,-20.5340,-20.3080,-21.4403,-21.1940,-21.2152,-21.1670,-19.3260,-15.4062,-9.3037,-30.6240,-30.9195,-13.7921,-0.0270,0.0055,-0.8548,-1.2609,-1.6076,-3.3565,-3.9327,-3.3497,-12.6460,-12.5758,-17.9817,-9.0073,-2.8218,-1.8085,-1.9490,-0.8694,-0.9613,-19.5589,-21.7570,-22.1450,-9.6499,-8.3391,,-9.5312,-9.2277,-8.9697,-10.0429,-10.0766,-9.1334,-16.6744,-25.6959,-29.3309,-12.4440,-20.5791,-16.8081,,-2.2000,,-0.3640,-10.8148
0.3900,-20.6340,-20.5300,-20.5600,-20.3300,-21.5888,-21.2360,-21.2726,-21.2329,-19.3492,-15.4941,-9.4020,-30.8540,-31.1476,-13.8729,-0.0242,0.0042,-0.9221,-1.3679,-1.7119,-3.4988,-4.0584,-3.5039,-12.6492,-12.7203,-18.0498,-9.1047,-2.8454,-1.8390,-2.0012,-0.8922,-0.9918,-19.9849,-21.7197,-21.9763,-9.7605,-8.5255,,-9.6967,-9.3712,-9.1312,-10.1571,-10.2009,-9.3018,-16.6839,-25.9976,-29.6408,-12.4520,-20.6069,-16.8672,,-2.2000,,-0.3880,-10.8309
0.4000,-20.7180,-20.5740,-20.5900,-20.3520,-21.7344,-21.2780,-21.3358,-21.2944,-19.3654,-15.5674,-9.5003,-31.0400,-31.3293,-13.9537,-0.0215,0.0035,-1.0072,-1.4534,-1.8442,-3.6412,-4.1841,-3.6871,-12.6525,-12.7853,-18.1023,-9.2021,-2.8691,-1.8695,-2.0534,-0.9342,-0.9903,-20.4108,-21.6847,-21.8075,-9.8836,-8.7373,,-9.8725,-9.5387,-9.3195,-10.2903,-10.3404,-9.4982,-16.6933,-26.3175,-29.9506,-12.4560,-20.6208,-16.9437,,-2.2000,,-0.4200,-10.8309
0.4100,-20.8300,-20.5960,-20.6500,-20.3740,-21.8657,-21.3200,-21.3990,-21.3474,-19.3946,-15.6412,-9.6150,-31.2260,-31.5118,-14.0344,-0.0187,0.0028,-1.1264,-1.5604,-1.9779,-3.7835,-4.3097,-3.8704,-12.6562,-12.7707,-18.1549,-9.2670,-2.8928,-1.9000,-2.1056,-0.9918,-0.9888,-20.7857,-21.6298,-21.6387,-9.9706,-8.9347,,-10.0252,-9.6725,-9.5369,-10.3621,-10.4555,-9.6039,-16.7121,-26.6423,-30.2144,-12.4640,-20.6486,-17.0011,,-2.2000,,-0.4520,-10.8470
0.4200,-20.9020,-20.6400,-20.6800,-20.4180,-21.9827,-21.3620,-21.4622,-21.4004,-19.4328,-15.7324,-9.7133,-31.4080,-31.6716,-14.1152,-0.0159,0.0014,-1.2219,-1.6673,-2.0848,-3.9259,-4.4354,-4.0028,-12.9242,-12.7716,-18.2249,-9.3644,-2.9165,-1.9305,-2.1578,-1.0301,-0.9873,-21.0519,-21.5469,-21.4489,-10.0452,-9.1039,,-10.1561,-9.7824,-9.7332,-10.4149,-10.5507,-9.6634,-16.7216,-26.8964,-30.4623,-12.4720,-20.6764,-17.0584,,-2.2000,,-0.4760,-10.8470
0.4300,-21.0060,-20.6700,-20.7340,-20.4400,-22.0913,-21.4040,-21.5244,-21.4533,-19.4626,-15.8084,-9.7458,-31.5320,-31.7999,-13.8756,-0.0132,0.0007,-1.3412,-1.7529,-2.2184,-4.0682,-4.5611,-4.0674,-13.3496,-12.8811,-18.2673,-9.4611,-2.9402,-1.9915,-2.2100,-1.0877,-0.9858,-21.3182,-21.4692,-21.2801,-10.1264,-9.2947,,-10.3028,-9.9106,-9.9622,-10.4765,-10.6618,-9.7328,-16.7310,-27.1431,-30.7022,-12.4800,-20.7042,-17.1158,,-2.2000,,-0.5000,-10.8726
0.4400,-21.0900,-20.7000,-20.7580,-20.4620,-22.2062,-21.4460,-21.5862,-21.5115,-19.4888,-15.8996,-9.6305,-31.6560,-31.9207,-13.5826,-0.0132,-0.0007,-1.4877,-1.8599,-2.3189,-4.1984,-4.6513,-4.1320,-13.7726,-13.0043,-18.3238,-9.5565,-2.9380,-2.0220,-2.2622,-1.1325,-0.9843,-21.5844,-21.3915,-21.1113,-10.1658,-9.4441,,-10.4218,-10.0400,-10.0574,-10.5528,-10.7570,-9.8211,-16.7406,-27.3420,-30.9289,-12.4820,-20.7178,-17.1923,,-2.2000,,-0.4680,-10.8726
0.4500,-21.1680,-20.7600,-20.7820,-20.5060,-22.3205,-21.4900,-21.6479,-21.5723,-19.5040,-15.9738,-9.5316,-31.7800,-32.0176,-13.2896,-0.0104,-0.0019,-1.6104,-1.9668,-2.4366,-4.3125,-4.7361,-4.2359,-13.8223,-13.1428,-18.3662,-9.6519,-2.9359,-2.0525,-2.3143,-1.1451,-0.9828,-21.7113,-21.3138,-20.9215,-10.2118,-9.6185,,-10.5606,-10.1956,-10.1448,-10.6471,-10.8681,-9.9307,-16.7502,-27.5301,-31.1113,-12.4860,-20.7450,-17.2496,,-2.2000,,-0.4360,-10.8981
0.4600,-21.2720,-20.7900,-20.8300,-20.5280,-22.4348,-21.5350,-21.7073,-21.6331,-19.5146,-16.0468,-9.4087,-31.8520,-32.0835,-12.9966,-0.0076,-0.0044,-1.7469,-2.0524,-2.5542,-4.4265,-4.8210,-4.3920,-13.8183,-13.2503,-18.4227,-9.7473,-2.9338,-2.0830,-2.3530,-1.1641,-0.9813,-21.7839,-21.2310,-20.7953,-10.2501,-9.7742,,-10.6444,-10.3511,-10.2321,-10.7415,-10.9791,-10.0404,-16.7695,-27.7017,-31.2937,-12.4900,-20.7722,-17.3070,,-2.2000,,-0.4120,-10.8981
0.4700,-21.3500,-20.8380,-20.8520,-20.5500,-22.5499,-21.5800,-21.7654,-21.6930,-19.5300,-16.1344,-9.1252,-31.9140,-32.1448,-12.7035,-0.0049,-0.0056,-1.8017,-2.1435,-2.6483,-4.5405,-4.9058,-4.5481,-13.6516,-13.3527,-18.4616,-9.8426,-2.9317,-2.1499,-2.3916,-1.1830,-1.0647,-21.8565,-21.1533,-20.7116,-10.2665,-9.8676,,-10.6808,-10.4493,,-10.9090,-11.0603,-10.1344,-16.7791,-27.8753,-31.4762,-12.4940,-20.7995,-17.3564,,-2.2000,,-0.3880,-10.9237
0.4800,-21.4620,-20.8620,-20.8960,-20.5760,-22.6657,-21.6220,-21.8235,-21.7513,-19.5462,-16.2074,-8.8822,-31.9760,-32.1955,-12.4105,-0.0021,-0.0081,-1.8704,-2.2108,-2.7638,-4.5912,-4.9907,-4.6828,-13.3218,-13.3575,-18.5135,-9.9820,-2.9296,-2.2835,-2.4303,-1.1957,-1.1905,-21.9291,-21.0756,-20.6279,-10.2856,-9.9767,,-10.7232,-10.5558,,-11.1229,-11.1519,-10.2440,-16.7888,-28.0226,-31.5909,-12.4960,-20.8131,-17.4224,,-2.2000,,-0.3560,-10.9237
0.4900,-21.5380,-20.9100,-20.9180,-20.6280,-22.7649,-21.6580,-21.8768,-21.8095,-19.5526,-16.2928,-8.6392,-32.0190,-32.2423,-12.1175,0.0006,-0.0093,-1.9253,-2.2647,-2.8538,-4.6313,-5.0788,-4.7867,-13.0526,-13.3297,-18.5524,-10.1213,-2.9274,-2.3504,-2.4689,-1.2468,-1.3163,-22.0017,-20.9927,-20.5338,-10.3020,-10.0607,,-10.7663,-10.6470,,-11.3042,-11.2303,-10.3380,-16.7984,-28.1714,-31.6997,-12.5000,-20.8403,-17.4718,,-2.2000,,-0.3240,-10.9492
0.5000,-21.6400,-20.9340,-20.9640,-20.6540,-22.8456,-21.7060,-21.9204,-21.8484,-19.5606,-16.3635,-8.3963,-32.0500,-32.2765,-11.9069,0.0034,-0.0117,-1.9939,-2.3320,-2.9662,-4.6771,-5.1676,-4.8707,-13.2070,-13.3584,-18.6056,-10.2606,-2.9253,-2.4172,-2.5076,-1.3140,-1.4001,-22.0715,-20.9151,-20.4501,-10.3258,-10.1038,,-10.8325,-10.7552,,-11.4138,-11.2777,-10.3849,-16.8145,-28.3003,-31.8085,-12.5020,-20.8658,-17.5212,,-2.2000,,-0.3000,-10.9492
0.5100,-21.7300,-20.9580,-20.9880,-20.6800,-22.9325,-21.7420,-21.9640,-21.9016,-19.5719,-16.4342,-8.1128,-32.0810,-32.2983,-11.7915,0.0062,-0.0130,-2.0357,-2.3994,-3.0786,-4.7172,-5.2563,-4.9548,-13.3808,-13.4118,-18.6485,-10.3535,-2.9253,-2.4841,-2.5462,-1.3589,-1.4542,-22.1441,-20.8315,-20.3665,-10.3496,-10.1470,,-10.8986,-10.8642,,-11.4826,-11.3178,-10.4067,-16.8210,-28.4234,-31.9173,-12.5040,-20.8913,-17.5707,,-2.1640,,-0.2760,-10.9492
0.5200,-21.8000,-21.0060,-21.0120,-20.7280,-23.0144,-21.7780,-22.0077,-21.9523,-19.5828,-16.5186,-7.7929,-32.0880,-32.2993,-11.6906,0.0089,-0.0100,-2.0692,-2.4532,-3.1686,-4.7573,-5.3392,-5.0332,-13.3726,-13.4609,-18.6914,-10.5142,-2.9232,-2.5509,-2.5849,-1.4261,-1.5082,-22.2167,-20.7013,-20.2723,-10.3700,-10.1839,,-10.9614,-10.9576,,-11.5416,-11.3521,-10.4253,-16.8275,-28.5323,-32.0261,-12.5060,-20.9168,-17.6201,,-2.1280,,-0.2440,-10.9748
0.5300,-21.8840,-21.0300,-21.0600,-20.7520,-23.0937,-21.8140,-22.0610,-22.0029,-19.5873,-16.5866,-7.4577,-32.0570,-32.3003,-11.5897,0.0117,-0.0041,,-2.5206,-3.2417,-4.7974,-5.3869,-5.1043,-13.3100,-13.5211,-18.7486,-10.6856,-2.9211,-2.6846,-2.6235,-1.4470,-1.5622,-22.1979,-20.5793,-20.1887,-10.3258,-10.2271,,-11.0488,-11.0518,,-11.6056,-11.3950,-10.4950,-16.8340,-28.6305,-32.0556,-12.5070,-20.9295,-17.6860,,-2.0920,,-0.2120,-10.9748
0.5400,-21.9560,-21.0780,-21.0840,-20.7760,-23.1729,-21.8500,-22.1191,-22.0544,-19.5995,-16.6682,-7.0667,-32.0260,-32.2757,-11.4888,0.0145,-0.0011,,-2.5879,-3.2923,-4.8283,-5.4346,-5.1754,-13.3233,-13.5813,-18.7966,-10.8569,-2.9190,-2.7515,-2.6621,-1.4783,-1.6276,-22.1501,-20.4573,-20.1050,-10.2879,-10.2640,,-11.1238,-11.1276,,-11.6588,-11.4336,-10.5711,-16.8405,-28.7151,-32.0772,-12.5090,-20.9550,-17.7313,,-2.0560,,-0.1880,-11.0004
0.5500,-22.0580,-21.1020,-21.1320,-20.8000,-23.2483,-21.8860,-22.1772,-22.1076,-19.6188,-16.7362,-6.7315,-31.9950,-32.2448,-11.3879,0.0172,0.0048,,-2.6418,-3.3556,-4.8554,-5.4823,-5.2344,-13.5938,-13.5577,-18.8640,-11.0283,-2.9381,-2.7614,-2.7008,-1.5096,-1.7156,-22.1024,-20.3271,-20.0213,-10.2437,-10.3010,,-11.1975,-11.2160,,-11.7208,-11.4786,-10.6599,-16.8535,-28.7900,-32.0989,-12.5100,-20.9790,-17.7683,,-2.0200,,-0.1640,-11.0004
0.5600,-22.1360,-21.1500,-21.1560,-20.8400,-23.3235,-21.9220,-22.2302,-22.1608,-19.6128,-16.8006,-6.3963,-31.9640,-32.2046,-11.2870,0.0200,0.0078,,-2.7091,-3.4188,-4.8825,-5.5300,-5.2773,-13.8342,-13.5222,-18.9145,-11.1933,-2.9573,-2.7713,-2.7777,-1.5305,-1.8036,-22.0547,-20.2051,-19.9272,-10.1561,-10.3008,,-11.2365,-11.2562,,-11.7695,-11.5064,-10.6830,-16.8600,-28.8511,-32.1206,-12.5100,-21.0014,-17.8052,,-1.9840,,-0.1320,-11.0625
0.5700,-22.2140,-21.1740,-21.1800,-20.8600,-23.4031,-21.9580,-22.2732,-22.2140,-19.6197,-16.8714,-5.9887,-31.9330,-32.1624,-10.4799,0.0200,0.0137,,-2.7764,-3.4570,-4.9097,-5.5709,-5.3202,-13.7350,-13.5580,-18.9789,-11.3457,-2.9765,-2.7813,-2.8546,-1.5947,-1.8916,-22.0069,-20.0831,-19.8435,-10.0810,-10.3006,,-11.2700,-11.2742,,-11.8065,-11.5242,-10.6802,-16.8674,-28.9087,-32.1423,-12.5100,-21.0126,-17.8545,,-1.9480,-2.2000,-0.1000,-11.0625
0.5800,-22.2940,-21.1980,-21.2200,-20.8800,-23.4874,-21.9940,-22.3161,-22.2622,-19.6355,-16.9304,-5.6204,-31.9020,-32.1234,-9.9228,0.0183,0.0167,,-2.8303,-3.4994,-4.9368,-5.5724,-5.3370,-13.5873,-13.6364,-19.0202,-11.4981,-2.9957,-2.8011,-2.9316,-1.7248,-1.9388,-21.9592,-19.9610,-19.7599,-9.9934,-10.3068,,-11.3109,-11.2951,,-11.8498,-11.5451,-10.6770,-16.8749,-28.9532,-32.1633,-12.5100,-21.0349,-17.8915,,-1.9120,-2.2000,-0.0970,-11.1247
0.5900,-22.3520,-21.2460,-21.2400,-20.9200,-23.5782,-22.0300,-22.3591,-22.3103,-19.6468,-17.0012,-5.3155,-31.8420,-32.0843,-9.5787,0.0166,0.0226,,-2.8977,-3.5334,-4.9261,-5.5554,-5.3435,-13.4858,-13.7102,-19.0754,-11.6505,-3.0149,-2.8111,-3.0085,-1.8115,-1.9657,-21.9115,-19.8309,-19.7285,-9.9235,-10.3454,,-11.3500,-11.3516,,-11.8879,-11.5521,-10.7025,-16.8823,-28.9923,-32.1850,-12.5100,-21.0573,-17.9284,,-1.8840,-2.2000,-0.0940,-11.1247
0.6000,-22.4400,-21.2700,-21.2800,-20.9400,-23.6511,-22.0636,-22.4096,-22.3585,-19.6581,-17.0532,-5.0339,-31.7800,-32.0427,-9.2345,0.0149,0.0256,,-2.9650,-3.5758,-4.9003,-5.5665,-5.3500,-13.5277,-13.6954,-19.1168,-11.7521,-3.0340,-2.8210,-3.0854,-1.9415,-1.9925,-21.8637,-19.6788,-19.7285,-9.8420,-10.3904,,-11.3956,-11.4400,,-11.9334,-11.5539,-10.7489,-16.8971,-29.0234,-32.2066,-12.5100,-21.0797,-17.9654,,-1.8600,-2.1467,-0.0900,-11.1869
0.6100,-22.5120,-21.3100,-21.3080,-20.9600,-23.7004,-22.0968,-22.4601,-22.3999,-19.6685,-17.1034,-4.7925,-31.7180,-31.9967,-8.8904,0.0132,0.0285,,-3.0189,-3.6183,-4.8744,-5.6150,-5.3663,-13.5649,-13.6273,-19.1648,-11.8760,-3.0532,-2.8310,-3.1623,-2.0304,-2.0193,-21.7816,-19.5158,-19.7285,-9.7604,-10.4353,,-11.4398,-11.5284,,-11.9790,-11.5558,-10.7953,-16.9046,-29.0484,-32.1805,-12.5290,-21.0893,-18.0147,,-1.8360,-2.0800,-0.0860,-11.1869
