normalized,agassiz77,agassiz79a,agassiz79b,agassiz84,camp_century,devon_00,devon_71,devon_72,dye_3,flade_isblink,foxx1,gisp2,grip,gull,h2015_s1a,h2015_s1b,h2015_s3a,h2015_s3b,h2015_s3c,h2015_s4a,h2015_s4b,h2015_s4c,h2015_s5a,h2015_s5b,hanstausen_dome,hanstausen_hare,isua_10,isua_11,isua_12,isua_13,isua_14,jakobshavn_center,jakobshavn_left,jakobshavn_sheet,m2020_14n,m2020_14sa,m2020_14sb,m2020_14w,m2020_15ca,m2020_15cb,m2020_15e,m2020_15n,m2020_15s,meighan,neem,ngrip,penny,pow,renland,site_ii,td1,td2,td3,tuto_ramp
0.8800,-24.0300,-22.3000,-22.2400,-21.8320,-24.5991,-22.7420,-23.1383,-23.0250,-20.3666,,-1.2295,-31.1280,-31.4145,-0.8465,0.0076,-0.1221,,-2.0081,-2.2942,-4.1438,-4.6990,-4.3887,-10.5781,,-20.5803,-15.3428,-3.5146,,,-3.9049,-3.8224,-17.0113,-12.1434,-14.3428,-5.6154,-10.5549,,-11.4225,-11.1669,,-11.3354,-10.6050,-10.2974,-17.0680,-29.1002,-31.3460,-12.5440,-21.1878,-18.5958,-25.2430,,-2.3840,-0.4800,-9.4164
0.8900,-24.0600,-22.3100,-22.2600,-21.8560,-24.5975,-22.7600,-23.1405,-23.0150,-20.4061,,-1.1524,-31.1590,-31.4582,-0.8681,,-0.1196,,-2.0623,-2.4362,-4.1370,-4.6255,-4.3047,-10.3400,,-20.6342,-15.5400,-3.5538,,,-3.9844,-3.9075,-16.7444,-11.6577,-13.5239,-5.4479,-10.5005,,-11.3498,-11.1548,,-11.2793,-10.5363,-10.1991,-17.1650,-29.1231,-31.3413,-12.4700,-21.1482,-18.6132,-25.2240,,-2.4000,-0.7200,-8.6761
0.9000,-24.1240,-22.3300,-22.2760,-21.8800,-24.5944,-22.7540,-23.1307,-23.0051,-20.4289,,-1.1466,-31.1900,-31.5182,-0.8896,,-0.1145,,-2.1057,-2.6138,-4.1302,-4.6814,-4.2333,-10.1427,,-20.7061,-15.8447,-3.5929,,,-4.1648,-3.9925,-16.3651,-11.1537,-12.7050,-5.2769,-10.4336,,-11.2649,-11.0673,,-11.2143,-10.4697,-9.8109,-17.1660,-29.1456,-31.3637,-12.4100,-21.1189,-18.6370,-25.2025,,-2.4800,-0.9000,-8.6761
0.9100,-24.1900,-22.3400,-22.2840,-21.9860,-24.5723,-22.7480,-23.1148,-23.0018,-20.4279,,-1.1408,-31.2420,-31.5805,-0.9111,,-0.0645,,-2.8398,-2.7914,-4.0659,-4.7590,-4.1618,-9.9886,,-20.7558,-16.1495,-3.6321,,,-4.2852,-4.0673,-15.8186,-10.6497,-11.8861,-5.1059,-10.3666,,-11.1801,-10.9798,,-11.1494,-10.4030,-9.4415,-17.4410,-29.1627,-31.3861,-12.2900,-21.0602,-18.6522,-25.1787,,-2.5600,-1.0800,-7.2278
0.9200,-24.1900,,-22.3000,-22.1980,-24.5503,-22.7420,-23.0990,-23.0019,-20.3254,,-1.1341,-31.3040,-31.6254,-0.9327,,-0.0146,,-3.7439,-3.3707,-4.0016,-4.8366,-4.1224,-9.8345,,-20.7970,-16.4543,-3.6713,,,-4.4656,-4.1369,-15.2722,-10.1122,-10.9648,-4.9684,,,-11.0998,-10.8923,,-11.0940,-10.2867,-9.2019,-17.6810,-29.1781,-31.4085,-12.1700,-21.0016,-18.6618,-25.1501,,-2.6240,-1.3200,-7.2278
0.9300,-24.2460,,,-22.3040,-24.5282,-22.6840,-23.0356,-23.0021,,,-1.1439,-31.3660,-31.6686,-0.9641,,0.0854,,-4.4672,-4.0948,-4.0480,-4.9141,-4.1632,-9.7006,,-20.8521,-16.8776,-3.7104,,,-4.5859,-4.2065,-14.7257,-9.6082,-10.1460,-4.8133,,,-11.0062,-10.7611,,-11.0300,-10.0128,-9.0959,-18.6880,-29.1758,-31.4302,-12.0500,-20.9429,-18.6342,-25.1105,,-2.7040,-1.6200,-5.7795
0.9400,-24.3340,,,-22.4100,-24.4970,-22.6000,-22.9723,-23.0118,,,-1.1616,-31.4000,-31.7068,-1.0550,,0.1354,,-5.3713,-4.6741,-4.3712,-4.9806,-4.2039,-9.6095,,-20.8934,-17.3601,-3.7496,,,-4.7068,-4.2762,-13.9744,-9.0560,-9.3271,-4.6803,,,-10.9260,-10.6486,,-10.9752,-9.7612,-9.0050,-19.1770,-29.1709,,-11.9900,-20.9136,-18.5592,-25.0371,,-2.7840,-1.9800,-5.7795
0.9500,-24.3460,,,-23.0420,-24.4590,-22.5160,-22.9090,-23.0264,,,-1.3999,-31.4000,-31.7170,-1.1459,,0.2867,,,-5.3982,-4.6944,-5.4699,-4.3019,-9.5359,,-20.9484,-17.8426,-3.7887,,,-4.7085,-4.3541,-13.1267,-8.3642,-8.4058,,,,,,,,,,-19.6660,-29.1337,,,,-18.4728,-24.9514,,,,-4.3312
0.9600,-24.2740,,,-23.3580,-24.4210,,-22.8457,-23.0656,,,-1.7836,-31.4000,-31.7097,-1.2369,,0.3624,,,,-5.1150,-6.1239,-4.4765,-9.5143,,-20.9897,-18.1907,,,,-4.7096,-4.4363,-12.2790,-7.7156,-7.5869,,,,,,,,,,-20.0430,-29.0937,,,,,-24.8062,,,,-4.3312
0.9700,,,,-23.6740,-24.3472,,,-23.1542,,,-2.5729,,,-1.3278,,,,,,-5.7794,-6.7779,-4.6510,-9.4928,,-21.0448,,,,,-4.7113,-4.5184,-11.2186,-6.9582,-6.7680,,,,,,,,,,-22.0320,,,,,,-24.6242,,,,
0.9800,,,,-23.9900,-24.2677,,,,,,-3.4590,,,-1.4187,,,,,,-6.4438,,,-9.5135,,,,,,,,-4.6005,-10.0385,-6.0764,,,,,,,,,,,-23.1220,,,,,,-24.3887,,,,
0.9900,,,,,-24.1049,,,,,,0.1151,,,-0.9163,,,,,,,,,-9.5640,,,,,,,,,-8.9254,-5.1359,,,,,,,,,,,-22.4160,,,,,,-24.0625,,,,
