from_surface,agassiz77,agassiz79a,agassiz79b,agassiz84,camp_century,camp_vi,devon_00,devon_71,devon_72,dye_3,flade_isblink,foxx1,foxx2,gisp2,grip,gull,h2015_s1a,h2015_s1b,h2015_s2a,h2015_s3a,h2015_s3b,h2015_s3c,h2015_s4a,h2015_s4b,h2015_s4c,h2015_s5a,h2015_s5b,hanstausen_dome,hanstausen_hare,isua_10,isua_11,isua_12,isua_13,isua_14,jakobshavn_center,jakobshavn_left,jakobshavn_sheet,m2020_14n,m2020_14sa,m2020_14sb,m2020_14w,m2020_15ca,m2020_15cb,m2020_15e,m2020_15n,m2020_15s,meighan,neem,ngrip,penny,pow,renland,site_ii,td1,td2,td3,td41,td42,td51,td52,tuto_ramp
295,-17.9540,,,,-24.4885,,,,-18.5208,-20.2718,-16.0030,-7.3460,,-31.2100,-31.5342,-9.9228,,,-3.9649,-0.7066,-1.1325,-1.3469,-4.9330,-5.5821,-5.3352,-13.5989,-13.7543,-16.7488,,,,,,,-16.9686,-14.6531,-19.5792,-10.2187,-10.3009,,-11.2086,-11.2413,,-11.7386,-11.4915,-10.6853,,-29.0771,-31.3731,,,-14.7104,-25.3154,-1.1000,,-0.3700,-5.0391,-5.0235,-14.3522,-14.4522,
296,-17.9000,,,,-24.4864,,,,-18.4946,-20.2696,-15.9884,-7.4019,,-31.2080,-31.5322,-9.9720,,,-3.9779,-0.6932,-1.1112,-1.3209,-4.9291,-5.5845,-5.3343,-13.6253,-13.7467,-16.7344,,,,,,,-16.9793,-14.6733,-19.6165,-10.2312,-10.3009,,-11.2030,-11.2287,,-11.7297,-11.4850,-10.6726,,-29.0768,-31.3724,,,-14.6869,-25.3164,-1.1000,,-0.3760,-5.0313,-5.0157,-14.3930,-14.4930,
297,-17.8880,,,,-24.4843,,,,-18.4683,-20.2674,-15.9738,-7.4577,,-31.2060,-31.5302,-10.0211,,,-3.9909,-0.6797,-1.0898,-1.2948,-4.9252,-5.5777,-5.3333,-13.6516,-13.7391,-16.7201,,,,,,,-16.9900,-14.6934,-19.6538,-10.2437,-10.3010,,-11.1975,-11.2160,,-11.7208,-11.4786,-10.6599,,-29.0764,-31.3717,,,-14.6634,-25.3174,-1.1000,,-0.3820,-5.0235,-5.0078,-14.4339,-14.5339,
298,-17.8760,,,,-24.4821,,,,-18.4421,-20.2652,-15.9592,-7.5136,,-31.2040,-31.5282,-10.0703,,,-4.0039,-0.6662,-1.0684,-1.2687,-4.9213,-5.5709,-5.3324,-13.6780,-13.7314,-16.7057,,,,,,,-17.0006,-14.7136,-19.6912,-10.2500,-10.3010,,-11.1919,-11.2034,,-11.7120,-11.4722,-10.6472,,-29.0761,-31.3709,,,-14.6400,-25.3184,-1.1000,,-0.3880,-5.0157,-5.0000,-14.4748,-14.5748,
299,-17.8640,,,,-24.4800,,,,-18.4158,-20.2630,-15.9446,-7.5695,,-31.2020,-31.5262,-10.1195,,,-4.0168,-0.6528,-1.0470,-1.2427,-4.9175,-5.5640,-5.3263,-13.7044,-13.7238,-16.6914,,,,,,,-17.0113,-14.7338,-19.7285,-10.2563,-10.2948,,-11.1863,-11.1908,,-11.7031,-11.4657,-10.6345,,-29.0758,-31.3702,,,-14.6165,-25.3194,-1.1000,,-0.3940,-5.0078,-4.9907,-14.5157,-14.6157,
300,-17.8520,,,,-24.4779,,,,,-20.2607,-15.9300,-7.6253,,-31.2000,-31.5242,-10.1686,,,-4.0298,-0.6393,-1.0256,-1.2166,-4.9136,-5.5572,-5.3202,-13.7308,-13.7162,-16.6770,,,,,,,-17.0220,-14.7539,-19.7285,-10.2627,-10.2887,,-11.1738,-11.1781,,-11.6942,-11.4593,-10.6218,,-29.0754,-31.3695,,,-14.5930,-25.3204,-1.1000,,-0.4000,-5.0000,-4.9813,-14.5565,-14.6565,
301,-17.8400,,,,-24.4758,,,,,-20.2585,-15.9148,-7.6812,,-31.1990,-31.5222,-10.3243,,,-4.0428,-0.6258,-1.0042,-1.1913,-4.9097,-5.5504,-5.3140,-13.7572,-13.7085,-16.6627,,,,,,,-17.0327,-14.7741,-19.7285,-10.2690,-10.2825,,-11.1613,-11.1655,,-11.6854,-11.4529,-10.6092,,-29.0751,-31.3688,,,,-25.3213,,,-0.4067,-4.9893,-4.9720,-14.5974,-14.6974,
302,-17.8100,,,,-24.4737,,,,,-20.2567,-15.8996,-7.7371,,-31.1980,-31.5202,-10.4799,,,-4.0558,-0.6124,-0.9828,-1.1660,-4.9058,-5.5436,-5.3079,-13.7836,-13.7009,-16.6483,,,,,,,-17.0434,-14.7943,-19.7285,-10.2753,-10.2764,,-11.1488,-11.1529,,-11.6765,-11.4464,-10.5965,,-29.0747,-31.3680,,,,-25.3223,,,-0.4133,-4.9787,-4.9627,-14.6383,-14.7383,
303,-17.7800,,,,-24.4716,,,,,-20.2549,-15.8844,-7.7929,,-31.1970,-31.5182,-10.6356,,,-4.0418,-0.5989,-0.9614,-1.1408,-4.9019,-5.5368,-5.3018,-13.7714,-13.6933,-16.6340,,,,,,,-17.0540,-14.8144,-19.7285,-10.2816,-10.2702,,-11.1363,-11.1403,,-11.6677,-11.4400,-10.5838,,-29.0744,-31.3673,,,,-25.3233,,,-0.4200,-4.9680,-4.9533,-14.6791,-14.7791,
304,-17.7500,,,,-24.4695,,,,,-20.2531,-15.8692,-7.8488,,-31.1960,-31.5162,-10.7912,,,-4.0277,-0.5854,-0.9400,-1.1155,-4.8981,-5.5300,-5.2957,-13.7593,-13.6857,-16.6188,,,,,,,-17.0647,-14.8346,-19.7285,-10.2879,-10.2640,,-11.1238,-11.1276,,-11.6588,-11.4336,-10.5711,,-29.0741,-31.3666,,,,-25.3243,,,-0.4267,-4.9573,-4.9440,-14.7200,-14.8200,
305,-17.7200,,,,-24.4674,,,,,-20.2513,-15.8540,-7.9047,,-31.1950,-31.5142,-10.9469,,,-4.0137,-0.5720,-0.9186,-1.0902,-4.8942,-5.5232,-5.2895,-13.7471,-13.6780,-16.6036,,,,,,,-17.0754,-14.8547,-19.7285,-10.2942,-10.2579,,-11.1113,-11.1150,,-11.6499,-11.4272,-10.5584,,-29.0737,-31.3659,,,,-25.3253,,,-0.4333,-4.9467,-4.9347,-14.7609,-14.8609,
306,-17.6900,,,,-24.4652,,,,,-20.2495,-15.8388,-7.9605,,-31.1940,-31.5122,-11.1026,,,-3.9997,-0.5585,-0.8972,-1.0649,-4.8903,-5.5164,-5.2834,-13.7350,-13.6704,-16.5885,,,,,,,-17.0861,-14.8749,-19.7285,-10.3006,-10.2517,,-11.0988,-11.1024,,-11.6411,-11.4207,-10.5457,,-29.0734,-31.3652,,,,-25.3263,,,-0.4400,-4.9360,-4.9253,-14.8017,-14.9017,
307,-17.6600,,,,-24.4631,,,,,-20.2477,-15.8236,-8.0164,,-31.1930,-31.5102,-11.2582,,,-3.9857,-0.5450,-0.8758,-1.0397,-4.8864,-5.5095,-5.2773,-13.7228,-13.6628,-16.5733,,,,,,,-17.0967,-14.8951,-19.7285,-10.3069,-10.2456,,-11.0863,-11.0897,,-11.6322,-11.4143,-10.5330,,-29.0730,-31.3644,,,,-25.3273,,,-0.4467,-4.9253,-4.9160,-14.8426,-14.9426,
308,-17.6300,,,,-24.4610,,,,,-20.2459,-15.8084,-8.0723,,-31.1920,-31.5082,-11.2726,,,-3.9717,-0.5316,-0.8545,-1.0144,-4.8825,-5.5027,-5.2712,-13.7107,-13.6552,-16.5581,,,,,,,-17.1074,-14.9152,-19.7285,-10.3132,-10.2394,,-11.0738,-11.0771,,-11.6233,-11.4079,-10.5204,,-29.0727,-31.3637,,,,-25.3283,,,-0.4533,-4.9147,-4.9067,-14.8835,-14.9835,
309,-17.6000,,,,-24.4589,,,,,-20.2441,-15.7932,-8.1128,,-31.1910,-31.5062,-11.2870,,,-3.9576,-0.5181,-0.8331,-0.9891,-4.8787,-5.4959,-5.2651,-13.6985,-13.6475,-16.5430,,,,,,,-17.1181,-14.9354,-19.7285,-10.3195,-10.2332,,-11.0613,-11.0645,,-11.6145,-11.4014,-10.5077,,-29.0724,-31.3630,,,,-25.3293,,,-0.4600,-4.9040,-4.8973,-14.9243,-15.0243,
310,-17.5700,,,,-24.4568,,,,,-20.2422,-15.7780,-8.1533,,-31.1900,-31.5042,-11.3015,,,-3.9436,-0.5046,-0.8117,-0.9639,-4.8748,-5.4891,-5.2589,-13.6864,-13.6399,-16.5278,,,,,,,-17.1288,-14.9556,-19.7285,-10.3258,-10.2271,,-11.0488,-11.0518,,-11.6056,-11.3950,-10.4950,,-29.0720,-31.3623,,,,-25.3303,,,-0.4667,-4.8933,-4.8880,-14.9652,-15.0652,
311,-17.5400,,,,-24.4547,,,,,-20.2404,-15.7628,-8.1938,,-31.1890,-31.5022,-11.3159,,,-3.9296,-0.4912,-0.7903,-0.9386,-4.8709,-5.4823,-5.2528,-13.6742,-13.6323,-16.5126,,,,,,,-17.1395,-14.9757,-19.7285,-10.3321,-10.2209,,-11.0363,-11.0392,,-11.5968,-11.3886,-10.4823,,-29.0717,-31.3615,,,,-25.3313,,,-0.4733,-4.8827,-4.8787,-15.0061,-15.1061,
312,-17.5060,,,,-24.4526,,,,,-20.2386,-15.7476,-8.2343,,-31.1880,-31.5002,-11.3303,,,-3.9372,-0.4777,-0.7689,-0.9133,-4.8670,-5.4755,-5.2467,-13.6621,-13.6246,-16.4975,,,,,,,-17.1501,-14.9959,-19.7285,-10.3385,-10.2147,,-11.0238,-11.0266,,-11.5879,-11.3821,-10.4696,,-29.0714,-31.3608,,,,-25.3323,,,-0.4800,-4.8720,-4.8693,-15.0470,-15.1470,
313,-17.4720,,,,-24.4490,,,,,-20.2368,-15.7324,-8.2748,,-31.1870,-31.4982,-11.3447,,,-3.9448,-0.4642,-0.7475,-0.8880,-4.8632,-5.4687,-5.2406,-13.6500,-13.6170,-16.4823,,,,,,,-17.1608,-15.0161,-19.7285,-10.3448,-10.2086,,-11.0114,-11.0139,,-11.5790,-11.3757,-10.4569,,-29.0710,-31.3601,,,,-25.3333,,,-0.4867,-4.8613,-4.8600,-15.0878,-15.1878,
314,-17.4380,,,,-24.4455,,,,,-20.2350,-15.7172,-8.3153,,-31.1860,-31.4962,-11.3591,,,-3.9524,-0.4508,-0.7261,-0.8628,-4.8593,-5.4619,-5.2344,-13.6378,-13.6094,-16.4672,,,,,,,-17.1715,-15.0362,-19.7285,-10.3511,-10.2024,,-10.9989,-11.0013,,-11.5702,-11.3693,-10.4442,,-29.0707,-31.3594,,,,-25.3343,,,-0.4933,-4.8507,-4.8507,-15.1287,-15.2287,
315,-17.4040,,,,-24.4420,,,,,-20.2332,-15.7020,-8.3558,,-31.1850,-31.4942,-11.3735,,,-3.9601,-0.4373,-0.7047,-0.8375,-4.8554,-5.4550,-5.2283,-13.6257,-13.6018,-16.4520,,,,,,,-17.1822,-15.0564,-19.7285,-10.3574,-10.1963,,-10.9864,-10.9887,,-11.5613,-11.3636,-10.4316,,-29.0703,-31.3587,,,,-25.3353,,,-0.5000,-4.8400,-4.8413,-15.1696,-15.2696,
316,-17.3700,,,,-24.4385,,,,,-20.2314,-15.6868,-8.3963,,-31.1840,-31.4922,-11.3879,,,-3.9677,-0.4238,-0.6833,-0.8122,-4.8515,-5.4482,-5.2222,-13.6135,-13.6103,-16.4368,,,,,,,-17.1928,-15.0766,-19.7285,-10.3637,-10.1901,,-10.9739,-10.9731,,-11.5515,-11.3578,-10.4284,,-29.0700,-31.3579,,,,-25.3363,,,-0.5067,-4.8293,-4.8320,-15.2104,-15.3104,
317,-17.3400,,,,-24.4349,,,,,-20.2296,-15.6716,-8.4368,,-31.1830,-31.4902,-11.4024,,,-3.9753,-0.4104,-0.6619,-0.7869,-4.8476,-5.4414,-5.2161,-13.6014,-13.6188,-16.4212,,,,,,,-17.2035,-15.0967,-19.7285,-10.3700,-10.1839,,-10.9614,-10.9576,,-11.5416,-11.3521,-10.4253,,-29.0697,-31.3572,,,,-25.3373,,,-0.5133,-4.8187,-4.8227,-15.2513,-15.3513,
318,-17.3100,,,,-24.4314,,,,,-20.2278,-15.6564,-8.4773,,-31.1820,-31.4882,-11.4168,,,-3.9829,-0.3969,-0.6405,-0.7617,-4.8438,-5.4346,-5.2059,-13.5892,-13.6273,-16.4057,,,,,,,-17.2142,-15.1169,-19.7285,-10.3666,-10.1778,,-10.9489,-10.9420,,-11.5318,-11.3464,-10.4222,,-29.0693,-31.3565,,,,-25.3383,,,-0.5200,-4.8080,-4.8133,-15.2922,-15.3922,
319,-17.2800,,,,-24.4279,,,,,-20.2260,-15.6412,-8.5178,,-31.1810,-31.4862,-11.4312,,,-3.9905,-0.3834,-0.6191,-0.7364,-4.8399,-5.4278,-5.1958,-13.5771,-13.6358,-16.3901,,,,,,,-17.2249,-15.1371,-19.7285,-10.3632,-10.1716,,-10.9364,-10.9264,,-11.5220,-11.3407,-10.4191,,-29.0690,-31.3558,,,,-25.3393,,,-0.5267,-4.7973,-4.8040,-15.3330,-15.4330,
320,-17.2500,,,,-24.4243,,,,,-20.2242,-15.6260,-8.5583,,-31.1800,-31.4842,-11.4456,,,-4.0003,-0.3841,-0.5978,-0.7127,-4.8360,-5.4210,-5.1856,-13.5649,-13.6443,-16.3745,,,,,,,-17.2355,-15.1572,-19.7285,-10.3598,-10.1654,,-10.9269,-10.9109,,-11.5121,-11.3349,-10.4160,,-29.0687,-31.3550,,,,-25.3403,,,-0.5333,-4.7867,-4.7947,-15.3739,-15.4739,
321,-17.2200,,,,-24.4208,,,,,-20.2223,-15.6113,-8.5988,,-31.1790,-31.4822,-11.4600,,,-4.0102,-0.3847,-0.5764,-0.6890,-4.8321,-5.4142,-5.1754,-13.5603,-13.6528,-16.3589,,,,,,,-17.2462,-15.1774,-19.7285,-10.3564,-10.1593,,-10.9175,-10.8953,,-11.5023,-11.3292,-10.4129,,-29.0683,-31.3543,,,,-25.3413,,,-0.5400,-4.7760,-4.7853,-15.4148,-15.5148,
322,-17.1880,,,,-24.4173,,,,,-20.2205,-15.5967,-8.6392,,-31.1780,-31.4802,-11.4744,,,-4.0200,-0.3853,-0.5550,-0.6653,-4.8283,-5.4074,-5.1653,-13.5556,-13.6613,-16.3433,,,,,,,-17.2569,-15.1975,-19.7285,-10.3530,-10.1531,,-10.9080,-10.8797,,-11.4925,-11.3235,-10.4098,,-29.0680,-31.3536,,,,-25.3423,,,-0.5467,-4.7653,-4.7760,-15.4557,-15.5557,
323,-17.1560,,,,-24.4137,,,,,-20.2187,-15.5820,-8.6797,,-31.1770,-31.4782,-11.4888,,,-4.0298,-0.3859,-0.5336,-0.6417,-4.8244,-5.4005,-5.1551,-13.5510,-13.6698,-16.3277,,,,,,,-17.2676,-15.2177,-19.7285,-10.3496,-10.1470,,-10.8986,-10.8642,,-11.4826,-11.3178,-10.4067,,-29.0676,-31.3529,,,,-25.3433,,,-0.5533,-4.7547,-4.7667,-15.4965,-15.5965,
324,-17.1240,,,,-24.4102,,,,,-20.2169,-15.5674,-8.7202,,-31.1760,-31.4762,-11.5033,,,-4.0397,-0.3866,-0.5122,-0.6180,-4.8205,-5.3937,-5.1450,-13.5463,-13.6783,-16.3121,,,,,,,-17.2783,-15.2379,-19.7285,-10.3462,-10.1408,,-10.8891,-10.8486,,-11.4728,-11.3121,-10.4035,,-29.0673,-31.3522,,,,-25.3443,,,-0.5600,-4.7440,-4.7573,-15.5374,-15.6374,
325,-17.0920,,,,-24.4067,,,,,-20.2151,-15.5527,-8.7607,,-31.1750,-31.4742,-11.5177,,,-4.0495,-0.3872,-0.4908,-0.5943,-4.8166,-5.3869,-5.1348,-13.5416,-13.6868,-16.2966,,,,,,,-17.2889,-15.2580,-19.7285,-10.3428,-10.1346,,-10.8797,-10.8330,,-11.4630,-11.3063,-10.4004,,-29.0670,-31.3514,,,,-25.3453,,,-0.5667,-4.7333,-4.7480,-15.5783,-15.6783,
326,-17.0600,,,,-24.4032,,,,,-20.2133,-15.5381,-8.8012,,-31.1740,-31.4722,-11.5321,,,-4.0593,-0.3878,-0.4848,-0.5706,-4.8127,-5.3801,-5.1247,-13.5370,-13.6954,-16.2810,,,,,,,-17.2996,-15.2782,-19.7285,-10.3394,-10.1285,,-10.8702,-10.8175,,-11.4531,-11.3006,-10.3973,,-29.0666,-31.3507,,,,-25.3462,,,-0.5733,-4.7227,-4.7387,-15.6191,-15.7191,
327,-17.0320,,,,-24.3996,,,,,-20.2115,-15.5235,-8.8417,,-31.1730,-31.4702,-11.5465,,,-4.0692,-0.3884,-0.4788,-0.5469,-4.8089,-5.3733,-5.1145,-13.5323,-13.7039,-16.2654,,,,,,,-17.3103,-15.2984,-19.7285,-10.3360,-10.1223,,-10.8608,-10.8019,,-11.4433,-11.2949,-10.3942,,-29.0663,-31.3500,,,,-25.3472,,,-0.5800,-4.7120,-4.7293,-15.6600,-15.7600,
328,-17.0040,,,,-24.3961,,,,,-20.2097,-15.5088,-8.8822,,-31.1720,-31.4682,-11.5609,,,-4.0790,-0.3891,-0.4728,-0.5233,-4.8031,-5.3665,-5.1043,-13.5277,-13.7124,-16.2498,,,,,,,-17.3210,-15.3185,-19.7285,-10.3326,-10.1162,,-10.8513,-10.7864,,-11.4334,-11.2892,-10.3911,,-29.0659,-31.3493,,,,-25.3482,,,-0.5867,-4.7013,-4.7200,-15.7009,-15.8009,
329,-16.9760,,,,-24.3926,,,,,-20.2079,-15.4941,-8.9227,,-31.1710,-31.4662,-11.5753,,,-4.0888,-0.3897,-0.4669,-0.4996,-4.7974,-5.3597,-5.0942,-13.5230,-13.7209,-16.2342,,,,,,,-17.3316,-15.3387,-19.7285,-10.3292,-10.1100,,-10.8419,-10.7708,,-11.4236,-11.2834,-10.3880,,-29.0656,-31.3485,,,,-25.3492,,,-0.5933,-4.6907,-4.7107,-15.7417,-15.8417,
330,-16.9480,,,,-24.3890,,,,,-20.2061,-15.4795,-8.9632,,-31.1700,-31.4642,-11.5897,,,-4.0986,-0.3903,-0.4609,-0.4759,-4.7917,-5.3528,-5.0840,-13.5184,-13.7294,-16.2188,,,,,,,-17.3423,-15.3589,-19.7285,-10.3258,-10.1038,,-10.8325,-10.7552,,-11.4138,-11.2777,-10.3849,,-29.0653,-31.3478,,,,-25.3502,,,-0.6000,-4.6800,-4.7013,-15.7826,-15.8826,
331,-16.9200,,,,-24.3855,,,,,-20.2043,-15.4649,-9.0037,,-31.1690,-31.4622,-11.6042,,,-4.1085,-0.3909,-0.4549,-0.4522,-4.7859,-5.3460,-5.0739,-13.5137,-13.7379,-16.2034,,,,,,,-17.3530,-15.3790,-19.7285,-10.3224,-10.0977,,-10.8230,-10.7397,,-11.4039,-11.2720,-10.3818,,-29.0649,-31.3471,,,,-25.3512,,,-0.6067,-4.6693,-4.6920,-15.8235,-15.9235,
332,-16.9020,,,,-24.3820,,,,,-20.2025,-15.4502,-9.0442,,-31.1680,-31.4602,-11.6186,,,-4.1183,-0.3916,-0.4489,-0.4285,-4.7802,-5.3392,-5.0637,-13.5091,-13.7287,-16.1880,,,,,,,-17.3637,-15.3992,-19.7285,-10.3190,-10.0915,,-10.8136,-10.7241,,-11.3941,-11.2663,-10.3787,,-29.0646,-31.3464,,,,-25.3522,,,-0.6133,-4.6587,-4.6827,-15.8643,-15.9643,
333,-16.8840,,,,-24.3784,,,,,-20.2006,-15.4355,-9.0847,,-31.1670,-31.4582,-11.6330,,,-4.1144,-0.3922,-0.4429,-0.4049,-4.7745,-5.3324,-5.0536,-13.5044,-13.7194,-16.1726,,,,,,,-17.3744,-15.4194,-19.7285,-10.3156,-10.0853,,-10.8041,-10.7085,,-11.3843,-11.2606,-10.3755,,-29.0643,-31.3457,,,,-25.3532,,,-0.6200,-4.6480,-4.6733,-15.9052,-16.0052,
334,-16.8660,,,,-24.3749,,,,,-20.1988,-15.4209,-9.1252,,-31.1660,-31.4562,-11.6474,,,-4.1105,-0.3928,-0.4369,-0.3812,-4.7688,-5.3197,-5.0434,-13.4997,-13.7102,-16.1571,,,,,,,-17.3850,-15.4395,-19.7285,-10.3122,-10.0792,,-10.7947,-10.6930,,-11.3744,-11.2548,-10.3724,,-29.0639,-31.3449,,,,-25.3542,,,-0.6267,-4.6373,-4.6640,-15.9461,-16.0461,
335,-16.8480,,,,-24.3714,,,,,-20.1969,-15.4062,-9.1657,,-31.1650,-31.4542,-11.6618,,,-4.1067,-0.3935,-0.4309,-0.3575,-4.7630,-5.3071,-5.0332,-13.4951,-13.7010,-16.1417,,,,,,,-17.3957,-15.4597,-19.7285,-10.3088,-10.0730,,-10.7852,-10.6774,,-11.3646,-11.2491,-10.3693,,-29.0636,-31.3442,,,,-25.3552,,,-0.6333,-4.6267,-4.6547,-15.9870,-16.0870,
336,-16.8300,,,,-24.3679,,,,,-20.1951,-15.3916,-9.2062,,-31.1640,-31.4522,-11.6762,,,-4.1028,-0.3941,-0.4250,-0.3338,-4.7573,-5.2944,-5.0231,-13.4904,-13.6918,-16.1263,,,,,,,-17.4064,-15.4799,-19.7285,-10.3054,-10.0669,,-10.7758,-10.6622,,-11.3344,-11.2434,-10.3537,,-29.0632,-31.3435,,,,-25.3562,,,-0.6400,-4.6160,-4.6453,-16.0278,-16.1278,
337,-16.8120,,,,-24.3643,,,,,-20.1932,-15.3770,-9.2467,,-31.1630,-31.4502,-11.6906,,,-4.0989,-0.3947,-0.4190,-0.3101,-4.7516,-5.2817,-5.0129,-13.4858,-13.6825,-16.1109,,,,,,,-17.4171,-15.5000,-19.7285,-10.3020,-10.0607,,-10.7663,-10.6470,,-11.3042,-11.2303,-10.3380,,-29.0627,-31.3428,,,,-25.3572,,,-0.6467,-4.6053,-4.6360,-16.0687,-16.1687,
338,-16.7940,,,,-24.3608,,,,,-20.1914,-15.3623,-9.2872,,-31.1620,-31.4482,-11.7051,,,-4.0950,-0.3953,-0.4130,-0.2864,-4.7458,-5.2690,-5.0028,-13.4811,-13.6733,-16.0955,,,,,,,-17.4277,-15.5202,-19.7285,-10.2993,-10.0545,,-10.7569,-10.6318,,-11.2740,-11.2172,-10.3223,,-29.0621,-31.3420,,,,-25.3582,,,-0.6533,-4.5947,-4.6267,-16.1096,-16.2096,
339,-16.7760,,,,-24.3573,,,,,-20.1895,-15.3476,-9.3277,,-31.1610,-31.4462,-11.7195,,,-4.0911,-0.3960,-0.4070,-0.2628,-4.7401,-5.2563,-4.9908,-13.4765,-13.6641,-16.0800,,,,,,,-17.4384,-15.5403,-19.7285,-10.2966,-10.0390,,-10.7474,-10.6166,,-11.2437,-11.2042,-10.3067,,-29.0615,-31.3413,,,,-25.3592,,,-0.6600,-4.5840,-4.6173,-16.1504,-16.2504,
340,-16.7580,,,,-24.3537,,,,,-20.1877,-15.3330,-9.3682,,-31.1600,-31.4442,-11.7339,,,-4.0873,-0.3966,-0.4010,-0.2391,-4.7344,-5.2437,-4.9788,-13.4949,-13.6548,-16.0646,,,,,,,-17.4491,-15.5605,-19.7285,-10.2938,-10.0234,,-10.7414,-10.6014,,-11.2135,-11.1911,-10.2910,,-29.0609,-31.3406,,,,-25.3602,,,-0.6667,-4.5733,-4.6080,-16.1913,-16.2913,
341,-16.7400,,,,-24.3502,,,,,-20.1858,-15.3181,-9.4087,,-31.1590,-31.4429,-11.7483,,,-4.0834,-0.3972,-0.3950,-0.2473,-4.7287,-5.2310,-4.9668,-13.5134,-13.6456,-16.0492,,,,,,,-17.4598,-15.5807,-19.7285,-10.2911,-10.0078,,-10.7353,-10.5862,,-11.1833,-11.1780,-10.2753,,-29.0603,-31.3399,,,,-25.3612,,,-0.6733,-4.5627,-4.5987,-16.2322,-16.3322,
342,,,,,-24.3467,,,,,-20.1840,-15.3032,-9.4492,,-31.1580,-31.4416,-11.7627,,,-4.0866,-0.3978,-0.3890,-0.2555,-4.7229,-5.2183,-4.9548,-13.5319,-13.6364,-16.0338,,,,,,,-17.4704,-15.6008,-19.7285,-10.2884,-9.9922,,-10.7293,-10.5710,,-11.1531,-11.1649,-10.2597,,-29.0597,-31.3392,,,,-25.3622,,,-0.6800,-4.5520,-4.5893,-16.2730,-16.3730,
343,,,,,-24.3431,,,,,-20.1821,-15.2883,-9.4657,,-31.1570,-31.4403,-11.7771,,,-4.0898,-0.3985,-0.3831,-0.2637,-4.7172,-5.2056,-4.9428,-13.5503,-13.6271,-16.0184,,,,,,,-17.4811,-15.6210,-19.7285,-10.2856,-9.9767,,-10.7232,-10.5558,,-11.1229,-11.1519,-10.2440,,-29.0591,-31.3384,,,,-25.3632,,,-0.6867,-4.5413,-4.5800,-16.3139,-16.4139,
344,,,,,-24.3396,,,,,-20.1802,-15.2734,-9.4822,,-31.1560,-31.4390,-11.7915,,,-4.0930,-0.3991,-0.3771,-0.2719,-4.7115,-5.1929,-4.9307,-13.5688,-13.6179,-16.0029,,,,,,,-17.4918,-15.6412,-19.7285,-10.2829,-9.9611,,-10.7171,-10.5406,,-11.0927,-11.1388,-10.2284,,-29.0585,-31.3377,,,,-25.3642,,,-0.6933,-4.5307,-4.5707,-16.3548,-16.4548,
345,,,,,-24.3361,,,,,-20.1784,-15.2585,-9.4987,,-31.1550,-31.4377,-11.8060,,,-4.0962,-0.3997,-0.3711,-0.2801,-4.7057,-5.1803,-4.9187,-13.5873,-13.6087,,,,,,,,-17.5025,-15.6613,-19.7285,-10.2802,-9.9455,,-10.7111,-10.5254,,-11.0625,-11.1257,-10.2127,,-29.0579,-31.3370,,,,-25.3652,,,-0.7000,-4.5200,-4.5613,-16.3957,-16.4957,
346,,,,,-24.3326,,,,,-20.1765,-15.2436,-9.5151,,-31.1540,-31.4364,-11.8204,,,-4.0994,-0.4003,-0.3651,-0.2882,-4.7000,-5.1676,-4.9067,-13.6057,-13.5995,,,,,,,,-17.5132,-15.6815,-19.7390,-10.2775,-9.9299,,-10.7050,-10.5102,,-11.0323,-11.1126,-10.1970,,-29.0573,-31.3363,,,,-25.3662,,,-0.6000,-4.5093,-4.5520,-16.4365,-16.5365,
347,,,,,-24.3290,,,,,-20.1747,-15.2287,-9.5316,,-31.1530,-31.4351,-11.8348,,,-4.1027,-0.4010,-0.3591,-0.2964,-4.6943,-5.1549,-4.8947,-13.6242,-13.5902,,,,,,,,-17.5238,-15.7017,-19.7494,-10.2747,-9.9143,,-10.6989,-10.4950,,-11.0014,-11.0996,-10.1814,,-29.0567,-31.3355,,,,-25.3672,,,-0.5000,-4.4987,-4.5427,-16.4774,-16.5774,
348,,,,,-24.3255,,,,,-20.1728,-15.2138,-9.5481,,-31.1520,-31.4338,-11.8492,,,-4.1059,-0.4016,-0.3531,-0.3046,-4.6886,-5.1422,-4.8827,-13.6427,-13.5795,,,,,,,,-17.5345,-15.7218,-19.7599,-10.2720,-9.8988,,-10.6929,-10.4797,,-10.9706,-11.0865,-10.1657,,-29.0561,-31.3348,,,,-25.3682,,,-0.4000,-4.4880,-4.5333,-16.5183,-16.6183,
349,,,,,-24.3220,,,,,-20.1710,-15.1989,-9.5646,,-31.1510,-31.4326,-11.8636,,,-4.1091,-0.4022,-0.3471,-0.3128,-4.6828,-5.1296,-4.8707,-13.6611,-13.5688,,,,,,,,-17.5452,-15.7420,-19.7703,-10.2693,-9.8832,,-10.6868,-10.4645,,-10.9398,-11.0734,-10.1501,,-29.0555,-31.3341,,,,-25.3692,,,-0.3000,-4.4773,-4.5240,-16.5591,-16.6591,
350,,,,,-24.3184,,,,,-20.1691,-15.1840,-9.5811,,-31.1500,-31.4313,-11.8780,,,-4.1123,-0.4028,-0.3412,-0.3210,-4.6771,-5.1169,-4.8587,-13.6796,-13.5580,,,,,,,,-17.5559,-15.7622,-19.7808,-10.2665,-9.8676,,-10.6808,-10.4493,,-10.9090,-11.0603,-10.1344,,-29.0550,-31.3334,,,,-25.3702,,,-0.2000,-4.4667,-4.5147,-16.6000,-16.7000,
