from_surface,agassiz77,agassiz79a,agassiz79b,agassiz84,camp_century,camp_vi,devon_00,devon_71,devon_72,dye_3,flade_isblink,foxx1,foxx2,gisp2,grip,gull,h2015_s1a,h2015_s1b,h2015_s2a,h2015_s3a,h2015_s3b,h2015_s3c,h2015_s4a,h2015_s4b,h2015_s4c,h2015_s5a,h2015_s5b,hanstausen_dome,hanstausen_hare,isua_10,isua_11,isua_12,isua_13,isua_14,jakobshavn_center,jakobshavn_left,jakobshavn_sheet,m2020_14n,m2020_14sa,m2020_14sb,m2020_14w,m2020_15ca,m2020_15cb,m2020_15e,m2020_15n,m2020_15s,meighan,neem,ngrip,penny,pow,renland,site_ii,td1,td2,td3,td41,td42,td51,td52,tuto_ramp
17,-24.3460,-22.3000,-22.2400,-21.7840,-24.1398,-12.6300,-22.5720,-22.9512,-23.0167,,,-2.8683,-4.0186,,,-1.3798,0.0040,-0.1221,-1.8094,,,,-6.1591,,-4.7507,-9.5072,,-20.9484,-17.3601,-3.3756,,,-4.7063,-4.2994,-8.5775,-5.2534,,,,,,,,,,,-17.0840,,,-12.3500,-21.0895,-18.5016,-24.0138,,,,-8.0300,-7.7800,-8.6600,-8.5800,-11.3112
18,-24.3420,-22.2720,-22.2200,-21.7600,-24.1514,-12.7200,-22.6000,-22.9723,-23.0118,,,-2.7206,-3.8091,,,-1.3668,0.0034,-0.1246,-1.9312,,,,-6.0641,-7.0582,-4.7258,-9.5009,,-20.9347,-17.1993,-3.3648,,,-4.6461,-4.2762,-8.6210,-5.3122,,,,,,,,,,,-17.1600,,,-12.4100,-21.1189,-18.5304,-24.0295,,,,-7.9450,-7.7000,-8.6400,-8.5700,-11.2491
19,-24.3380,-22.2440,-22.2000,-21.7300,-24.1630,-12.8100,-22.6280,-22.9934,-23.0070,,,-2.5729,-3.5996,,,-1.3538,0.0028,-0.1271,-2.1748,,,,-5.9692,-6.9647,-4.7008,-9.4946,,-20.9209,-17.0384,-3.3541,,,-4.5859,-4.2530,-8.6645,-5.3710,-6.1538,,,,,,,,,,-17.1350,,,-12.4700,-21.1482,-18.5592,-24.0625,,,,-7.8600,-7.6200,-8.6200,-8.5600,-11.1869
20,-24.3340,-22.2160,-22.1800,-21.7000,-24.1747,-12.9000,-22.6560,-23.0145,-23.0021,,,-2.4252,-3.5274,,,-1.3408,0.0022,-0.1115,-2.4183,,,-5.8326,-5.8743,-6.8713,-4.6759,-9.4883,,-20.9071,-16.8776,-3.3433,,,-4.5258,-4.2298,-8.7080,-5.4298,-6.2562,,,,,,,,,,-17.1100,,,-12.5300,-21.1775,-18.5880,-24.0955,,,-2.1000,-7.7750,-7.5400,-8.6000,-8.5500,-11.1247
21,-24.3300,-22.1880,-22.1600,-21.6700,-24.1863,-12.9520,-22.6840,-23.0356,-23.0021,,,-2.2969,-3.4553,,,-1.3278,0.0016,-0.0958,-2.5195,,,-5.6878,-5.7794,-6.7779,-4.6510,-9.4820,,-20.8934,-16.7167,-3.3325,,,-4.4656,-4.2065,-8.7515,-5.4886,-6.3586,,,,,,,,,,-17.1160,,,-12.5440,-21.1878,-18.6034,-24.1165,,,-1.9800,-7.6900,-7.4600,-8.5800,-8.5400,-11.0625
22,-24.3020,-22.1600,-22.1300,-21.6400,-24.1979,-13.0040,-22.7120,-23.0568,-23.0020,,,-2.1686,-3.3832,,,-1.3148,0.0010,-0.0802,-2.6208,,,-5.5430,-5.6845,-6.6845,-4.6260,-9.4847,,-20.8796,-16.5559,-3.3217,,,-4.4055,-4.1833,-8.7950,-5.5473,-6.4609,,,,,,,,,,-17.1090,,,-12.5580,-21.1981,-18.6188,-24.1375,,,-1.8600,-7.6050,-7.3800,-8.5600,-8.5300,-11.0004
23,-24.2740,-22.1280,-22.1000,-21.6100,-24.2095,-13.0560,-22.7400,-23.0779,-23.0020,,,-2.0402,-3.3110,,,-1.3018,0.0004,-0.0646,-2.8145,,,-5.3982,-5.5896,-6.5910,-4.6011,-9.4874,,-20.8658,-16.4543,-3.3110,,,-4.3453,-4.1601,-8.8385,-5.6061,-6.5633,,,,,,,,,,-17.1020,,,-12.5720,-21.2083,-18.6342,-24.1585,,,-1.7400,-7.5200,-7.3000,-8.5400,-8.5200,-10.9748
24,-24.2460,-22.0960,-22.0700,-21.5920,-24.2212,-13.1080,-22.7420,-23.0990,-23.0019,,,-1.9119,-3.2389,,,-1.2888,-0.0002,-0.0489,-2.7750,,,-5.2534,-5.4947,-6.4976,-4.5762,-9.4901,,-20.8521,-16.3527,-3.3002,,,-4.2852,-4.1369,-8.8819,-5.6649,-6.6657,,,,,,,,,,-17.0880,,,-12.5860,-21.2186,-18.6496,-24.1756,,,-1.6200,-7.4350,-7.2200,-8.5200,-8.5100,-10.9492
25,-24.2180,-22.0640,-22.0400,-21.5740,-24.2328,-13.1600,-22.7440,-23.1042,-23.0019,,,-1.7836,-3.1668,,,-1.2758,-0.0008,-0.0333,-2.7355,,,-5.1085,-5.3998,-6.4042,-4.5512,-9.4928,,-20.8383,-16.2511,-3.2894,-3.7882,-3.7966,-4.2250,-4.1137,-8.9254,-5.7237,-6.7680,,,,,,,,,,-17.0782,,,-12.6000,-21.2289,-18.6650,-24.1928,,,-1.5000,-7.3500,-7.1400,-8.5000,-8.5000,-10.9237
26,-24.1900,-22.0320,-22.0100,-21.5560,-24.2444,-13.2120,-22.7460,-23.1095,-23.0019,,,-1.7134,-3.0946,,,-1.2629,-0.0014,-0.0176,-2.6960,,,-4.9637,-5.3049,-6.3108,-4.5263,-9.4955,,-20.8246,-16.1495,-3.2715,-3.7271,-3.7640,-4.1648,-4.0905,-8.9689,-5.7825,-6.8704,,,,,,,,,,-17.0683,,,-12.6140,-21.2392,-18.6618,-24.2099,,,-1.4400,-7.2650,-7.0600,-8.4800,-8.4900,-10.8981
27,-24.1900,-22.0000,-21.9840,-21.5380,-24.2560,-13.2640,-22.7480,-23.1148,-23.0018,,,-1.6432,-3.0492,,,-1.2499,-0.0020,-0.0020,-2.6565,,-5.5521,-4.8189,-5.2099,-6.2173,-4.5014,-9.4982,,-20.8108,-16.0479,-3.2537,-3.6661,-3.7313,-4.1047,-4.0673,-9.0124,-5.8413,-6.9727,,,,,,,,,,-17.0585,,,-12.6280,-21.2495,-18.6586,-24.2270,,-2.8000,-1.3800,-7.1800,-6.9800,-8.4600,-8.4800,-10.8726
28,-24.1900,-21.9700,-21.9580,-21.5200,-24.2677,-13.3160,-22.7500,-23.1201,-23.0018,,,-1.5729,-3.0038,,,-1.2369,-0.0003,0.0038,-2.6170,,-5.3713,-4.6741,-5.1150,-6.1239,-4.4765,-9.5009,,-20.7970,-15.9463,-3.2358,-3.6050,-3.6986,-4.0445,-4.0441,-9.0559,-5.9001,-7.0751,,,,,,,,,,-17.0487,,,-12.6420,-21.2597,-18.6554,-24.2441,,-2.7840,-1.3200,-7.0950,-6.9000,-8.4400,-8.4700,-10.8470
