from_bed,agassiz77,agassiz79a,agassiz79b,agassiz84,camp_century,devon_00,devon_71,devon_72,dye_3,flade_isblink,foxx1,gisp2,grip,gull,h2015_s1a,h2015_s1b,h2015_s3a,h2015_s3b,h2015_s3c,h2015_s4a,h2015_s4b,h2015_s4c,h2015_s5a,h2015_s5b,hanstausen_dome,hanstausen_hare,isua_10,isua_11,isua_12,isua_13,isua_14,jakobshavn_center,jakobshavn_left,jakobshavn_sheet,mcdowell_2021_14n,mcdowell_2021_14sa,mcdowell_2021_14sb,mcdowell_2021_14w,mcdowell_2021_15ca,mcdowell_2021_15cb,mcdowell_2021_15e,mcdowell_2021_15n,mcdowell_2021_15s,meighen,neem,ngrip,penny,pow,renland,site_ii,td1,td2,td3,tuto_ramp
60,-18.5000,-20.6400,-20.7100,-20.5500,-14.0952,,,-19.9423,-13.6938,,-1.8190,-9.5989,-10.1685,-1.5744,0.0065,0.0021,,-0.2846,-0.2782,-0.6235,-0.4818,-0.6593,-2.6817,,-16.8995,-6.6389,-3.0724,-2.4172,-3.0854,-0.3990,-0.5533,,-4.5843,-2.6965,-2.8618,-2.2837,-2.3732,-2.8501,-2.4067,-2.1906,-3.5590,-3.2923,-3.0670,-16.8080,-5.0833,,-12.4160,-20.4727,-15.4321,,-1.5000,,-0.3400,
61,-18.5280,-20.6700,-20.7340,-20.5760,-14.1117,,,-19.9668,-13.7048,,-1.8628,-9.6233,-10.1899,-1.6266,0.0048,0.0014,,-0.2836,-0.2776,-0.6229,-0.4758,-0.6670,-2.7139,,-16.9163,-6.6990,-3.0916,-2.4841,-3.1623,-0.3815,-0.5615,,-4.7096,-2.7836,-2.9111,-2.3143,-2.4101,-2.8994,-2.4561,-2.2337,-3.6021,-3.3354,-3.1101,-16.8145,-5.1122,,-12.4200,-20.4881,-15.4550,,-1.5200,,-0.3340,
62,-18.5560,-20.7000,-20.7580,-20.6020,-14.1283,,,-19.9913,-13.7158,,-1.9066,-9.6477,-10.2114,-1.6788,0.0031,0.0007,,-0.2826,-0.2769,-0.6223,-0.4698,-0.6748,-2.7460,,-16.9330,-6.7592,-3.1108,-2.5509,-3.2393,-0.3976,-0.5697,,-4.8349,-2.8708,-2.9604,-2.3449,-2.4531,-2.9362,-2.5054,-2.2768,-3.6452,-3.3785,-3.1531,-16.8210,-5.1410,,-12.4240,-20.5035,-15.4780,,-1.5400,,-0.3280,
63,-18.5840,-20.7300,-20.7820,-20.6280,-14.1448,,,-20.0158,-13.7268,,-1.9504,-9.6721,-10.2328,-1.7309,0.0014,-0.0000,,-0.2816,-0.2763,-0.6217,-0.4639,-0.6825,-2.7781,,-16.9498,-6.8193,-3.1286,-2.6178,-3.3162,-0.4138,-0.5801,,-4.9645,-2.9579,-3.0098,-2.4005,-2.4962,-2.9731,-2.5547,-2.3199,-3.6882,-3.4216,-3.1962,-16.8275,-5.1699,,-12.4280,-20.5189,-15.5009,,-1.5600,,-0.3220,
64,-18.6120,-20.7600,-20.8060,-20.6540,-14.1614,,,-20.0402,-13.7378,,-1.9942,-9.6965,-10.2542,-1.7831,-0.0003,-0.0007,,-0.2806,-0.2757,-0.6211,-0.4579,-0.6903,-2.8102,,-16.9665,-6.8795,-3.1465,-2.6846,-3.3931,-0.4299,-0.5906,,-5.0941,-3.0451,-3.0654,-2.4561,-2.5393,-3.0099,-2.6041,-2.3630,-3.7313,-3.4647,-3.2393,-16.8340,-5.1987,,-12.4320,-20.5344,-15.5238,,-1.5800,,-0.3160,
65,-18.6400,-20.7900,-20.8300,-20.6800,-14.1779,,,-20.0647,-13.7487,,-2.0381,-9.7209,-10.2947,-1.8353,-0.0020,-0.0019,,-0.2797,-0.2751,-0.6205,-0.4519,-0.6981,-2.8424,,-16.9833,-6.9397,-3.1644,-2.7515,-3.4700,-0.4460,-0.6010,,-5.2237,-3.1322,-3.1209,-2.5117,-2.5824,-3.0467,-2.6534,-2.4061,-3.7744,-3.5078,-3.2824,-16.8405,-5.2275,,-12.4360,-20.5498,-15.5467,,-1.6000,,-0.3100,
66,-18.6720,-20.8140,-20.8520,-20.7040,-14.1945,,,-20.0892,-13.7597,,-2.0819,-9.7455,-10.3351,-1.8875,-0.0014,-0.0032,,-0.2787,-0.2745,-0.6236,-0.4460,-0.7058,-2.8745,,-17.0000,-6.9998,-3.1822,-2.7614,-3.5027,-0.4622,-0.6114,,-5.3534,-3.2194,-3.1765,-2.5672,-2.6255,-3.0836,-2.6902,-2.4492,-3.8237,-3.5634,-3.3317,-16.8470,-5.2564,,-12.4400,-20.5652,-15.5696,,-1.6200,,-0.3040,
67,-18.7040,-20.8380,-20.8740,-20.7280,-14.2110,,,-20.1137,-13.7707,,-2.1257,-9.7701,-10.3756,-1.9397,-0.0008,-0.0044,,-0.2777,-0.2739,-0.6267,-0.4508,-0.7136,-2.9066,,-17.0168,-7.0600,-3.2001,-2.7713,-3.5353,-0.4783,-0.6218,,-5.4830,-3.3065,-3.2321,-2.6228,-2.6686,-3.1204,-2.7271,-2.4922,-3.8731,-3.6189,-3.3811,-16.8535,-5.2852,,-12.4440,-20.5791,-15.5926,,-1.6400,,-0.2980,
68,-18.7360,-20.8620,-20.8960,-20.7520,-14.2276,,,-20.1381,-13.7817,,-2.1695,-9.7946,-10.4160,-1.9919,-0.0002,-0.0056,,-0.2767,-0.2733,-0.6298,-0.4557,-0.7213,-2.9387,,-17.0336,-7.1201,-3.2179,-2.7813,-3.5680,-0.4944,-0.6322,,-5.6126,-3.3937,-3.2877,-2.6784,-2.7117,-3.1573,-2.7639,-2.5353,-3.9224,-3.6745,-3.4304,-16.8600,-5.3141,,-12.4480,-20.5930,-15.6155,,-1.6600,,-0.2920,
69,-18.7680,-20.8860,-20.9180,-20.7760,-14.2441,,,-20.1626,-13.7927,,-2.2134,-9.8192,-10.4565,-2.0441,0.0004,-0.0068,,-0.2757,-0.2726,-0.6329,-0.4605,-0.7291,-2.9708,,-17.0503,-7.1803,-3.2358,-2.7912,-3.6007,-0.5106,-0.6426,,-5.7422,-3.5505,-3.3433,-2.7340,-2.7547,-3.1941,-2.8007,-2.5784,-3.9717,-3.7301,-3.4797,-16.8674,-5.3429,,-12.4520,-20.6069,-15.6384,,-1.6800,,-0.2860,
