from_bed,agassiz77,agassiz79a,agassiz79b,agassiz84,camp_century,devon_00,devon_71,devon_72,dye_3,flade_isblink,foxx1,gisp2,grip,gull,h2015_s1a,h2015_s1b,h2015_s3a,h2015_s3b,h2015_s3c,h2015_s4a,h2015_s4b,h2015_s4c,h2015_s5a,h2015_s5b,hanstausen_dome,hanstausen_hare,isua_10,isua_11,isua_12,isua_13,isua_14,jakobshavn_center,jakobshavn_left,jakobshavn_sheet,mcdowell_2021_14n,mcdowell_2021_14sa,mcdowell_2021_14sb,mcdowell_2021_14w,mcdowell_2021_15ca,mcdowell_2021_15cb,mcdowell_2021_15e,mcdowell_2021_15n,mcdowell_2021_15s,meighen,neem,ngrip,penny,pow,renland,site_ii,td1,td2,td3,tuto_ramp
181,-21.8840,,,,-16.1248,-22.0636,-22.4264,-22.3872,-15.1864,-15.0499,-8.0706,-12.5746,-13.3427,-11.1489,,,-0.9594,-1.3465,-1.7641,-1.6094,-1.9299,-1.4746,-8.4446,-8.2656,-18.7200,-12.0587,,,,-2.3198,-2.0104,-4.3655,-17.4201,-17.2754,-8.0562,-6.7938,-6.7677,-7.8820,-7.2512,-6.9913,-8.4972,-8.4181,-7.7552,,-8.5339,-7.8402,,,-17.8052,,-1.8520,,-0.2520,
182,-21.9080,,,,-16.1421,-22.0748,-22.4433,-22.3999,-15.1988,-15.0648,-8.1203,-12.5990,-13.3614,-11.2246,,,-0.9833,-1.3679,-1.7908,-1.6288,-1.9607,-1.4958,-8.4896,-8.3132,-18.7343,-12.0953,,,,-2.3573,-2.0193,-4.3855,-17.4827,-17.5048,-8.0868,-6.8275,,-7.9126,-7.2849,-7.0282,-8.5309,-8.4518,-7.7889,,-8.5620,-7.8749,,,-17.8176,,-1.8440,,-0.2440,
183,-21.9320,,,,-16.1594,-22.0860,-22.4601,-22.4125,-15.2112,-15.0797,-8.1700,-12.6235,-13.3802,-11.3004,,,-1.0072,-1.3892,-1.8175,-1.6496,-1.9915,-1.5171,-8.5346,-8.3607,-18.7486,-12.1318,,,,-2.3821,-2.0394,-4.4056,-17.5453,-17.7343,-8.1174,-6.8550,,-7.9432,-7.3186,-7.0650,-8.5646,-8.4855,-7.8226,,-8.5901,-7.9096,,,-17.8299,,-1.8360,,-0.2360,
184,-21.9560,,,,-16.1768,-22.0968,-22.4770,-22.4252,-15.2237,-15.0946,-8.2197,-12.6479,-13.3990,-11.3761,,,-1.0310,-1.4106,-1.8442,-1.6704,-2.0223,-1.5383,-8.5795,-8.4083,-18.7629,-12.1683,,,,-2.4069,-2.0595,-4.4257,-17.6079,-17.9638,-8.1480,-6.8824,,-7.9738,-7.3523,-7.1019,-8.5983,-8.5192,-7.8563,,-8.6182,-7.9443,,,-17.8422,,-1.8280,,-0.2280,
185,-21.9800,,,,-16.1941,-22.1076,-22.4938,-22.4379,-15.2361,-15.1095,-8.2694,-12.6723,-13.4378,-11.4519,,,-1.0549,-1.4320,-1.8710,-1.6912,-2.0531,-1.5596,-8.6245,-8.4559,-18.7798,-12.2049,,,,-2.4317,-2.0796,-4.4457,-17.6705,-18.0168,-8.1786,-6.9099,,-8.0044,-7.3860,-7.1387,-8.6320,-8.5529,-7.8900,,-8.6465,-7.9790,,,-17.8545,,-1.8200,,-0.2200,
186,-22.0060,,,,-16.2114,-22.1184,-22.5106,-22.4506,-15.2485,-15.1244,-8.3190,-12.6967,-13.4767,-11.5277,,,-1.0787,-1.4534,-1.8977,-1.7120,-2.0839,-1.5808,-8.6695,-8.5034,-18.7966,-12.2414,,,,-2.4564,-2.0998,-4.4658,-17.7331,-18.0698,-8.2091,-6.9374,,-8.0350,-7.4135,-7.1755,-8.6626,-8.5835,-7.9206,,-8.6748,-8.0099,,,-17.8668,,-1.8120,,-0.2120,
187,-22.0320,,,,-16.2288,-22.1292,-22.5275,-22.4633,-15.2610,-15.1393,-8.3687,-12.7211,-13.5155,-11.6034,,,-1.1026,-1.4748,-1.9244,-1.7329,-2.1147,-1.6020,-8.7145,-8.5510,-18.8135,-12.2780,,,,-2.4812,-2.1199,-4.4858,-17.7957,-18.1228,-8.2397,-6.9648,,-8.0655,-7.4409,-7.2124,-8.6932,-8.6141,-7.9512,,-8.7030,-8.0409,,,-17.8792,,-1.8040,,-0.2040,
188,-22.0580,,,,-16.2461,-22.1400,-22.5418,-22.4759,-15.2745,-15.1542,-8.4184,-12.7454,-13.5544,-11.6792,,,-1.1264,-1.4962,-1.9512,-1.7537,-2.1455,-1.6233,-8.7594,-8.5986,-18.8303,-12.3193,,,,-2.5060,-2.1400,-4.5059,-17.8583,-18.1758,-8.2703,-6.9923,,-8.0961,-7.4684,-7.2492,-8.7238,-8.6446,-7.9818,,-8.7313,-8.0718,,,-17.8915,,-1.7960,,-0.1960,
189,-22.0840,,,,-16.2626,-22.1500,-22.5561,-22.4886,-15.2881,-15.1691,-8.4681,-12.7698,-13.5932,-11.7374,,,-1.1503,-1.5176,-1.9779,-1.7745,-2.1763,-1.6445,-8.8044,-8.6461,-18.8472,-12.3606,,,,-2.5307,-2.1601,-4.5260,-17.9209,-18.2288,-8.3009,-7.0197,,-8.1267,-7.4959,-7.2860,-8.7544,-8.6752,-8.0124,,-8.7596,-8.1028,,,-17.9038,,-1.7880,,-0.1880,
190,-22.1100,,,,-16.2792,-22.1600,-22.5704,-22.5013,-15.3016,-15.1840,-8.4845,-12.7942,-13.6162,-11.7956,,,-1.1742,-1.5390,-2.0046,-1.7953,-2.2071,-1.6657,-8.8494,-8.6937,-18.8640,-12.4018,,,,-2.5555,-2.1802,-4.5460,-17.9836,-18.2818,-8.3315,-7.0472,,-8.1573,-7.5233,-7.3229,-8.7850,-8.7058,-8.0429,,-8.7880,-8.1337,,,-17.9161,,-1.7800,,-0.1800,
191,-22.1360,,,,-16.2957,-22.1700,-22.5847,-22.5144,-15.3152,-15.1989,-8.5009,-12.8188,-13.6392,-11.8539,,,-1.1980,-1.5604,-2.0313,-1.8161,-2.2379,-1.6870,-8.8944,-8.7413,-18.8808,-12.4431,,,,-2.5803,-2.2003,-4.5661,-18.0462,-18.3348,-8.3621,-7.0747,,-8.1879,-7.5508,-7.3597,-8.8155,-8.7364,-8.0735,,-8.8164,-8.1654,,,-17.9284,,-1.7720,,-0.1720,
192,-22.1620,,,,-16.3123,-22.1800,-22.5990,-22.5274,-15.3288,-15.2138,-8.5173,-12.8433,-13.6622,-11.9121,,,-1.2219,-1.5818,-2.0581,-1.8369,-2.2687,-1.7132,-8.9393,-8.7888,-18.8977,-12.4844,,,,-2.6051,-2.2204,-4.5861,-18.1088,-18.3878,-8.3926,-7.1021,,-8.2185,-7.5782,-7.3965,-8.8461,-8.7670,-8.1041,,-8.8447,-8.1971,,,-17.9408,,-1.7640,,-0.1640,
193,-22.1880,,,,-16.3288,-22.1900,-22.6134,-22.5405,-15.3423,-15.2287,-8.5336,-12.8679,-13.6852,-11.9703,,,-1.2457,-1.6032,-2.0848,-1.8577,-2.2995,-1.7393,-8.9843,-8.8364,-18.9145,-12.5257,,,,-2.6298,-2.2406,-4.6062,-18.1714,-18.4409,-8.4232,-7.1296,,-8.2490,-7.6057,-7.4334,-8.8767,-8.7976,-8.1347,,-8.8731,-8.2287,,,-17.9531,,-1.7560,,-0.1560,
194,-22.2140,,,,-16.3454,-22.2012,-22.6277,-22.5536,-15.3559,-15.2436,-8.5500,-12.8924,-13.7082,-12.0286,,,-1.2696,-1.6246,-2.1115,-1.8785,-2.3303,-1.7655,-9.0293,-8.8840,-18.9314,-12.5670,,,,-2.6460,-2.2607,-4.6263,-18.2340,-18.4939,-8.4538,-7.1570,,-8.2796,-7.6332,-7.4702,-8.9073,-8.8281,-8.1653,,-8.9015,-8.2604,,,-17.9654,,-1.7480,,-0.1480,
195,-22.2400,,,,-16.3619,-22.2124,-22.6420,-22.5666,-15.3694,-15.2585,-8.5664,-12.9170,-13.7309,-12.0868,,,-1.2935,-1.6459,-2.1383,-1.8993,-2.3611,-1.7917,-9.0742,-8.9315,-18.9482,-12.6083,,,,-2.6621,-2.2808,-4.6463,-18.2966,-18.5469,-8.4844,-7.1845,,-8.3102,-7.6606,-7.5070,-8.9379,-8.8587,-8.1959,,-8.9301,-8.2921,,,-17.9777,,-1.7400,,-0.1400,
196,-22.2580,,,,-16.3785,-22.2236,-22.6563,-22.5797,-15.3830,-15.2734,-8.5828,-12.9414,-13.7537,-12.1450,,,-1.3173,-1.6673,-2.1650,-1.9201,-2.3919,-1.8179,-9.1192,-8.9791,-18.9651,-12.6496,,,,-2.6782,-2.3009,-4.6664,-18.3592,-18.5999,-8.5150,-7.2119,,-8.3408,-7.6881,-7.5439,-8.9685,-8.8893,-8.2264,,-8.9587,-8.3204,,,-17.9900,,-1.7320,,-0.1320,
197,-22.2760,,,,-16.3950,-22.2348,-22.6706,-22.5927,-15.3965,-15.2883,-8.5992,-12.9657,-13.7764,-12.2033,,,-1.3412,-1.6887,-2.1917,-1.9409,-2.4227,-1.8440,-9.1642,-9.0172,-18.9789,-12.6909,,,,-2.6944,-2.3210,-4.6864,-18.4218,-18.6529,-8.5456,-7.2394,,-8.3714,-7.7155,-7.5807,-8.9990,-8.9199,-8.2570,,-8.9873,-8.3487,,,-18.0024,,-1.7240,,-0.1240,
198,-22.2940,,,,-16.4115,-22.2460,-22.6832,-22.6058,-15.4101,-15.3032,-8.6156,-12.9901,-13.7992,-12.2615,,,-1.3650,-1.7101,-2.2184,-1.9618,-2.4535,-1.8702,-9.2092,-9.0552,-18.9927,-12.7322,,,,-2.7105,-2.3411,-4.7065,-18.4844,-18.7059,-8.5761,-7.2669,,-8.4020,-7.7430,-7.6175,-9.0296,-8.9505,-8.2876,,-9.0159,-8.3769,,,-18.0147,,-1.7160,,-0.1160,
199,-22.3120,,,,-16.4281,-22.2568,-22.6959,-22.6189,-15.4225,-15.3181,-8.6319,-13.0144,-13.8219,-12.3197,,,-1.3957,-1.7315,-2.2452,-1.9826,-2.4843,-1.8964,-9.2541,-9.0933,-19.0064,-12.7735,,,,-2.7266,-2.3612,-4.7266,-18.5470,-18.7589,-8.6067,-7.2943,,-8.4325,-7.7705,-7.6544,-9.0602,-8.9811,-8.3182,,-9.0445,-8.4052,,,-18.0270,,-1.7080,,-0.1080,
200,-22.3300,,,,-16.4446,-22.2676,-22.7085,-22.6319,-15.4350,-15.3330,-8.6483,-13.0388,-13.8510,-12.3780,,,-1.4264,-1.7529,-2.2719,-2.0034,-2.5151,-1.9226,-9.2991,-9.1313,-19.0202,-12.8148,,,,-2.7428,-2.3813,-4.7466,-18.6096,-18.8119,-8.6373,-7.3218,,-8.4631,-7.7979,-7.6912,-9.0908,-9.0117,-8.3488,,-9.0730,-8.4335,,,-18.0381,,-1.7000,,-0.1000,
201,-22.3520,,,,-16.4612,-22.2784,-22.7211,-22.6450,-15.4474,-15.3476,-8.6647,-13.0630,-13.8801,-12.4362,,,-1.4571,-1.7743,-2.2954,-2.0242,-2.5459,-1.9488,-9.3291,-9.1694,-19.0340,-12.8561,,,,-2.7589,-2.4015,-4.7676,-18.6722,-18.8649,-8.6679,-7.3492,,-8.4937,-7.8254,-7.7280,-9.1214,-9.0422,-8.3794,,-9.1015,-8.4629,,,-18.0493,,-1.6800,,-0.0990,
202,-22.3740,,,,-16.4777,-22.2892,-22.7337,-22.6581,-15.4598,-15.3623,-8.6811,-13.0872,-13.9093,-12.4944,,,-1.4877,-1.7957,-2.3189,-2.0450,-2.5767,-1.9749,-9.3591,-9.2169,-19.0478,-12.8974,,,,-2.7750,-2.4216,-4.7886,-18.7348,-18.9179,-8.6985,-7.3767,,-8.5212,-7.8528,-7.7649,-9.1520,-9.0728,-8.4100,,-9.1299,-8.4924,,,-18.0604,,-1.6600,,-0.0980,
203,-22.3960,,,,-16.4943,-22.3000,-22.7464,-22.6713,-15.4722,-15.3770,-8.6975,-13.1115,-13.9384,-12.5527,,,-1.5184,-1.8171,-2.3425,-2.0658,-2.6075,-2.0011,-9.3891,-9.2645,-19.0616,-12.9387,,,,-2.7912,-2.4417,-4.8096,-18.7974,-18.9709,-8.7291,-7.4042,,-8.5486,-7.8803,-7.8017,-9.1825,-9.1034,-8.4405,,-9.1584,-8.5218,,,-18.0716,,-1.6400,,-0.0970,
204,-22.4180,,,,-16.5108,-22.3080,-22.7590,-22.6844,-15.4847,-15.3916,-8.7139,-13.1357,-13.9675,-12.6109,,,-1.5491,-1.8385,-2.3660,-2.0866,-2.6383,-2.0273,-9.4190,-9.3121,-19.0754,-12.9800,,,,-2.8073,-2.4618,-4.8306,-18.8600,-19.0239,-8.7565,-7.4316,,-8.5761,-7.9078,-7.8385,-9.2131,-9.1340,-8.4711,,-9.1869,-8.5513,,,-18.0827,,-1.6200,,-0.0960,
205,-22.4400,,,,-16.5274,-22.3160,-22.7716,-22.6976,-15.4971,-15.4062,-8.7302,-13.1599,-13.9946,-12.6691,,,-1.5798,-1.8599,-2.3895,-2.1074,-2.6691,-2.0535,-9.4490,-9.3596,-19.0892,-13.0213,,,,-2.8591,-2.4931,-4.8516,-18.9016,-19.0769,-8.7840,-7.4591,,-8.6036,-7.9352,-7.8754,-9.2437,-9.1646,-8.5017,,-9.2154,-8.5807,,,-18.0939,,-1.6000,,-0.0950,
206,-22.4640,,,,-16.5439,-22.3240,-22.7842,-22.7107,-15.5095,-15.4209,-8.7466,-13.1843,-14.0217,-12.7274,,,-1.6104,-1.8813,-2.4130,-2.1282,-2.6999,-2.0796,-9.4790,-9.4072,-19.1030,-13.0626,,,,-2.9109,-2.5244,-4.8726,-18.9432,-19.1299,-8.8114,-7.4865,,-8.6310,-7.9752,-7.9153,-9.2681,-9.1952,-8.5198,,-9.2439,-8.6083,,,-18.1050,,-1.5800,,-0.0940,
207,-22.4880,,,,-16.5605,-22.3320,-22.7969,-22.7239,-15.5220,-15.4355,-8.7630,-13.2087,-14.0488,-12.7475,,,-1.6411,-1.9026,-2.4366,-2.1490,-2.7307,-2.1058,-9.5090,-9.4548,-19.1168,-13.1038,,,,-2.9626,-2.5556,-4.8936,-18.9848,-19.1829,-8.8389,-7.5140,,-8.6585,-8.0151,-7.9553,-9.2924,-9.2257,-8.5379,,-9.2725,-8.6359,,,-18.1162,,-1.5600,,-0.0930,
208,-22.5120,,,,-16.5770,-22.3400,-22.8061,-22.7370,-15.5344,-15.4502,-8.7794,-13.2330,-14.0759,-12.7676,,,-1.6718,-1.9240,-2.4601,-2.1699,-2.7614,-2.1320,-9.5390,-9.5023,-19.1306,-13.1451,,,,-3.0144,-2.5869,-4.9145,-19.0263,-19.2359,-8.8664,-7.5415,,-8.6859,-8.0551,-7.9953,-9.3167,-9.2563,-8.5560,,-9.3010,-8.6636,,,-18.1273,,-1.5400,,-0.0920,
209,-22.5360,,,,-16.5935,-22.3500,-22.8154,-22.7502,-15.5468,-15.4649,-8.7958,-13.2574,-14.1030,-12.7878,,,-1.7025,-1.9454,-2.4836,-2.1907,-2.7922,-2.1582,-9.5689,-9.5499,-19.1477,-13.1864,,,,-3.0662,-2.6182,-4.9355,-19.0679,-19.2889,-8.8938,-7.5689,,-8.7134,-8.0950,-8.0352,-9.3411,-9.2869,-8.5740,,-9.3295,-8.6912,,,-18.1385,,-1.5200,,-0.0910,
210,-22.5600,,,,-16.6101,-22.3600,-22.8246,-22.7633,-15.5593,-15.4795,-8.8122,-13.2818,-14.1249,-12.8079,,,-1.7331,-1.9668,-2.5071,-2.2115,-2.8116,-2.1843,-9.5989,-9.5975,-19.1648,-13.2277,,,,-3.1180,-2.6495,-4.9565,-19.1095,-19.3420,-8.9213,-7.5964,,-8.7408,-8.1350,-8.0752,-9.3654,-9.3175,-8.5921,,-9.3574,-8.7188,,,-18.1496,,-1.5000,,-0.0900,
211,-22.5840,,,,-16.6274,-22.3700,-22.8339,-22.7718,-15.5717,-15.4941,-8.8285,-13.3064,-14.1468,-12.8280,,,-1.7469,-1.9882,-2.5306,-2.2323,-2.8310,-2.2105,-9.6289,-9.6450,-19.1819,-13.2690,,,,-3.1698,-2.6808,-4.9775,-19.1510,-19.3950,-8.9487,-7.6238,,-8.7683,-8.1750,-8.1151,-9.3897,-9.3481,-8.6102,,-9.3853,-8.7522,,,-18.1608,,-1.4800,,-0.0890,
212,-22.6080,,,,-16.6448,-22.3800,-22.8431,-22.7802,-15.5841,-15.5088,-8.8449,-13.3309,-14.1686,-12.8482,,,-1.7606,-2.0096,-2.5542,-2.2531,-2.8504,-2.2353,-9.6589,-9.6926,-19.1990,-13.3103,,,,-3.2215,-2.7121,-4.9985,-19.1926,-19.4480,-8.9762,-7.6513,,-8.7958,-8.2149,-8.1551,-9.4141,-9.3787,-8.6283,,-9.4131,-8.7857,,,-18.1719,,-1.4600,,-0.0880,
213,-22.6320,,,,-16.6621,-22.3900,-22.8524,-22.7887,-15.5965,-15.5235,-8.8613,-13.3555,-14.1905,-12.8683,,,-1.7743,-2.0310,-2.5777,-2.2739,-2.8698,-2.2601,-9.6889,-9.7402,-19.2161,-13.3516,,,,-3.2733,-2.7433,-5.0195,-19.2342,-19.5010,-9.0037,-7.6788,,-8.8232,-8.2549,-8.1950,-9.4384,-9.4092,-8.6464,,-9.4410,-8.8191,,,-18.1831,,-1.4400,,-0.0870,
214,-22.6560,,,,-16.6794,-22.3950,-22.8616,-22.7972,-15.6090,-15.5381,-8.8777,-13.3800,-14.2124,-12.8884,,,-1.7880,-2.0524,-2.6012,-2.2947,-2.8892,-2.2849,-9.7188,-9.7877,-19.2333,-13.3946,,,,-3.3251,-2.7746,-5.0405,-19.2758,-19.5540,-9.0311,-7.7062,,-8.8507,-8.2948,-8.2350,-9.4627,-9.4398,-8.6645,,-9.4689,-8.8526,,,-18.1942,,-1.4200,,-0.0860,
215,-22.6800,,,,-16.6968,-22.4000,-22.8709,-22.8056,-15.6214,-15.5527,-8.8941,-13.4046,-14.2371,-12.9086,,,-1.8017,-2.0738,-2.6247,-2.3155,-2.9086,-2.3096,-9.7488,-9.8353,-19.2504,-13.4376,,,,-3.3769,-2.8059,-5.0615,-19.3173,-19.6070,-9.0586,-7.7337,,-8.8781,-8.3348,-8.2750,-9.4871,-9.4704,-8.6825,,-9.4967,-8.8860,,,-18.2054,,-1.4000,,-0.0850,
216,-22.6960,,,,-16.7141,-22.4050,-22.8802,-22.8141,-15.6338,-15.5674,-8.9105,-13.4292,-14.2618,-12.9287,,,-1.8155,-2.0952,-2.6483,-2.3363,-2.9280,-2.3344,-9.7863,-9.8829,-19.2675,-13.4806,,,,-3.4073,-2.8372,-5.0825,-19.3589,-19.6600,-9.0860,-7.7611,,-8.9056,-8.3748,-8.3149,-9.5114,-9.5010,-8.7006,,-9.5246,-8.9151,,,-18.2165,,-1.3800,,-0.0840,
217,-22.7120,,,,-16.7314,-22.4100,-22.8894,-22.8226,-15.6462,-15.5820,-8.9268,-13.4538,-14.2865,-12.9488,,,-1.8292,-2.1166,-2.6718,-2.3571,-2.9474,-2.3592,-9.8238,-9.9304,-19.2846,-13.5236,,,,-3.4377,-2.8381,-5.1034,-19.4005,-19.7130,-9.1135,-7.7886,,-8.9331,-8.4147,-8.3549,-9.5357,-9.5316,-8.7187,,-9.5524,-8.9441,,,-18.2277,,-1.3600,,-0.0830,
218,-22.7280,,,,-16.7488,-22.4150,-22.8988,-22.8311,-15.6587,-15.5967,-8.9432,-13.4783,-14.3112,-12.9689,,,-1.8429,-2.1300,-2.6953,-2.3779,-2.9668,-2.3840,-9.8613,-9.9939,-19.3017,-13.5666,,,,-3.4682,-2.8389,-5.1244,-19.4420,-19.7660,-9.1410,-7.8161,,-8.9605,-8.4547,-8.3948,-9.5601,-9.5622,-8.7368,,-9.5803,-8.9732,,,-18.2388,,-1.3400,,-0.0820,
219,-22.7440,,,,-16.7661,-22.4260,-22.9081,-22.8395,-15.6711,-15.6113,-8.9596,-13.5029,-14.3359,-12.9891,,,-1.8566,-2.1435,-2.7188,-2.3988,-2.9861,-2.4087,-9.8987,-10.0573,-19.3188,-13.6096,,,,-3.4986,-2.8398,-5.1454,-19.4836,-19.8190,-9.1684,-7.8435,,-8.9880,-8.4946,-8.4348,-9.5844,-9.5928,-8.7549,,-9.6081,-9.0022,,,-18.2500,,-1.3200,,-0.0810,
220,-22.7600,,,,-16.7834,-22.4370,-22.9174,-22.8480,-15.6835,-15.6260,-8.9760,-13.5275,-14.3594,-13.0092,,,-1.8704,-2.1570,-2.7413,-2.4196,-3.0055,-2.4335,-9.9362,-10.1207,-19.3359,-13.6526,,,,-3.5290,-2.8407,-5.1664,-19.5252,-19.8467,-9.1959,-7.8710,,-9.0154,-8.5346,-8.4748,-9.6087,-9.6233,-8.7730,,-9.6364,-9.0313,,,-18.2611,,-1.3000,,-0.0800,
221,-22.7780,,,,-16.8008,-22.4480,-22.9268,-22.8542,-15.6960,-15.6412,-8.9924,-13.5520,-14.3829,-13.0293,,,-1.8841,-2.1704,-2.7638,-2.4404,-3.0249,-2.4583,-9.9737,-10.1486,-19.3498,-13.6957,,,,-3.5595,-2.8415,-5.1874,-19.5668,-19.8743,-9.2233,-7.8984,,-9.0429,-8.5746,-8.5147,-9.6331,-9.6539,-8.7911,,-9.6647,-9.0613,,,-18.2723,,-1.2800,,-0.0790,
222,-22.7960,,,,-16.8181,-22.4590,-22.9361,-22.8603,-15.7084,-15.6564,-9.0088,-13.5764,-14.4064,-13.0495,,,-1.8978,-2.1839,-2.7863,-2.4612,-3.0443,-2.4831,-10.0112,-10.1765,-19.3637,-13.7387,,,,-3.5899,-2.8424,-5.2084,-19.6083,-19.9020,-9.2508,-7.9259,,-9.0672,-8.6145,-8.5547,-9.6574,-9.6845,-8.8091,,-9.6929,-9.0913,,,-18.2834,,-1.2600,,-0.0780,
223,-22.8140,,,,-16.8354,-22.4700,-22.9455,-22.8665,-15.7219,-15.6716,-9.0252,-13.6009,-14.4299,-13.0696,,,-1.9115,-2.1974,-2.8088,-2.4820,-3.0637,-2.5078,-10.0486,-10.2044,-19.3775,-13.7817,,,,-3.6203,-2.8433,-5.2294,-19.6499,-19.9296,-9.2783,-7.9502,,-9.0916,-8.6545,-8.5946,-9.6817,-9.7151,-8.8272,,-9.7212,-9.1214,,,-18.2946,,-1.2400,,-0.0770,
224,-22.8320,,,,-16.8528,-22.4790,-22.9548,-22.8727,-15.7355,-15.6868,-9.0415,-13.6253,-14.4534,-13.0897,,,-1.9253,-2.2108,-2.8313,-2.5023,-3.0831,-2.5326,-10.0861,-10.2323,-19.3914,-13.8247,,,,-3.6508,-2.8442,-5.2504,-19.6915,-19.9573,-9.3026,-7.9746,,-9.1159,-8.6944,-8.6346,-9.7061,-9.7457,-8.8453,,-9.7495,-9.1514,,,-18.3057,,-1.2200,,-0.0760,
225,-22.8500,,,,-16.8701,-22.4880,-22.9642,-22.8788,-15.7491,-15.7020,-9.0579,-13.6498,-14.4868,-13.1099,,,-1.9390,-2.2243,-2.8538,-2.5227,-3.1025,-2.5574,-10.1236,-10.2602,-19.4053,-13.8677,,,,-3.6812,-2.8450,-5.2714,-19.7330,-19.9849,-9.3269,-7.9989,,-9.1402,-8.7344,-8.6746,-9.7304,-9.7763,-8.8634,,-9.7780,-9.1814,,,-18.3169,,-1.2000,,-0.0750,
226,-22.8740,,,,-16.8874,-22.4970,-22.9735,-22.8850,-15.7626,-15.7172,-9.0743,-13.6741,-14.5202,-13.1300,,,-1.9527,-2.2378,-2.8762,-2.5430,-3.1219,-2.5822,-10.1611,-10.2880,-19.4192,-13.9124,,,,-3.7116,-2.8459,-5.2924,-19.7746,-20.0126,-9.3513,-8.0232,,-9.1646,-8.7650,-8.6958,-9.7547,-9.7975,-8.8908,,-9.8066,-9.2090,,,-18.3280,,-1.1840,,-0.0740,
227,-22.8980,,,,-16.9048,-22.5060,-22.9804,-22.8912,-15.7762,-15.7324,-9.0907,-13.6984,-14.5537,-13.1501,,,-1.9664,-2.2512,-2.8987,-2.5633,-3.1413,-2.6070,-10.1986,-10.3159,-19.4330,-13.9571,,,,-3.7420,-2.8468,-5.3133,-19.8162,-20.0402,-9.3756,-8.0476,,-9.1889,-8.7956,-8.7170,-9.7791,-9.8187,-8.9183,,-9.8351,-9.2366,,,-18.3340,,-1.1680,,-0.0730,
228,-22.9220,,,,-16.9221,-22.5150,-22.9873,-22.8973,-15.7897,-15.7476,-9.1071,-13.7227,-14.5871,-13.1703,,,-1.9801,-2.2647,-2.9212,-2.5837,-3.1607,-2.6317,-10.2485,-10.3438,-19.4469,-14.0018,,,,-3.7725,-2.8948,-5.3343,-19.8578,-20.0679,-9.3999,-8.0719,,-9.2132,-8.8261,-8.7382,-9.8034,-9.8399,-8.9458,,-9.8637,-9.2643,,,-18.3400,,-1.1520,,-0.0720,
229,-22.9460,,,,-16.9394,-22.5200,-22.9942,-22.9035,-15.8033,-15.7628,-9.1235,-13.7470,-14.6205,-13.1904,,,-1.9939,-2.2782,-2.9437,-2.6040,-3.1801,-2.6565,-10.2985,-10.3717,-19.4608,-14.0465,,,,-3.7990,-2.9428,-5.3553,-19.8993,-20.0953,-9.4243,-8.0962,,-9.2376,-8.8567,-8.7594,-9.8277,-9.8611,-8.9732,,-9.8922,-9.2919,,,-18.3460,,-1.1360,,-0.0710,
230,-22.9700,,,,-16.9568,-22.5250,-23.0010,-22.9097,-15.8169,-15.7780,-9.1398,-13.7713,-14.6404,-13.2105,,,-2.0022,-2.2916,-2.9662,-2.6243,-3.2059,-2.6750,-10.3485,-10.3996,-19.4767,-14.0912,,,,-3.8255,-2.9908,-5.3763,-19.9409,-20.1228,-9.4486,-8.1206,,-9.2619,-8.8873,-8.7806,-9.8521,-9.8823,-9.0007,,-9.9217,-9.3195,,,-18.3520,,-1.1200,,-0.0700,
231,-22.9860,,,,-16.9741,-22.5300,-23.0079,-22.9158,-15.8304,-15.7932,-9.1562,-13.7956,-14.6603,-13.2307,,,-2.0106,-2.3051,-2.9887,-2.6447,-3.2318,-2.6934,-10.3984,-10.4275,-19.4927,-14.1358,,,,-3.8519,-3.0388,-5.3973,-19.9825,-20.1503,-9.4729,-8.1449,,-9.2862,-8.9179,-8.8018,-9.8764,-9.9035,-9.0281,,-9.9512,-9.3502,,,-18.3580,,-1.1040,,-0.0690,
232,-23.0020,,,,-16.9914,-22.5350,-23.0148,-22.9233,-15.8440,-15.8084,-9.1726,-13.8199,-14.6802,-13.2508,,,-2.0190,-2.3186,-3.0112,-2.6650,-3.2576,-2.7119,-10.4484,-10.4554,-19.5086,-14.1805,,,,-3.8784,-3.0869,-5.4183,-20.0240,-20.1778,-9.4973,-8.1692,,-9.3106,-8.9485,-8.8230,-9.9007,-9.9247,-9.0556,,-9.9808,-9.3809,,,-18.3640,,-1.0880,,-0.0680,
233,-23.0180,,,,-17.0088,-22.5400,-23.0217,-22.9307,-15.8575,-15.8236,-9.1890,-13.8442,-14.7001,-13.2709,,,-2.0273,-2.3320,-3.0337,-2.6854,-3.2835,-2.7304,-10.4984,-10.4832,-19.5246,-14.2252,,,,-3.9049,-3.1349,-5.4393,-20.0656,-20.2052,-9.5216,-8.1936,,-9.3349,-8.9791,-8.8442,-9.9251,-9.9459,-9.0831,,-10.0103,-9.4117,,,-18.3700,,-1.0720,,-0.0670,
234,-23.0340,,,,-17.0261,-22.5480,-23.0285,-22.9381,-15.8711,-15.8388,-9.2054,-13.8685,-14.7200,-13.2911,,,-2.0357,-2.3455,-3.0561,-2.7057,-3.3093,-2.7488,-10.5483,-10.5111,-19.5406,-14.2699,,,,-3.9314,-3.1829,-5.4603,-20.1072,-20.2327,-9.5459,-8.2179,,-9.3592,-9.0097,-8.8654,-9.9494,-9.9671,-9.1105,,-10.0398,-9.4424,,,-18.3760,,-1.0560,,-0.0660,
