Borehole ID,Place Name,Geographic Location,Ice Type,Data Reference,Data DOI,Science Reference,Science DOI,Date,Longitude [°E],Latitude [°N],Location source,Depth of top measurement [m],Depth of bottom measurement [m],Ice thickness [m],Coverage [% of thickness],Ice thickness source,"Measured from: Top, Bottom, Relative",General_Note,Temperature_note,Thickness_note,Location_note
Agassiz77,Agassiz Ice Cap,Canadian Arctic North,Ice cap,W. Colgan email,,"Clarke, G. K. C., Fisher, D. A., Waddington, E. D.: Wind pumping: A potentially significant heat source in ice sheets , The Physical Basis of Ice Sheet Modelling in Proceedings of the Vancouver Symposium, IAHS , volume 170, 169–180, 1987",,1977,-73.1,80.7,"Vinther, 2008",11.0,341,341,97,See data source ,T ,,,Ice thickness from data does not match ice thickness from Vinther (2008),Location approximate
Agassiz79a,Agassiz Ice Cap,Canadian Arctic North,Ice cap,W. Colgan email,,"Clarke, G. K. C., Fisher, D. A., Waddington, E. D.: Wind pumping: A potentially significant heat source in ice sheets , The Physical Basis of Ice Sheet Modelling in Proceedings of the Vancouver Symposium, IAHS , volume 170, 169–180, 1987",,1979,-73.1,80.7,"Vinther, 2008",12.0,142,142,92,See data source ,T ,,,Ice thickness from data does not match ice thickness from Vinther (2008),Location approximate
Agassiz79b,Agassiz Ice Cap,Canadian Arctic North,Ice cap,W. Colgan email,,"Clarke, G. K. C., Fisher, D. A., Waddington, E. D.: Wind pumping: A potentially significant heat source in ice sheets , The Physical Basis of Ice Sheet Modelling in Proceedings of the Vancouver Symposium, IAHS , volume 170, 169–180, 1987",,1979,-73.1,80.7,"Vinther, 2008",11.0,141,141,92,See data source,T,,,Ice thickness from data does not match ice thickness from Vinther (2008),Location approximate
Agassiz84,Agassiz Ice Cap,Canadian Arctic North,Ice cap,W. Colgan email,,"Clarke, G. K. C., Fisher, D. A., Waddington, E. D.: Wind pumping: A potentially significant heat source in ice sheets , The Physical Basis of Ice Sheet Modelling in Proceedings of the Vancouver Symposium, IAHS , volume 170, 169–180, 1987",,1984,-73.1,80.7,"Vinther, 2008",3.0,128,128,98,See data source,T,,,Ice thickness from data does not match ice thickness from Vinther (2008),Location approximate
CampCentury,Camp Century,Northwest Greenland,Ice cap,"Weertman, 1968",10.1029/jb073i008p02691,"Weertman, J.: Comparison between measured and theoretical temperature profiles of the Camp Century, Greenland, Borehole , Journal of Geophysical Research 73(8), American Geophysical Union (AGU), 2691–2700, 4 1968",10.1029/jb073i008p02691,1966,-61.1097,77.1797,"Colgan, 2021",9.0,1387,1387,99,Weertman1968,B,,,,
CampIII_78b,Nunap Kigdlinga,Central West Greenland,Ice sheet,"Stauffer, 1979",,,,1978,-50.0917,69.7176,M. Lüthi email,10.0,90,,#DIV/0!,,T,See also shallow profiles at boreholes I and III,Digitized from https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/files/7185440/stauffer_1979.pdf,,
CampVI,Camp VI,Central West Greenland,Ice sheet,"Heuberger, J.-C. 1954. Expéditions Polaires Françaises: Missions Paul-Emil Victor. Glaciologie Groenland Volume 1: Forages sur l'inlandsis. Hermann & Cle, Éditeurs. Paris.",,"Heuberger, J.-C. 1954. Expéditions Polaires Françaises: Missions Paul-Emil Victor. Glaciologie Groenland Volume 1: Forages sur l'inlandsis. Hermann & Cle, Éditeurs. Paris.",,1950,-48.2625,69.6981,"Heuberger, 1954",4.0,125,1389,9,BedMachine_V3,T,,Digitized from https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/files/7082104/heuberger_1954.pdf,,
Devon72,Devon Ice Cap,Canadian Arctic North,Ice cap,"Paterson, W. S. B., Clarke, G. K. C.: Comparison of theoretical and observed temperature profiles in Devon Island ice cap, Canada , Geophysical Journal International 55(3), Oxford University Press (OUP), 615–632, 12 1978 ",,"Paterson, W., R. Koerner, D. Fisher et al. 1977. An oxygen-isotope climatic record from the Devon Island ice cap, Arctic Canada. Nature. 266: 508-511.",10.1038/266508a0,1972,-82.3,75.3,"Colgan, 2021",10.0,213,300,68,See data source,T,,Digitized from graphic,,
Devon73,Devon Ice Cap,Canadian Arctic North,Ice cap,"Paterson, W. S. B., Clarke, G. K. C.: Comparison of theoretical and observed temperature profiles in Devon Island ice cap, Canada , Geophysical Journal International 55(3), Oxford University Press (OUP), 615–632, 12 1978 ",,"Kinnard, C., C. Zdanowicz, D. Fisher et al. 2006. Calibration of an ice-core glaciochemical (sea-salt) record with Sea-ice variability in the Canadian Arctic. Annals of Glaciology. 44: 383-390. ",10.3189/172756406781811349,1973,-82.14,75.34,"Colgan, 2021",9.0,299,299,97,See data source,T,,Digitized from graphic,,
Devon98,Devon Ice Cap,Canadian Arctic North,Ice cap,W. Colgan email,,"Paterson, W., R. Koerner, D. Fisher et al. 1977. An oxygen-isotope climatic record from the Devon Island ice cap, Arctic Canada. Nature. 266: 508-511.",10.1038/266508a0,2000-04-15,-82.3,75.3,"Colgan, 2021",13.0,218,301,68,See data source,T,,,,
DYE-3,DYE-3,South Greenland,Ice sheet,"Gundestrup, N. S., Hansen, B. Lyle: Bore-Hole Survey at Dye 3, South Greenland , Journal of Glaciology 30(106), Cambridge University Press (CUP), 282–288, 1984 ",,"Gundestrup, N. and B. Hansen. 1984. Bore-Hole Survey at Dye 3, South Greenland. Journal of Glaciology. 30: 282–288. ",10.3189/S0022143000006109,1983,-43.8167,65.1833,See data source,152.0,2030,2038,92,See data source,T,,,,
