t,d
-0.9393534068000001,660.0
-1.4326965369999998,650.0
-1.8010396672,640.0
-2.3568827974,630.0
-2.8502259276,620.0
-3.3435690578,610.0
-3.7744121880000003,600.0
-4.2677553182,590.0
-4.698598448399999,580.0
-5.1919415786,570.0
-5.6227847088,560.0
-5.991127839,550.0
-6.421970969199999,540.0
-6.852814099400001,530.0
-7.2836572296,520.0
-7.95784349,500.0
-8.6320297504,480.0
-9.2437160108,460.0
-9.730402271200001,440.0
-10.2170885316,420.0
-10.578774792,400.0
-10.7529610524,380.0
-10.989647312799999,360.0
-11.6013335732,340.0
-11.775519833599999,320.0
-11.949706094000001,300.0
-12.0613923544,280.0
-12.1730786148,260.0
-12.0972648752,240.0
-12.2089511356,220.0
-12.133137395999999,200.0
-11.994823656400001,180.0
-11.9190099168,160.0
-11.905696177200001,140.0
-11.6423824376,120.0
-11.566568698,100.0
-11.365754958399998,80.0
-11.164941218800001,60.0
-10.9641274792,40.0
