d,t
5, -0.9393534068
15, -1.432696537
25, -1.8010396672
35, -2.3568827974
45, -2.8502259276
55, -3.3435690578
65, -3.774412188
75, -4.2677553182
85, -4.6985984484
95, -5.1919415786
105, -5.6227847088
115, -5.991127839
125, -6.4219709692
135, -6.8528140994
145, -7.2836572296
165, -7.95784349
185, -8.6320297504
205, -9.2437160108
225, -9.7304022712
245, -10.2170885316
265, -10.578774792
285, -10.7529610524
305, -10.9896473128
325, -11.6013335732
345, -11.7755198336
365, -11.949706094
385, -12.0613923544
405, -12.1730786148
425, -12.0972648752
445, -12.2089511356
465, -12.133137396
485, -11.9948236564
505, -11.9190099168
525, -11.9056961772
545, -11.6423824376
565, -11.566568698
585, -11.3657549584
605, -11.1649412188
625, -10.9641274792
