# depth,1965,1966,1967
1.32,,,-22.416
2.24, ,,-23.122
3.15, ,,-22.729
4.06, ,,-22.032
4.57,-17.36,-20.043,
4.72,,,-21.359
5.18,,-19.77,
5.33,,,-20.791
6.1,,-19.255,-20.078
7.62,-18.83,-18.526,-18.85
9.14,,-17.795,-18.047
10.67,-18.04,-17.393,-17.489
12.19,,-17.079,-17.252
13.72,,,-17.164
15.24,-17.19,-17.013,-17.124
16.76,,-17.051,-17.118
18.29,,-17.201,-17.119
19.81,,-17.099,-17.121
21.34,,,-17.116
22.87,-16.98,-17.101,-17.104
24.38,,,-17.088
30.48,-16.91,-17.027,-17.031
38.1,-16.87,-16.954,-16.962
45.72,-16.84,-16.916,-16.909
53.34,-16.8,-16.865,-16.855
60.96,-16.74,-16.816,-16.8
68.58,-16.68,-16.744,-16.718
76.2,-16.61,-16.674,-16.656
83.82,-16.52,-16.567,-16.58
91.44,-16.43,-16.477,-16.49
99.06,-16.31,-16.375,-16.372
106.68,-16.19,-16.222,-16.249
114.3,-16.07,-16.099,-16.121
121.16,-15.89,-15.962,-15.957
