d,t
5.0000000e+00,  3.7000000e-01
1.5000000e+01, -2.0000000e-01
2.5000000e+01, -1.0000000e-02
3.5000000e+01,  0.0000000e+00
4.5000000e+01,  8.0000000e-02
5.5000000e+01,  1.0000000e-02
6.5000000e+01, -3.0000000e-02
7.5000000e+01, -1.0000000e-02
8.5000000e+01,  1.0000000e-02
9.5000000e+01, -2.0000000e-02
1.0500000e+02,  0.0000000e+00
1.2500000e+02,  0.0000000e+00
1.3500000e+02,  1.0000000e-02
