t,d
-10.809103114529753,137.26659540193987
-10.745887235792637,178.3259740231161
-10.679758821152378,98.28971206508288
-10.620645402589775,218.30804593268533
-10.548304894736962,78.1733993952447
-10.562563176785982,237.45541664557737
-10.357064941604598,57.84380219668981
-10.428931380597973,257.7246151462889
-10.301010992145931,298.31592899728514
-10.300366332618662,278.11147103980034
-10.054535942362092,338.0052639570787
-9.743003401167027,357.7949832399134
-9.244859670723027,377.97402962118764
-8.680939083981208,398.0250691057644
-8.0593260848842,418.0695776262231
-7.5611828568220485,438.2799726352604
-6.9876455981113486,458.2506812611944
-6.4414162575708405,477.8876576207374
-5.7909588577310265,498.04155979016025
-5.4862060714401935,507.55465176403106
-5.193699617554143,518.1954075348821
-4.749079805210232,528.2669433618464
-4.376142419737974,537.9105447425535
-4.001412128875817,548.0068386450934
-3.623156986870768,557.6396007186237
-3.125909866307253,568.5497123382426
-2.7996121093996744,577.1348986965826
-2.4312499610772864,587.3234654532421
-1.937620376100112,597.5463929757304
-1.5726952947063193,608.8300096557194
-1.1705442244375046,618.9510509681884
-0.8741654299301498,629.2620997967083
-0.5663012916767975,638.0181336572693
-0.3744164060392201,649.2708350907977
-0.13202193510122662,658.6384572556562
-10.770316557714695,157.78812572759034
-10.684427330527443,198.3003492433063
