d,t
4.5950000e+02, -3.1500000e-01
4.3950000e+02, -3.0100000e-01
4.1950000e+02, -2.8700000e-01
3.9950000e+02, -2.7300000e-01
3.7950000e+02, -2.5900000e-01
3.5950000e+02, -4.1423077e-01
3.3950000e+02, -2.3100000e-01
3.1950000e+02, -7.4007692e-01
2.9950000e+02, -1.2260769e+00
2.7950000e+02, -1.7659231e+00
2.5950000e+02, -2.2826923e+00
2.3950000e+02, -2.7225385e+00
2.1950000e+02, -3.1777692e+00
1.9950000e+02, -3.4330000e+00
1.7950000e+02, -3.6190000e+00
1.5950000e+02, -3.7357692e+00
1.3950000e+02, -3.7679231e+00
1.1950000e+02, -3.6385385e+00
9.9500000e+01, -3.4553077e+00
7.9500000e+01, -2.7182308e+00
5.9500000e+01, -2.1196154e+00
3.9500000e+01, -2.7902308e+00
1.9500000e+01, -5.8377692e+00
